COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7195 
 NOMBRE    : SABANILLA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SABANILLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.28583333 ° 
 LONGITUD  : -92.55277778 ° 
 ALTITUD   : 300 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	119	70.6	99	36.6	22.5	54.6	53.1	20.5	31.6	25.8	40	137	710.3	59.2	12
1973	30	19.3	12	9.6	97	46.7	41.3	164.5	52	125	108.8	25.4	731.6	61	12
1974	20	88.2	19.7	62	24	80	50.6	26.8	132.8	85.9	115	16.9	721.9	60.2	12
1975	49.1	48.3	16.4	6.7	36.8	54	72	67	100	146	80.8	17.8	694.9	57.9	12
1976	55.5	54	12.6	12.3	35	55.4	38	49.8	40	100	44.9	38.3	535.8	44.6	12
1977	16	8.1	9.7	20	26.9	76.7	38.3	43.7	40	28.3	32.7	92.5	432.9	36.1	12
1978	90.6	10.8	80	6.6	47.3	40	44.2	37.1			20	119.8	496.4	49.6	10
1979	27	53.7	7.1	16	42.2	52.3	43.3	46	83.6	105.6	60.3	21.4	558.5	46.5	12
1980	13.1	23.5	12.5	20	77.5	50.7	36	40.6	46.5	95.5	33.4	20	469.3	39.1	12
1981	14.1	60	52	19	68	27.8	26.7	56.5	80	44.2	12.4	42.3	503	41.9	12
1982	10.3	32	21.5	30.7	29.3	52.1	29.8	60	36.5	53.8	40	44.5	440.5	36.7	12
1983	23.3	25	7.7	9.3	15	35.5	52	37.8	55.3	80.3	75.5	56	472.7	39.4	12
1984	10.5	10	58.6	9.5	43.7	40	12.4	37	37.5	99	20.5		378.7	34.4	11
1985	32	0	0	0	27.5	0	0	0	0	0	0	0	59.5	5	12
1987												0	0	0	1
1988	83.5	25.5	12	25.5	36.5	60.4		60.4	38	100.5	29.2	6	477.5	43.4	11
1989	13	22.5	6	44	35	54	56	22.5	100	90	73	42	558	46.5	12
1990	18	19.5	32	42	47	38	24.5	29	35.5	49	160	178	672.5	56	12
1991	40	7.5	11.5	3	51	65	72	38	78	42	80	45	533	44.4	12
1992	33	10	20	23.5	33	70	40	26.5	73	82	23.5	104.5	539	44.9	12
1993	36	35.5	7	34.5	23.5	65	34.5	34	51.5	60	13.1	25.5	420.1	35	12
1994	46	49.5	20	15	12.5	19.5	17	41.5	37	110	34	8.5	410.5	34.2	12
1995	17.5	29.5	61	18	48	40	41	56	54.5	93.7	19	35	513.2	42.8	12
1996	17	7	30.5	39	31	31	80.5	47	60	44.5	99	21	507.5	42.3	12
1997	30	30.5	64.5	18	15	40	40	39.5	102.5	220	56.5	18.3	674.8	56.2	12
1998	16	10	3.5	21.5	0.1	38	50	32	60.8	50	24	28	333.9	27.8	12
1999	49	31.3	10.4	18.3	34.8	85	88	60	38	39.5	59	19.7	533	44.4	12
2000										22	29	48	99	33	3
2001	7.5	25	45.1	47.3	74	20	15	37.5	61	53	43		428.4	38.9	11
2013											66.8	43.9	110.7	55.3	2
2014	80.2	2.7	13.6	119	70.6	38.5	11.8	28.3	74	71	50.5	7.6	567.8	47.3	12
2015	38.3	10.8	28	26.5									103.6	25.9	4
2016	22	20.5	19.5	15	102	40	42	94	35.7	13.2	44	40.4	488.3	40.7	12
2019	13.8				41.4	60	129	38	53.2				335.4	55.9	6
MÍNIMA	7.5	0	0	0	0.1	0	0	0	0	0	0	0	0	0	1
MÁXIMA	119	88.2	99	119	102	85	129	164.5	132.8	220	160	178	731.6	61	12
MEDIA	34.6	28	26.4	25.6	41.6	47.7	44.1	45.7	58.2	73.4	51.2	43.4	456.2	42	10.6
DESV.ST	26.8	21.4	24.7	22.7	24	18.7	26.1	28.3	27.5	45.2	35.2	42.3	191.5	13.6	3.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972	157.5	88.4	103.2	48	56.1	272.2	219	135.2	302.7	138.7	154.4	194.3	1869.7	155.8	12
1973	61	42.5	13	18.6	211.3	186.81	150.4	710.6	253.3	457.9	151.51	93.51	2350.43	195.9	12
1974	42.7	178.2	24.5	207.8	120.2	299.9	263.3	131.5	595.3	401.1	293	25.4	2582.9	215.2	12
1975	114.9	84.4	39.5	7.5	179.6	222.8	272.3	335.6	453	483.7	237.3	46.9	2477.5	206.5	12
1976	189	120	21.4	38.3	102.8	329.6	257.7	317.7	199.9	329.3	136.3	118.8	2160.8	180.1	12
1977	31.9	32.3	16.9	53.9	104.3	354.7	142.7	309.6	231.3	119.4	118.2	150	1665.2	138.8	12
1978	131.8	43	143.6	10.4	216.8	277.1	224.2	304.9			90.6	157.2	1599.6	160	10
1979	96.5	85.5	15.2	37.5	168	328	317.8	289.9	442.4	240.5	203.2	144.5	2369	197.4	12
1980	38.5	58.8	37.5	59.1	172.4	352	285.5	219.9	381.1	312.3	160.8	67.9	2145.8	178.8	12
1981	30.6	160.6	137.2	42.8	168.7	310.6	245.6	442.6	443.7	275.8	43.5	80.5	2382.2	198.5	12
1982	37	96.5	51.6	92.4	126.8	347.2	181	198.6	414.9	205.1	94.2	95.2	1940.5	161.7	12
1983	63.2	67.9	18.1	18.8	27.8	220	278	300.4	427.6	273.2	116	147.7	1958.7	163.2	12
1984	38.9	33.8	79.6	10.1	305	214.6	18.4	99.8	335.8	239.62	40.7		1416.32	128.8	11
