COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7198 
 NOMBRE    : SIMOJOVEL (SMN) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SIMOJOVEL 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.13333333 ° 
 LONGITUD  : -92.71666667 ° 
 ALTITUD   : 660 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1926									30.5	34.5	63	11.8	139.8	35	4
1927	18	0.01	46	19.5	34	34	43	40	35	27	12	22.5	331.01	27.6	12
1928	25	12.5	13	16	33	42	23	61	145	18	65	43	496.5	41.4	12
1929	12	26	10	0.01	60	56	31	60	40	50	25	25	395.01	32.9	12
1930	30	18	10	27	40.5	30.5	20	12	20	40	10	12	270	22.5	12
1931	11	10	10	30	30								91	18.2	5
1942		1	17.2	3.5	13.2	18.9	48	36.4	60	14	47.4	38	297.6	27.1	11
1943	29	90.5	40	2	45	80.4	24	41	20.8	36.5	41.5	5.2	455.9	38	12
1944	6.1	7.7	0.01	18.2	6.5	34.5	8.5	26.1	1.1	37.7	0	1.3	147.71	12.3	12
1945	11.5	58	0	0	0.01	0	0	25.1	16.2	9.2	16.7	5.4	142.11	11.8	12
1946	2.5	0.01	0.01	3.3	37.3	24	4.8	0.01	0	17	7.1	1.5	97.53	8.1	12
1947	6	2.9	2.4	25.2	15.1	14.4	40	62.5	37.5	0.01	9.3	3.1	218.41	18.2	12
1948	2.4	1.4	0.01	4.5	62.1	34.5	80.8	36.7	45.8	50.3	84.8	4	407.31	33.9	12
1949	11.4	0.01	10.2	25.5	12.5	24.5	26.8	9.3	54.5	16.2	5.4	0	196.31	16.4	12
1950	2.9	15.4	19.7	0.01	13.5	11.5	37.4	15.5	35.3	58.2	8.6	8	226.01	18.8	12
1951	0.01	5.2	5	1.5	26.3	18.6	73.4	28.2	23.9	11	60.8	3.9	257.81	21.5	12
1952	7.9	5.5	0.01	5.9	35.2	47.1	43.3	36.2	39.1	77.9	5.5	30.4	334.01	27.8	12
1953	7.3	9.8	28	20.2	9.1	23.8	25	20.4	28.7	18.5	39.5	39.5	269.8	22.5	12
1954	10	12.3	15.6	10.2	25.2	60.7	72.3	30	54.4	8.5	8.7	5.1	313	26.1	12
1955	13.3	10		0.01	20.3	38.6	60.6	40.1	40.3		25.9	20.1	269.21	26.9	10
1956	14.5	5.2	70.1	46.2	38.7	53.4	39.6	58.5	35	31.9	72.3	18.4	483.8	40.3	12
1957	10.5	24.7	20.1	8.7	37.4	53.4	32.6	18.5	30.1	24.6	17.2	35.4	313.2	26.1	12
1958	5.6	28.9	5.3	19.2	16.4	32.5	37.7	40.3	71.9	40.2	20	31.7	349.7	29.1	12
1959	24.6	44.4	30.8	26.6	43.5	60	72.5	38.7	20.6	105	48.2	9.2	524.1	43.7	12
1960	20.2	3.5	16.7	13.5	20	20	35.6	60.5	80.5	40.6	20.7	24.2	356	29.7	12
1961	21.2	30.9	29.2	20	74		39.8	80	20	120	20.1		455.2	45.5	10
1962	15.7	0	4.4	50.6	20.8	41.7	42.4	37.2	57.3	28.7	9.2	6	314	26.2	12
1963	9.4	68.6	29.2	5.3	16.4	43.7	43.2	41.9	40.7			6.8	305.2	30.5	10
1964	21.4	8.7	50.6	74.8	26.9	35.6	44.5	48.9	68.5	74.5	19.8	137.9	612.1	51	12
1965	22.3	37.2	45.9	20	10.5	32.9	36.9	33	51.5	33.2	19	18.5	360.9	30.1	12
1966	8.7	22	9.4	16.9	19	109.5	34.5	18.5	41.7	30	15.9	14.8	340.9	28.4	12
1967	35	10.9	15.5	10.5	35.7	51.5	13.6	34	90.5	130.5	9.5	87.5	524.7	43.7	12
1968	35	30.5	11.5	13	68.7	49.5	42	20.5	22.5	103	22.5	22	440.7	36.7	12
1969	21	5.2	3.9	12	21.5	40	51.3	42.5	49	32.2	45	16	339.6	28.3	12
1970	40.2	11.4	8.5	16	27.5	48.9	40	108.9	65		46	9	421.4	38.3	11
MÍNIMA	0.01	0	0	0	0.01	0	0	0.01	0	0.01	0	0	91	8.1	4
MÁXIMA	40.2	90.5	70.1	74.8	74	109.5	80.8	108.9	145	130.5	84.8	137.9	612.1	51	12
MEDIA	15.5	18.2	17.5	16.6	29.3	39.6	38.4	38.3	43.3	42.5	27.9	21.7	328.5	29	11.3
DESV.ST	10.4	21	17.2	16	17.7	21	19	21.5	27.4	33.5	22.3	27.2	126.8	10.1	1.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1926									154.3	182.06	149.02	31.81	517.19	129.3	4
1927	36.01	0.04	98.51	34.53	145.82	203.06	166.06	160.56	246.53	202.51	42.04	71.04	1406.71	117.2	12
1928	99.51	27.03	46.32	33.55	131.56	215.85	114.95	217.05	373.07	82.56	195.55	138.03	1675.03	139.6	12
1929	45.01	34	10.01	0.01	187.03	277.05	161.08	325.04	329.5	313.23	86.54	152.52	1921.02	160.1	12
1930	119	37.02	17.05	27.02	181.54	147.55	200.05	78.06	125.07	142.53	19	46.55	1140.44	95	12
1931	31.55	29.52	48.03	110	116.54								335.64	67.1	5
1942		2.02	27.91	8.93	18.94	89.43	189.03	221.23	400.21	92	324.63	241.23	1615.56	146.9	11
1943	163.32	146.62	53.51	2.03	97.01	224.8	75.18	148.88	105.84	185.04	72.4	7.2	1281.83	106.8	12
1944	29.25	7.7	0.01	18.2	16.3	67.5	11.11	62.3	1.1	93.81	0	1.3	308.58	25.7	12
1945	16.02	119.7	0	0	0.01	0	0	75.43	73.61	28.46	17.94	5.46	336.63	28.1	12
1946	3.62	0.01	0.04	3.3	55.81	45.62	7.51	0.01	0	17	7.11	1.52	141.55	11.8	12
1947	11.1	5.7	3.91	25.2	26.6	14.4	60.42	228.32	51.01	0.01	9.3	3.13	439.1	36.6	12
1948	7.03	1.42	0.02	5.55	94.94	88.63	210.83	135.32	181.44	185.25	138.57	4.02	1053.02	87.8	12
1949	17.33	0.03	22.02	26.65	51.12	117.33	130.57	46.24	154.12	43.34	5.43	0	614.18	51.2	12
1950	5.93	26.25	75.72	0.02	19.93	25.83	116.14	33.58	104.51	94.92	8.64	10.23	521.7	43.5	12
1951	0.05	9.32	6.96	3.04	85.82	58.34	133.63	92.44	126.13	56.83	159.75	9.77	742.08	61.8	12
1952	7.93	10.32	0.01	19.96	77.64	226.86	111.74	131.01	132.22	234.34	11.72	56.46	1020.21	85	12
1953	15.84	10.82	36.4	22.72	20.41	136.93	91.44	75.24	85.14	52.05	124.83	99.34	771.16	64.3	12
1954	15.52	16.01	17.65	30.94	95.62	385.43	295.33	260.84	302.52	90.56	35.66	16.38	1562.46	130.2	12
1955	15.44	23.73		0.01	57.3	121.15	369.91	160.23	242.46		36.87	59.76	1086.86	108.7	10
1956	55.72	10.43	79.01	46.2	291.9	297.3	164.9	114.3	229.6	132.1	123.8	67	1612.26	134.4	12
1957	43.9	58.1	36.6	20.4	98.61	252.37	155.83	114.85	196.01	83.26	19.95	92.46	1172.34	97.7	12
1958	28.86	49.64	11.33	27.41	56.44	255.63	217.86	210.72	257.64	146.12	77.28	116.28	1455.21	121.3	12
1959	57.78	75.32	45.96	63.24	76.02	352.12	183.15	204.14	133.27	367.25	250.45	52.75	1861.45	155.1	12
1960	49.85	3.52	22.02	36.21	35.84	101.24	289.64	402.15	495.75	168.23	47.73	68.06	1720.24	143.4	12
1961	112.57	96.82	50.52	53.04	156.04		253.76	332.73	90.45	274.73	47.35		1468.01	146.8	10
1962	40.53	0	7.62	175.24	76.44	158.83	202.06	128.46	220.16	158.49	31.26	21.35	1220.44	101.7	12
1963	42.38	121.62	61.17	8.43	50.51	200.25	297.52	171.55	378.13			16.86	1348.42	134.8	10
1964	29.95	15.94	78.72	121.61	104.53	236.1	229.83	127	420.13	176.71	69.72	162.98	1773.22	147.8	12
1965	74.45	40.47	54.6	22.5	21.9	208.61	109.53	198.63	188.92	178.04	64.91	84.52	1247.08	103.9	12
