COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7199 
 NOMBRE    : TANQUE REGULADOR (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TAPACHULA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 14.83333333 ° 
 LONGITUD  : -92.28333333 ° 
 ALTITUD   : 80 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966									81	131.5	66	30	308.5	77.1	4
1967	0	0.01	61	54.5	63	73.5	53.5	108.5	80.5	40.5	71.5	39	645.51	53.8	12
1968	9.5	15.5	0.01	60	92.5	127.5	95.5	63.5	72.5	130.5	72.5	27	766.51	63.9	12
1969	1.5	18	55.5	71	51	194	104	96	150	93.5	78	23	935.5	78	12
1970	11	3	2.5	37.5	105	65.5	69.5	66	136	131	10	18	655	54.6	12
1971	108	3.5	40	48	112.5	30.5	43	107.5	113	118.5	49.5	9.5	783.5	65.3	12
1972	17.5	24	26.5	114	229	85.5	59	77	116.5	54	64.5	5	872.5	72.7	12
1973	25.5	9	9	85.5	82.5	91	61.5	112	111	86	40	16	729	60.8	12
1974	50.5	60	37	39	100.5	88.5	62.5	55.5	219.5	75	81	1	870	72.5	12
1975	10	2.5	116	40	94	77.5	83	60	73.5	103	71	21	751.5	62.6	12
1976	7	0	22	90	62	70	70.5	37.5	60	137.5	58	0	614.5	51.2	12
1977	5	36.5	21.5		67.5	93.5	48	100	56	83	49	49	609	55.4	11
1978	14	0.5	37	77	156	82	46.5	82.5	144.5	56	50.5	5	751.5	62.6	12
1979	0	0.5	22	42	40	82	100	100	73	90	2	17	568.5	47.4	12
1980	20	6	44	129	85	65	65	91	78	68	33	10	694	57.8	12
1981	0	6	21	50	63	100	45	66	79	80	45	40	595	49.6	12
1982	4	43	25	78	142	70	80	51	122	60	100	12	787	65.6	12
1983	0	40	45	20	65	60	82	55	51	10		10	438	39.8	11
1984	20	51	0	44	35	90	62	60	133				495	55	9
MÍNIMA	0	0	0	20	35	30.5	43	37.5	51	10	2	0	308.5	39.8	4
MÁXIMA	108	60	116	129	229	194	104	112	219.5	137.5	100	49	935.5	78	12
MEDIA	16.9	17.7	32.5	63.5	91.4	85.9	68.4	77.2	102.6	86	55.4	18.5	677.4	60.3	11.3
DESV.ST	26	19.8	27.5	29.1	47.1	33.5	18.9	23	42.1	35.2	25	14	156.8	10.3	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966									569.01	789.9	215	44.01	1617.92	404.5	4
1967	0	0.01	216.4	166.3	318.4	514.5	465.71	561.03	602.57	324.54	245.02	94.04	3508.52	292.4	12
1968	18.52	19.5	0.02	198.01	504.51	1001.51	523.53	495.55	785.02	835.52	251.5	50.02	4683.21	390.3	12
1969	1.5	30	171	252	305.5	800	469	844.5	809	833.5	209.5	37	4762.5	396.9	12
1970	11	5.5	4	116.7	390.2	489.5	549.5	529.5	855	753	52.5	25	3781.4	315.1	12
1971	149.53	4.01	71.53	194.59	574.52	260.02	274.03	684.55	688.51	726.02	192.05	38.53	3857.89	321.5	12
1972	50.5	41.5	153.5	269	1153.5	400	366.5	423.5	401.5	288.5	416.5	6	3970.5	330.9	12
1973	25.5	9.5	23	310.5	508	708	503.5	991	639	706	256.5	40	4720.5	393.4	12
1974	121	81	162	118.5	673.5	745.5	407.5	445.5	909.5	350	185	2	4201	350.1	12
1975	19	5	218.5	137.5	558	383.5	709.5	434	953	414	234.5	78	4144.5	345.4	12
1976	12.5	0	43	396	610	532	335.5	227.5	444	748.5	161	0	3510	292.5	12
1977	5	37	21.5		472.5	676.5	197	455	334.5	626.5	150	133	3108.5	282.6	11
1978	30.5	1	109.5	251.5	469.5	424.5	428.8	560	813.5	483.5	105.5	22.5	3700.3	308.4	12
1979	0	0.5	40	275.5	371	437	453	642	661.3	456.3	5.3	44	3385.9	282.2	12
1980	25.5	9.5	84	333	590	471	489	607	657	412	36	11	3725	310.4	12
1981	0	21	79	297	438	775	457	655.1	583	476.6	151	81	4013.7	334.5	12
1982	6	128	66	401	864	564	457.5	294	724	329	309	12	4154.5	346.2	12
1983	0	50	79	28	305	608	313	469	370	26		26	2274	206.7	11
1984	20	70.01	0	263.01	372	706	521	331.81	616.01				2899.84	322.2	9
MÍNIMA	0	0	0	28	305	260.02	197	227.5	334.5	26	5.3	0	1617.92	206.7	4
MÁXIMA	149.53	128	218.5	401	1153.5	1001.51	709.5	991	953	835.52	416.5	133	4762.5	404.5	12
MEDIA	27.6	28.5	85.7	235.8	526.6	583.1	440	536.1	653.4	532.2	186.8	41.3	3685.2	327.7	11.3
DESV.ST	41.7	35	71.5	101.4	212.2	184.5	115.6	187.1	178.7	229.4	102.3	35.4	800.1	48.5	1.9

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966									70.4	87.6	98.5	100.3	356.8	89.2	4
1967	114.7	110.2	121.7	115.4	106.1	89.8	103.1	95	90.4	81.6	88.6	77.2	1193.8	99.5	12
1968	84.9	108.2	127.2	107.5	95.8	106.9	100.7	103.8	136.2	134.2	100.9	94.5	1300.8	108.4	12
1969	126.3	112.2	122.3	117.1	114.9	76.4	92.3	72.33	60.4	72.1	87.9	99.2	1153.43	96.1	12
1970	119.1	118.3	139.5	112.5	103.8	92.8	73.4	89.9	59.2	68.6	83.3	114.6	1175	97.9	12
1971	110.59	110.76	118.03	137.59	96.57	85.98	89.25	79.44	69.77	70.03	77.84	93.13	1138.98	94.9	12
1972	104.1	119.8	117.7	108.8	82.7	82.2	104.2	81.5	82.5	89.2	83.5	111.2	1167.4	97.3	12
1973	127.59	119.03	124.5	108.3	101.8	61.4	79.98	79.24	72.7	58.5	89	97.9	1119.94	93.3	12
1974	94.7	99.8	101.6	98.1	84.1	59	87.4	80	61.4	75.1	87.4	103.5	1032.1	86	12
1975	113.6	113.5	101.7	108.8	86.4	83.3	87.9	73.1	52	67.7	77.8	83.5	1049.3	87.4	12
1976	106.4	118.2	97.4	91.9	110.5	61.8	104.5	94.8	80.3	84.1	80.8	109.9	1140.6	95	12
1977	117.4	111.9	147.2		96.8	88.9	105.9	76.6	70.4	82.7	83.9	90.4	1072.1	97.5	11
1978	109.2	116.4	131.7	103.7	112.1	77.5	65.3	90.9	73.1	75.6	94.1	91.9	1141.5	95.1	12
1979	118	129.1	110.6	115.2	98.4	88	84.1	65.2	60	77	88.8	98.9	1133.3	94.4	12
1980	122.9	113.7	125.8	107.7	111.5	120.2	108.8	107.7	68.5	108.6	32.5	113.5	1241.4	103.4	12
1981	121.9	147.5	135.5	128.1	103	112.8	140.5	86	122.7	84.8	102.7	110.2	1395.7	116.3	12
1982	97.6	106.2	124.4	103.7	116.9	116.8	129.4	130.1	120	108.4	117	105.3	1375.8	114.7	12
1983	102.7	91	148.4	129.3	139.6	129.3	147.2	153.3	74.8	164.9		164.7	1445.2	131.4	11
1984	118.9	130.34	137.16	141.24	205.38	153.85	150.54	150.43	121.38				1309.22	145.5	9
MÍNIMA	84.9	91	97.4	91.9	82.7	59	65.3	65.2	52	58.5	32.5	77.2	356.8	86	4
MÁXIMA	127.59	147.5	148.4	141.24	205.38	153.85	150.54	153.3	136.2	164.9	117	164.7	1445.2	145.5	12
MEDIA	111.7	115.3	124	113.8	109.2	93.7	103	95	81.4	88.4	86.7	103.3	1154.9	102.3	11.3
DESV.ST	11.5	12.2	14.8	13.4	27.5	25.3	24.6	25.6	25	26.2	17.2	18.4	225.8	15.2	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1966									28.3	27.8	28	28		28	4
1967	29.9	31.4	31.5	31.1	30.3	28.9	30.2	30.1	29.1	29.7	29.5	29.3		30.1	12
1968	30	30.4	32.3	31.5	29.1	28.1	28.8	29.1	28.4	28	28.5	28.9		29.4	12
1969	30.1	30.2	30.7	31.2	30.7	28.5	28.7	27	27.7	27.5	28.5	28.4		29.1	12
1970	29.2	29.8	30.6	30.4	29.8	28.9	27.7	27.6	26.9	27.7	27.4	28.8		28.7	12
