COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7202 
 NOMBRE    : TUXTLA GUTIERREZ (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUXTLA GUTIÉRREZ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.75277778 ° 
 LONGITUD  : -93.11666667 ° 
 ALTITUD   : 543 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1951	3.5	0	0.01	0.01	62	41.5	59.5	59.5	47.5	6	18.5	0.01	298.03	24.8	12
1952	0	0.01	8.5	4.9	38.4	60.2	23	33	60.4	23.3	1.5	0	253.21	21.1	12
1953	0	0	0	32.5	27	35	34.5	50.5	15.5	33.5	0	0	228.5	19	12
1954	0	1.3	0	13.5	24.5	50	63.5	35	19.3	33.4	0.01	0.1	240.61	20.1	12
1955	0	1.5	0.4	1.8	47.5	28	45	77	20.5	41	7.5	58.3	328.5	27.4	12
1956	9.5	0	2.5	1.5	81	42	24.2	47.2	53.8	48.9	8.1	0	318.7	26.6	12
1957	0	8.5	16.6	35	60.3	54	37.7	57	55.2	14.5	0	0.1	338.9	28.2	12
1958	0	0	0	23.5	15.7	29.5	92	23.3	96	23.3	1.6	1	305.9	25.5	12
1959	0.1	0.01	0.5	29.5	21.9	43.5	30.4	22	44.5	65.5	2.2	0.1	260.21	21.7	12
1960	0.1	0	0	5.1	38.3	53.5	50	64	53.4	38.4	0.8	0	303.6	25.3	12
