COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7203 
 NOMBRE    : VENUSTIANO CARRANZA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VENUSTIANO CARRANZA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.33694444 ° 
 LONGITUD  : -92.56416667 ° 
 ALTITUD   : 790 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944			16.7	2	29	46					0.01	0	93.71	15.6	6
1945	0	0	0	0.01	0.01	0.01	60	60	83	0.01	0.01	40	243.05	20.3	12
1946	0.01	0	0	20	30	62.5	17	17	84	65	0.01	12	307.52	25.6	12
1947	8	0.01	0	16.3	72.1	30		46	60.4	23	33	12.3	301.11	27.4	11
1948	0	0.01	2	38.3	58.1	72.1	58.2	44	40.4	15.2	28.4	0.01	356.72	29.7	12
1949	0	0	0	7.3	41.7	20.2	20	20.2	83	61	0.01	0	253.41	21.1	12
1950	0.01	0	22	20	22	53.2	45.2	56	34.2	60.2	0	0	312.81	26.1	12
1951	0.01	0	0	7.2	40.2	20.2	44	25.2	55	30.2	10	0	232.01	19.3	12
1952	0	0	80.2	5.2	80	90.2	80.2	50.2	75.2	130.2	0.01	0.01	591.42	49.3	12
1953	0.01	0	0	0.01	80.4	80	60	6.5	120.4	40.2	0.01	0.01	387.54	32.3	12
1954	0	0	0	20.3	70.2	75.2	120.2	120.2	60.2	105.3	0.01	0	571.61	47.6	12
1955	0	0	0	0	55.2	50.2	60	60.2	45.2	80.2	35	10.2	396.2	33	12
1956	0	0	0.01	0.01	85.2	75.2	75.2	20.2	90.3	15.2	0.01	0	361.33	30.1	12
1957	0	0.01	0	0	0	50.2	40	38.2	30.2	0.01	0.01	0	158.63	13.2	12
1958	0.01	5	0	10.1	50.2	95.2	45.3	20.2	115.2	35.2	15	0.01	391.42	32.6	12
1959	0	0	0.01	15	30.2	55	45	30	30.2	50.2	35	0	290.61	24.2	12
1960	0	0	0	10.2	65	80	100	30.2	75	85	80.3	0.01	525.71	43.8	12
1961	0.01	0	0.01	2.5	40.2	80	80.2	60.1	80	45.1	15	0	403.12	33.6	12
1962	0.01	0.01	0.01	35.2	0.01	40.2	30	65.2	60	90.4	0.01	0	321.05	26.8	12
1963	0.01	0.01	0.01	45	80.2	90.2	90.2	30.2	90.2	60.2	40.2	0	526.43	43.9	12
1964	0.01	0	0.01	10.2	80	65	80.2	40.2	60	80.2	40.2	20.2	476.22	39.7	12
1965	0.01	0.01	0	15	30.2	75	40	40	90.3	60.3	20	0	370.82	30.9	12
1966	0	0.01	0	10	40.2	90.2	40.3	40	40	45.1	20	0.01	325.82	27.2	12
1967	0	25	0.01	35	45	45.2	50	45	45	40	22	20	372.21	31	12
1968	0.01	0	0	0	80.3	100	40	15.2	40	210	0	0.01	485.52	40.5	12
1969	0	0	0	20	30	65	90.2	60.1	120	20	0	0	405.3	33.8	12
1970	0	0	0	0	20	120	120	60.2	60.2	20	0	0	400.4	33.4	12
1971	0.01	0	0	0	10	50.2	70	50	80.2	45	15	0.01	320.42	26.7	12
1972	0	0	0	40.2	40.1	60	35	40	40.5	0	40	0	295.8	24.6	12
1973	0	0	0	15	40	100	70	100	60	30	10	0	425	35.4	12
1974	0	0	20	0	35	90	45	150	65	20	20	0	445	37.1	12
1975	0	0	0	0	20	35	30	40	60	45	30	0	260	21.7	12
1976	0	0	0	20	20	45	45	35	30	20	10	0	225	18.8	12
1977	0	0	0	20	80	60	40	120	60			0	380	38	10
1978	0	0	0	20	45	45	80	60	120	60	30	10	470	39.2	12
1979	0	0	20	60	40	40	40	40	80	30	0	30	380	31.7	12
1980	120	0	0	15	10	25	125	80	80	60	0	0	515	42.9	12
1981	0	0	0	20	85	95	85	80	80	30	20	0	495	41.2	12
1982	0	0	0	10	60	80	20	45	45	85	20	0	365	30.4	12
1983	0	20	20	45	20	180	80	60	90	40	10	10	575	47.9	12
1984	0	0		0	85	140	120	180	180	60	0	0.01	765.01	69.5	11
1985	0	0	20	80	80	160	120	90	40	45		0.01	635.01	57.7	11
1986	0.01	0.01	20	45	40	45	80	85	42	20	40	0.01	417.03	34.8	12
1987	35	0	0										35	11.7	3
1993							26.1	55	30	60	0	0	171.1	28.5	6
1994	0	0	0	20	40	101	30	40	100	30	20	0	381	31.8	12
1995	0	0	0	45	20	70	70		60	40	50	25	380	34.5	11
1996	0	0	0	60	20	29	68	120	30.2	18	0	3.6	348.8	29.1	12
1997	0	0	0	8	45	80.6	90.5	91	150	11	0	0	476.1	39.7	12
1998	30	0.01	0.01			60.4	80	60.5	160.3	4	0	0	395.22	39.5	10
1999	0.01	0	27	0	30	130	40	0	0	92.3	0	0	319.31	26.6	12
2000	0	0	27.2	0	48.3	66.3	105		47	28	0	0	321.8	29.3	11
2001	0	0	0			95.5	110	63	112.6	0		17.5	398.6	44.3	9
2002		0	0	0	68	61	43		56.3	46	32		306.3	34	9
2003			2.3	36	105.3	111.3	95.6	111	95.6	0	0	0	557.1	55.7	10
2004	0	0	0.01	104	15.5	26.9	33.7	36.3	32	16.3	0	0	264.71	22.1	12
2005	0	0	37.8	69.3	96.8	76.4	132.3	98.5	97.5	163.7	33.6	0	805.9	67.2	12
2006	0	0	43.6	79.3	143.6		104.8	0.01	42.8	64			478.11	53.1	9
MÍNIMA	0	0	0	0	0	0.01	17	0	0	0	0	0	35	11.7	3
MÁXIMA	120	25	80.2	104	143.6	180	132.3	180	180	210	80.3	40	805.9	69.5	12
MEDIA	3.6	0.9	6.4	21.4	48.1	70.6	66.3	57.2	70.3	47.8	14.6	3.8	387.4	34.1	11.3
DESV.ST	17.3	4.3	14.6	24.3	29.8	34.7	31.2	36.7	35.3	39.9	17.7	8.7	140.9	11.9	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1944			16.7	2	83.05	421.73					0.02	0	523.5	87.2	6
1945	0	0	0	0.06	0.03	0.01	170.05	178.03	163.03	0.09	0.01	40	551.31	45.9	12
1946	0.01	0	0	38.04	122.06	176.53	48.57	63.63	392.62	214.82	0.05	12.02	1068.35	89	12
1947	8.03	0.01	0	28.63	145.43	145.05		167.44	289.38	87.33	69.12	12.32	952.74	86.6	11
1948	0	0.01	2.02	60.51	97.13	365.61	146.21	185.4	87.45	54.64	28.44	0.01	1027.43	85.6	12
1949	0	0	0	13.52	84.22	111.51	117.2	62.91	334.51	88.42	0.02	0	812.31	67.7	12
1950	0.01	0	41.4	24	51.41	177.12	132.02	198.11	154.43	135.12	0	0	913.62	76.1	12
1951	0.02	0	0	12.2	160.93	87.73	233.8	141.8	384.13	85.61	10	0	1116.22	93	12
1952	0	0	100.61	6.21	140.3	373.72	261.12	246.2	276.41	381.1	0.01	0.01	1785.69	148.8	12
1953	0.01	0	0	0.01	120.81	331.51	236.03	14	335.01	155.82	0.03	0.03	1193.26	99.4	12
1954	0	0	0	40.5	306.31	421.65	281.31	281.52	317.34	241.71	0.01	0	1890.35	157.5	12
1955	0	0	0	0	60.2	120.92	477.75	215.7	130.74	235.94	35.02	10.21	1286.48	107.2	12
1956	0	0	0.01	0.02	366.34	336.31	168.63	30.41	372.13	40.4	0.01	0	1314.26	109.5	12
1957	0	0.01	0	0	0	190.64	140.64	153.6	226.52	0.02	0.02	0	711.45	59.3	12
1958	0.01	5	0	20.2	155.81	382.9	230.2	91.41	378	166.6	15.01	0.02	1445.16	120.4	12
1959	0	0	0.01	30.03	80.54	271.41	160.81	55.22	85.2	246.24	35.01	0	964.47	80.4	12
1960	0	0	0	10.21	135.41	443.21	216.63	123.82	301.33	704.24	235.93	0.02	2170.8	180.9	12
1961	0.02	0	0.01	2.52	136.34	281.23	342.06	250.41	461.22	135.35	15.01	0	1624.17	135.3	12
