COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7207 
 NOMBRE    : LARRAINZAR 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LARRÁINZAR 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.88694444 ° 
 LONGITUD  : -92.71555556 ° 
 ALTITUD   : 2000 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1972											42.5	72	114.5	57.2	2
1973	58	40	9.8	95		25	21.5	91	42.1	41.8	70.1	16.5	510.8	46.4	11
1974	9.1	34.8	25	30.5	25.6	55.2	70	44.3	117.1	37.2	48	10.5	507.3	42.3	12
1975	33.8	25	24	18	31	45	44	45	54	98.2	46.2	14.3	478.5	39.9	12
1976	26.5	36.4	9.8	20.3	31.8	38.7	40.8	60	32.4	67.3	48.9	25.6	438.5	36.5	12
1977	16.4	12.3	23.6	18.6		24.8	12.3	47.7	27.6	18.4	23.5	30	255.2	23.2	11
1978	19.5	10.2	30.5	23	28	30.5	43.5	44.2	26	38.5	12.6	32.8	339.3	28.3	12
1979	28	14.3	5.5	20	18	35.4	26.3	24.4	20.1	19.4	20.4	19	250.8	20.9	12
1980	9.5	17.2	19	18.5	19.5	19.6	48.4	39.8	20	20	20	11.9	263.4	22	12
1981	2.5	20	16.4	20	20	20	60.2		61.1	53.7	13	7	293.9	26.7	11
1982	5		17	20	19.9	20	20	35				19.9	156.8	19.6	8
1983	35.1	40.5	43.2	21	19	17	31.3	30.2	149.5	35.3	12.2	15.2	449.5	37.5	12
1984	25.2	16.2	0	5.4	61	41.2	44.6	51.9	52.5	15	9.5	8.4	330.9	27.6	12
1985	35.3	6.5	16.5	29.6	28.9	31.2	47.9	94.7	30.5	19.6	23.3	34.7	398.7	33.2	12
1986	25.4	6.1	55.5	20	60.1	32.8	38.8	15.9		35	20	9.3	318.9	29	11
1987	9	8	10.4	6.1	30	40.3	36	20.3	67.2	39.9	40.1	42.5	349.8	29.1	12
1988	45.4	38.9	24	8.1	21.2	30.6	20	39	31	21	21	16.5	316.7	26.4	12
1989	29	24	6.3	21	31.5	26	32.3	34	43.1	49.7	18.1	32	347	28.9	12
1990	21	21.9	26.3	25.8	30.2	52.2	30	17	28	23			275.4	27.5	10
1992			4.2	24	12.8	50.3	57.7						149	29.8	5
1993	22.6	16.7	15.6	17.4	13.8	42.1	34.4	43.7	25.1	37.5	5	17.7	291.6	24.3	12
