COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7208 
 NOMBRE    : NOVILLERO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MAPASTEPEC 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.50055556 ° 
 LONGITUD  : -92.94305556 ° 
 ALTITUD   : 72 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963						15.5	76.4	60.5	179.2	25.7	133	0	490.3	70	7
1964	0			15.8	31.3	85.5	160	92.5	111	30	25.9	9	561	56.1	10
1965	8.7	0	2.6	36.5	101	64.3	52	52.5	88.6	60.4	9.7	0	476.3	39.7	12
1966	0	22	0	40.3	70.8	100.2	49	75.3	85.6	71.5		0.01	514.71	46.8	11
1967	0.01	0	6.3	18.7	28.3	31.2	29.2	41.3	33.7	38.3	11.3	0	238.31	19.9	12
1968	0.01	0	0.01	6.9	32.5	25.6	56.3	40.2	52.4	22.3	10	0	246.22	20.5	12
1969	0	21.4	0	18.4	30.2	44.2	72.4	70.3	52	70.6	8.5	0	388	32.3	12
1970	0	0	0	5.3	24.5	88.5	48.2	80.4	88.2	64.3	20.6	0	420	35	12
1972	0	0	18.7	30	76.3	54	72.4	138.5	77.6	66.5	42.2	5	581.2	48.4	12
1973	0	0	2.6	27.6		54.6	44.3	69.2	66.4	49.3	40.6	0	354.6	32.2	11
1974	22.7	0	15.2	8.3	88.6	96.3	49.2	55.8	82.4	18.4	34.4	2.4	473.7	39.5	12
1975	2.3	4.8	16.3	6.8	28.3	94.6	94.8	46.7	65.3	40.6	73.4	5.2	479.1	39.9	12
1976	0	0	0	74.6	74.2	72.5	22.6	42.5	52.4	42.5	26.2	0	407.5	34	12
1977	0	0	0	28.4	21.4	26.2	60.8	70.5	46.3	24.6	10.3	12.6	301.1	25.1	12
1978	0	0	0	6.2	82.6	40.6	32.5	58.6	56.4	11.3	12.2	10.8	311.2	25.9	12
1979	0	0	0		72.4	28.9	68.4	110.6	78.4	101.3	26.4	0	486.4	44.2	11
1980	12.6	0	0	16	62.3	78.8	68.3	121.5	104	27	10.2	2.8	503.5	42	12
1981	0	0	19	52	56	80	70	60	71	113	2	0	523	43.6	12
1982	0	31	11.5	22	43	60.7	32.6	60	50.4	36.7	23.6	2.4	373.9	31.2	12
1983	0	31.3	40.6	0	22.4	41.7	53.7	66.6		58.6		8.5	323.4	32.3	10
1984	0	1.7	16.7	0	24.8	41.7	76.5	61.4	53.8	37.6	11.7	0	325.9	27.2	12
1985	0	17.8	12.8	23.8	44.3	53.6	53.8	65.8	33.7	33.7	47.8	0.01	387.11	32.3	12
1986	0.9	6.7	0	18.6	124.6	57.6	38.7	47.3	62.8	56.4	27.4	0	441	36.8	12
1987	0	0	33.7	16.3	29.6	53.7	69.7	52.5	37.3	14.5	5.3	0	312.6	26	12
1988	2	0	3.9	0.01	44.6	67.2	83.5	78.5	86.3	46.1	8.5	0	420.61	35.1	12
1989	5.4	0	6.5	6.5	68	27.5	77.4	80	61.5	20	42	2	396.8	33.1	12
1990	0	2.5	4.5	42.5	58.5				44.2	53	43	31.5	279.7	31.1	9
1991	20.5	0	0	85	12	82	65.5	34.5	70	73	3.5	0	446	37.2	12
1992	0	0	11.2	14	18	22.5	44	32	52				193.7	21.5	9
2001									119	44.5	0	0.01	163.51	40.9	4
2002	0	1.5	0	29.5	72	52	61	77	88	50.5	14	0	445.5	37.1	12
2003	0	0	18	15	82	86.5	75	62	43	55	22	0	458.5	38.2	12
2004	0	0	0	0	72.5	53	58	62	51	67	21	2	386.5	32.2	12
2005	0	5	0	1	52	78	99.5	95.5	148	334	2	0.01	815.01	67.9	12
2006	2.5	0	0.01	55	61	143.5	111	129	71	81	33	19	706.01	58.8	12
2007	0	0	41	39	41	60	159	159	46	102	0	0.01	647.01	53.9	12
2008	0	21	0	13	46	117.5	156.6	95	111	42	0	0	602.1	50.2	12
2009	0	0	20	0.01	42	211	48	62	39	71	42	0	535.01	44.6	12
2010	0.1	0	2	75	59	137	93	112	182	23	1.5	0	684.6	57	12
2011	0.1	20	24	81	66	78	51	88	106	82	6	0	602.1	50.2	12
2012	0	1	18	38	83	53	71	131	77	42.5	1	0	515.5	43	12
2013	0	0	0	8	173	62	65	71.5	81	41	35	0	536.5	44.7	12
2014	0	3	0	26	21	105.5	47.5	42	72.5	98.5	4	0	420	35	12
2015	0	0	20	31	41.5	61	73.5	48	57	89.5	48	0	469.5	39.1	12
2016	0	0	0	10	65	68	68	142	81	25	31	0	490	40.8	12
2017	0	0	0.1	10	33.5		44	41	84	92	2	0	306.6	27.9	11
2018	0	0	2	32	55.5								89.5	17.9	5
2019	29	0.01	0.01	0	49	98	58	92	114	55			495.02	49.5	10
2020	16	0	2	2	58	138	91	123.5	57	68.5	1	0	557	46.4	12
2021	16	0	4	2	62	118	77	81.5	53	62	22.15	0	497.65	41.5	12
MÍNIMA	0	0	0	0	12	15.5	22.6	32	33.7	11.3	0	0	89.5	17.9	4
MÁXIMA	29	31.3	41	85	173	211	160	159	182	334	133	31.5	815.01	70	12
MEDIA	2.9	4.1	7.9	23.1	55.4	72	68.7	76.2	75.5	59	22.1	2.4	441.6	39.1	11.3
DESV.ST	6.8	8.6	11	22.5	29.7	37.7	30.2	31.3	33.3	47.8	24	5.9	139.9	11.5	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1963						74.1	509.5	453.71	952.72	109.02	304.31	0	2403.36	343.3	7
