COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7209 
 NOMBRE    : AGUA VERDE 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHILÓN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.03333333 ° 
 LONGITUD  : -91.86666667 ° 
 ALTITUD   : 1240 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964									41	101.5	40.4	45	227.9	57	4
1965	30	32.8	9.8	26.3	52.4	158.5	55	31.5	78	46.5	62.5	25.5	608.8	50.7	12
1966	6.5	14.2	20	48.4	30	117.5	54.2	39	123	64.5	11.5	23.6	552.4	46	12
1967	100	28	21.8	29.5	10	53	36	41	61	112.5	23.5	20	536.3	44.7	12
1968	24.5	25	6		56	51.5	46.2	29	60	58.5	27.7	15.5	399.9	36.4	11
1969	24.5	22.3	28	16.7	78.5	76							246	41	6
MÍNIMA	6.5	14.2	6	16.7	10	51.5	36	29	41	46.5	11.5	15.5	227.9	36.4	4
MÁXIMA	100	32.8	28	48.4	78.5	158.5	55	41	123	112.5	62.5	45	608.8	57	12
MEDIA	37.1	24.5	17.1	30.2	45.4	91.3	47.9	35.1	72.6	76.7	33.1	25.9	428.5	46	9.5
DESV.ST	36.3	6.9	9	13.3	26.2	46.1	8.8	5.8	31.1	28.7	19.4	11.3	163.6	7.2	3.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964									141.45	231.4	223.41	183.72	779.98	195	4
1965	165.41	61.95	19.8	35.8	86.32	515.63	252.71	177.81	236.55	267.55	156.56	106.54	2082.63	173.6	12
1966	42.24	37.93	60.34	168.93	130.42	337.5	150.86	232.04	678.34	248.06	60.41	67.3	2214.37	184.5	12
1967	148.18	42.18	43.46	98.73	13.51	292.54	287.02	204.05	398.05	335.06	127.07	104.09	2093.94	174.5	12
1968	84.63	71.55	22.34		250.42	438.15	224.64	179.69	256.1	329.03	143.17	90.96	2090.68	190.1	11
1969	80.8	59	77.4	26.5	237	249.5							730.2	121.7	6
MÍNIMA	42.24	37.93	19.8	26.5	13.51	249.5	150.86	177.81	141.45	231.4	60.41	67.3	730.2	121.7	4
MÁXIMA	165.41	71.55	77.4	168.93	250.42	515.63	287.02	232.04	678.34	335.06	223.41	183.72	2214.37	195	12
MEDIA	104.3	54.5	44.7	82.5	143.5	366.7	228.8	198.4	342.1	282.2	142.1	110.5	1665.3	173.2	9.5
DESV.ST	51.1	14.1	24.7	66	100.6	108.8	57.9	25.4	209.2	47.3	58.6	43.8	706.9	26.6	3.6
