COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7210 
 NOMBRE    : FINCA AGUA AZUL (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUMBALÁ 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.26666667 ° 
 LONGITUD  : -92.13333333 ° 
 ALTITUD   : 260 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	5.6	7.1	42	25	95	25	52	56	80	123	42	42	594.7	49.6	12
1962	28	22	39	62	40	53	75	99	66	49	48	16	597	49.8	12
1963	35	59	38	55	94	52	79	74	160.5	64	100	45	855.5	71.3	12
1964	58	40	62.5	34	67.5	93	95.3	82.7	104.8	66.5	54.6	127.5	886.4	73.9	12
1965	104.5	37	44.7	51	17.7	57.5	84.2	58.3	60.8		41	50.2	606.9	55.2	11
1966	38.9	39.2	35.5	30.2	42.6	134	72.3	60	66.1	76.5	43.7	46.6	685.6	57.1	12
1967	133.2	23.2	23.6	74.5	49.5	75	32	51.1	202	222.5	50	95.9	1032.5	86	12
1968	78.5	62	42	33.6	66	37	64	55.5					438.6	54.8	8
MÍNIMA	5.6	7.1	23.6	25	17.7	25	32	51.1	60.8	49	41	16	438.6	49.6	8
MÁXIMA	133.2	62	62.5	74.5	95	134	95.3	99	202	222.5	100	127.5	1032.5	86	12
MEDIA	60.2	36.2	40.9	45.7	59	65.8	69.2	67.1	105.7	100.2	54.2	60.5	712.1	62.2	11.4
DESV.ST	42.7	18.6	10.8	17.6	26.9	34.6	19.8	16.7	54.9	65	20.8	37.9	195.4	13.2	1.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	30.1	18.31	157	82	199	97	454.5	307.01	361.52	543.02	107.51	157.53	2514.5	209.5	12
1962	129.05	40	132	355.02	164.01	397.02	332.02	501.02	588	549.02	162	26.03	3375.19	281.3	12
1963	106.52	144.01	105.02	131.01	197	281.03	418.71	632.81	909.53	257.91	414.85	109.53	3707.93	309	12
1964	163.31	136.14	135.9	76.81	332.21	623.02	493.1	366.72	510.1	287.05	280.44	467.17	3871.97	322.7	12
1965	290.24	155.01	98.22	84.11	45	384.72	334.24	375.14	538.23		270.24	189.11	2764.26	251.3	11
1966	184.68	93.83	88.62	85.01	123.82	643.1	441.75	309.32	617.51	443.71	244.26	163.43	3439.04	286.6	12
1967	341.72	96.05	56.32	177.22	96.62	577.13	156.92	308.91	540.11	1082.13	178.42	241.6	3853.15	321.1	12
1968	317.11	237.91	91.01	113.53	363.9	244.62	321.13	436.2					2125.41	265.7	8
MÍNIMA	30.1	18.31	56.32	76.81	45	97	156.92	307.01	361.52	257.91	107.51	26.03	2125.41	209.5	8
MÁXIMA	341.72	237.91	157	355.02	363.9	643.1	493.1	632.81	909.53	1082.13	414.85	467.17	3871.97	322.7	12
MEDIA	195.3	115.2	108	138.1	190.2	406	369	404.6	580.7	527.1	236.8	193.5	3206.4	280.9	11.4
DESV.ST	110.8	69.5	32.1	94	110.5	196.5	107.1	114.9	166.3	298.6	100.4	138.2	658.8	38.5	1.4
