COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7211 
 NOMBRE    : LA MESILLA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SOCOLTENANGO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.06666667 ° 
 LONGITUD  : -92.61666667 ° 
 ALTITUD   : 550 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961									35.5	144.5	26.5	11.5	218	54.5	4
1962	1.5	0	0	62	13.5	62.6	19.4	38.5	47.2	37	0	0.01	281.71	23.5	12
1963	1.5	6.6	2.4	5.5	29.5	28.5	40	45.4	84.5	13.5	32.2	2.2	291.8	24.3	12
1964	0.01	0	4.5	26	38	58.5	117.5	40.5	31	40.5	2.5	8	367.01	30.6	12
1965	1	0	1.5	0.01	31.5	48.5	35	44.4	70		2.5	0.01	234.42	21.3	11
1966	1.5	0	1	52.5	34.5	56	33.5	48	60.5	45.5	10	2.5	345.5	28.8	12
1967	20	0	3	66	22.5	46.5	7	19	17	21.5	2	3	227.5	19	12
1968				4.8	23.9	59.5	24	32.5	41	40	6.5	7.5	239.7	26.6	9
1969	1	4.5	0	46	20.5	40	40.5	70.5	47	24.5			294.5	29.4	10
MÍNIMA	0.01	0	0	0.01	13.5	28.5	7	19	17	13.5	0	0.01	218	19	4
MÁXIMA	20	6.6	4.5	66	38	62.6	117.5	70.5	84.5	144.5	32.2	11.5	367.01	54.5	12
MEDIA	3.8	1.6	1.8	32.9	26.7	50	39.6	42.4	48.2	45.9	10.3	4.3	277.8	28.7	10.4
DESV.ST	7.2	2.8	1.6	27.2	8.1	11.6	33.5	14.6	20.7	41.3	12.3	4.2	53	10.4	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961									98.71	386.33	67.03	14.51	566.58	141.6	4
1962	1.5	0	0	103.55	39.22	251.58	49.93	143.14	222.65	104.49	0	0.01	916.07	76.3	12
1963	1.52	7.1	2.91	8.53	57.43	168.36	159.8	81.33	217.55	67.72	44.71	2.7	819.66	68.3	12
1964	0.02	0	5.61	28.5	101.12	197.44	286.44	110.73	219.93	76.52	7.02	14.5	1047.83	87.3	12
1965	1.01	0	1.51	0.01	78.03	179.03	68.05	166.23	296.82		5.72	0.01	796.42	72.4	11
1966	1.5	0	1	181.53	170.62	250.01	84.11	205.5	221.5	169.92	16	2.51	1304.2	108.7	12
1967	20	0	3	111	42.5	171.01	10.5	66.5	59.52	99.01	4	3.01	590.05	49.2	12
1968				11.3	138.6	283.01	72	61	163.51	117	16.6	9.5	872.52	96.9	9
1969	1	4.5	0	117	78	134	95	501.5	278.5	74.5			1284	128.4	10
MÍNIMA	0.02	0	0	0.01	39.22	134	10.5	61	59.52	67.72	0	0.01	566.58	49.2	4
MÁXIMA	20	7.1	5.61	181.53	170.62	283.01	286.44	501.5	296.82	386.33	67.03	14.51	1304.2	141.6	12
MEDIA	3.8	1.7	2	70.2	88.2	204.3	103.2	167	197.6	136.9	20.1	5.8	910.8	92.1	10.4
