COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7215 
 NOMBRE    : ALTAMIRANO (DGE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ALTAMIRANO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.73333333 ° 
 LONGITUD  : -92.03333333 ° 
 ALTITUD   : 1240 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973							34.9	99	60.5	27.5	20	8.2	250.1	41.7	6
1974	21	10	10	26.5	30	28.5	27	12	89	52	14.3	7	327.3	27.3	12
1975	6.5	16	6.5	7.8	84	26	42	39	62.8	40.5	23.2	14	368.3	30.7	12
1976	10	10	8	14.5	21	47.8	41.5	27.7	34.5	21	26.2	12.8	275	22.9	12
1977	5	11.9	7	13	20	100	24.8	29	50	29.4	27.6	24	341.7	28.5	12
1978	10.3	20	14.5	52.8	38	39	22.3	15	66	104.7	27.3	38.8	448.7	37.4	12
1979	15.3	8.2	9.3	23.1	45.3	47.3	32.8	30.3	93	44.6	13.8	17.7	380.7	31.7	12
1980	20	12	61.8	40	41.3	32	30	42	34.8	32.2	22	9	377.1	31.4	12
1981	4.6	23	15	22.3	75	39	53.7	67	46	41.2	2.7	15.1	404.6	33.7	12
1982	7.5	65.7	17.2	10.9	34	81	20	22.3	75		21	14.8	369.4	33.6	11
1983	14.5	28	34.4	14.3	40	67.4	80	38	45	30	50.5	5.3	447.4	37.3	12
1984	15.2	11.5	2.9	35.5	107.6	20	40	23.6	50	41	11.2	16.8	375.3	31.3	12
1985	7	10.5	19	48	32.5	32.5	17	45	59.5	21.5	9.9	28	330.4	27.5	12
1986						0	0						0	0	2
1987	28	30.5	28	16	37	33	54	44	36	32	15	28.8	382.3	31.9	12
1988	50	20	9	23.5	20	50	47	57	72	110	14.5	44.5	517.5	43.1	12
MÍNIMA	4.6	8.2	2.9	7.8	20	0	0	12	34.5	21	2.7	5.3	0	0	2
MÁXIMA	50	65.7	61.8	52.8	107.6	100	80	99	93	110	50.5	44.5	517.5	43.1	12
MEDIA	15.3	19.8	17.3	24.9	44.7	42.9	35.4	39.4	58.3	44.8	19.9	19	349.7	30.6	10.9
DESV.ST	12.1	15	15.5	14.1	26	24.8	18.5	22.2	18.5	27.9	11	11.6	113.6	9.7	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973							130.7	505.9	165	143.5	84.4	25.9	1055.4	175.9	6
1974	41.7	29.51	22.5	105	149.5	207.3	172.9	63.1	342	232.7	50.8	17.8	1434.81	119.6	12
1975	49	20.5	11.9	7.8	177.2	200.2	151.6	146.3	249.8	275.2	78	69.3	1436.8	119.7	12
1976	79.7	46.2	19	48.7	99.8	279.7	216.4	198.4	159.3	151.4	159.4	62.7	1520.7	126.7	12
1977	13.7	51.1	10	30.2	86.4	248.8	147.1	170.5	244.9	103.5	97.1	71.5	1274.8	106.2	12
1978	46.5	46.5	36.8	76.8	203.5	251.9	145.3	104.2	371.5	212.6	109.4	74.2	1679.2	139.9	12
1979	62.2	40	37.5	69	183.2	265.6	320.2	230	444.3	135.1	65.3	116.1	1968.5	164	12
1980	39.4	35.9	101.9	120.5	220.3	194.4	197	222.1	281.8	135.7	111.4	49.2	1709.6	142.5	12
1981	17.6	72.7	41.2	69.9	202.7	377.2	369.7	531.5	366.1	184.4	10.3	48.6	2291.9	191	12
1982	22.5	100.4	25.6	31.5	140.6	255.9	149.3	154.8	448.1		54.4	45.7	1428.8	129.9	11
1983	31.6	45.3	47.3	48.6	83.5	496.7	376.3	193.1	274.9	128.9	139.1	16.2	1881.5	156.8	12
1984	64.74	26.06	3.54	42.12	398.41	138.36	279.91	212.03	351.93	233.5	33.12	88.86	1872.58	156	12
1985	21.47	44.62	49.21	67.41	112.72	236.82	145.9	240.2	301.4	95.3	61.31	108.1	1484.46	123.7	12
1986						0	0						0	0	2
1987	192.3	157.4	186.5	47	93	71	452	344.4	296.9	127.5	58.4	124.8	2151.2	179.3	12
1988	196.5	64.5	23.7	54.71	44.1	413.5	249.4	405.4	309.1	359.2	76	293.08	2489.19	207.4	12
MÍNIMA	13.7	20.5	3.54	7.8	44.1	0	0	63.1	159.3	95.3	10.3	16.2	0	0	2
MÁXIMA	196.5	157.4	186.5	120.5	398.41	496.7	452	531.5	448.1	359.2	159.4	293.08	2489.19	207.4	12
MEDIA	62.8	55.8	44	58.5	156.8	242.5	219	248.1	307.1	179.9	79.2	80.8	1605	139.9	10.9
DESV.ST	58.9	35.7	47.6	29.6	87.9	125	115.6	138.5	84.8	74.6	39.2	67.6	574.2	47.1	2.8

