COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7219 
 NOMBRE    : JIQUIPILAS 
 ESTADO    : CHIAPAS 
 MUNICIPIO : JIQUIPILAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.66666667 ° 
 LONGITUD  : -93.65 ° 
 ALTITUD   : 540 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1956									50	2	8	6	66	16.5	4
1957	0	2	0	6	14	15	45	310	15	7	5	0	419	34.9	12
1958		0	0		1	32.5	30	33	31	30	30		187.5	20.8	9
1973											135	0	135	67.5	2
1974	0	0	0	0	70	50	70	74	0	0	0	0	264	22	12
1975	0	0	0	0		0	0						0	0	6
1976			0	0	16	26	35	3.8	16.8	4.7	2	18	122.3	12.2	10
1977	0	0	0	15	60	36.5	33	39	67	27	57.2	0	334.7	27.9	12
1978	0	5	0	0	95.8	43.7	84	40.5	27				296	32.9	9
1981	0	0	3.3	3.1	4.1	90	110	90	60	0		0	360.5	32.8	11
1982	0	2	5	0	0	20	30	20	30	20.8	0	15	142.8	11.9	12
1983	0	0	60.1		0	18.5	30	20					128.6	18.4	7
1987	0	0	7.4	0	18.4	11	20	19	10.4	4	0		90.2	8.2	11
MÍNIMA	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	2
MÁXIMA	0	5	60.1	15	95.8	90	110	310	67	30	135	18	419	67.5	12
MEDIA	0	0.9	6.9	2.7	27.9	31.2	44.3	64.9	30.7	10.6	26.4	4.9	195.9	23.5	9
DESV.ST	0	1.7	17.8	5.1	34.5	24.4	31.5	90	22	11.9	45.1	7.5	127.1	16.8	3.3

