COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7220 
 NOMBRE    : E.T.A. 259 SALTO DE AGUA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SALTO DE AGUA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.6 ° 
 LONGITUD  : -92.36666667 ° 
 ALTITUD   : 20 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973										67.5	100	5.3	172.8	57.6	3
1974	36.5	91	2.5	47	57	75							309	51.5	6
1975	142	95.2	12	4.6	102.4	94.5	48.6	45	45	175.5	90	63	917.8	76.5	12
1976	67.4	40	10	32	47	67	45.1	60.1	73	65	59	80	645.6	53.8	12
1977	51	80		27	69					90	170		487	81.2	6
1978		42	67.5	0	70	50	60	20	40	80	110		539.5	54	10
1982							41	45	90	57	41		274	54.8	5
MÍNIMA	36.5	40	2.5	0	47	50	41	20	40	57	41	5.3	172.8	51.5	3
MÁXIMA	142	95.2	67.5	47	102.4	94.5	60	60.1	90	175.5	170	80	917.8	81.2	12
MEDIA	74.2	69.6	23	22.1	69.1	71.6	48.7	42.5	62	89.2	95	49.4	478	61.3	7.7
DESV.ST	46.9	26.7	29.9	19.6	20.9	18.5	8.2	16.6	23.7	43.9	45	39.2	254.5	12.2	3.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1973										507.9	471	15.8	994.7	331.6	3
1974	114.5	350.5	4	154.4	170.5	470.4							1264.3	210.7	6
1975	271.2	195.2	30.2	4.6	145.3	235.3	99	136.6	361.2	920.8	291.3	103.5	2794.2	232.8	12
1976	225.6	120.3	14.2	45.5	208.2	448.2	212.2	310.8	294.5	488.7	264.8	207.9	2840.9	236.7	12
1977	147	326.7		37	138					365.8	424		1438.5	239.8	6
1978		141	162.5	0	95	209.8	160	20	152.5	502.6	300.4		1743.8	174.4	10
1982							170	213.7	759	348	158		1648.7	329.7	5
MÍNIMA	114.5	120.3	4	0	95	209.8	99	20	152.5	348	158	15.8	994.7	174.4	3
MÁXIMA	271.2	350.5	162.5	154.4	208.2	470.4	212.2	310.8	759	920.8	471	207.9	2840.9	331.6	12
MEDIA	189.6	226.7	52.7	48.3	151.4	340.9	160.3	170.3	391.8	522.3	318.2	109.1	1817.9	250.8	7.7
