COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7224 
 NOMBRE    : CHICOMUSELO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHICOMUSELO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.75166667 ° 
 LONGITUD  : -92.27361111 ° 
 ALTITUD   : 550 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975						24	61	52	35.6	80.5	20	1.2	274.3	39.2	7
1976	1.2	3.3	1.9	30.8	30.7	60.2	68.1	50.5	66.6	77.5	16.1	4.8	411.7	34.3	12
1977	0.3	0	0	6.2	35.3	45.2	43	41.1	86.2	24.7	110.6	19	411.6	34.3	12
1978	1.5	6.1	4.1	40	17.8	58.5	46.7	80.2	40.6	32.7	1.1	17.4	346.7	28.9	12
1979	1.5	4.6	2.3		22.1	32.1	54.2	98.3	56.1	19.5	9.7	3.4	303.8	27.6	11
1980	2.4	14.4	0	38.3	20.5	54	75.4	93.3	81.4	33.7	13.2	4.7	431.3	35.9	12
1981	0	7.4	11	53.5	69.5	84.4	36.7	80	65.2	104.6	10.2	1.7	524.2	43.7	12
1982	0.4	4.3	15.5	30.6	43.5	69.1	24	15.4	71.8	54.8	23.1	4.2	356.7	29.7	12
1983	3.1	30.4	41	0	37.2	50.6	70.6	86.6		27.7	4.5	4.5	356.2	32.4	11
1984	1.1	0	23.4	11.5	11.4	50.5	74	49.7	55.9	16.6	3.1	0	297.2	24.8	12
1985	2.4	1.1	0	6	33.4	100.9	89.3	70.9	65.9	34	10.8	16.4	431.1	35.9	12
1986	10.2	3.1	3.5	30.5	71.7	66.5	25.5	70.2	32.1	13.2	5.1	0	331.6	27.6	12
1987	1.1	0	23.4	11.5	11.4	50.5	74	23.6	55.9	16.6	5.7	0.8	274.5	22.9	12
1988	2.9	1.6	0	0.2	35	48	40.8	65.4	44.1	42.2	13.9	56	350.1	29.2	12
1989	1.7	22	8.6	0.2	20.7	51.6	36.3		129.5	42.5	47.1	2	362.2	32.9	11
1990	15.1	10	16.5	18.7	25.9	50.6	37.8		50.7	33.2	18		276.5	27.6	10
1991									52.5	83.1	4.5	20	160.1	40	4
1992	0	5.5	4.4	18.6	24	82	31	60.5	54.7	46.5	26.2	3.3	356.7	29.7	12
1993	0	0	6	6	1						3.5	0	16.5	2.4	7
1994	5.6	1	1.6	7.3	59.3	30.7	51.3	42.3	72.2	60.6	1.6	0	333.5	27.8	12
1995	0	1.7	8.4	30.5	49.4	160.2	33.7	77.2	80.7	53.4	1.8	6.3	503.3	41.9	12
1996	39	0	1.5	45.3	31.4	73.4	92.2	61.4	61.6	38.7	4.8	20.4	469.7	39.1	12
1997								52.1	41.9	34.5	59.3		187.8	47	4
1998	1.2	0	0	0	10.3	77.3	72.3	0	55.9	19.2	12.3	12.4	260.9	21.7	12
1999	3.6	9.8						51.9	79.3	57.2	6.3	3.1	211.2	30.2	7
2000	1.9	3.8	10.7	2.7	87.2	76.4	51.9	73.4	56.4	19.2	8.5	2.3	394.4	32.9	12
2001	5.3	3.1	6.2	0	8.7	23.5	48.7						95.5	13.6	7
2002	20.1	60.8	10.2	0	31.4	46.3	31.8	77.5	93.1	35.5	8.3	2.7	417.7	34.8	12
2003	1.3	0	2.8	2.4	23.8	70.8	131.5	99.3	64.5	45.6	28.2	7.8	478	39.8	12
2004	1.3	1.7	5.9	16.8	58.6	65.7	76.1	60.4	54.1	76.4	14.2	12.3	443.5	37	12
2005	0		12.4	45.6	14.4	60.8	48.2	67.5	122.2	80.5	1.3	0	452.9	41.2	11
2006	6.1	1.2	9.5	0	74.6	88.7	73.2	36.2	88.4		21.7	14.1	413.7	37.6	11
2007	6.2	1.2	3.9	4.5	83.7	69.5	53.2	71.6	61.9	94.8	9.3	0	459.8	38.3	12
2008	13.2	18.6	8.1	19.21	43.2	114.4	70.3	73.3	110.9	49.4	19.9	13.8	554.31	46.2	12
2009	11.3	3.1	2.2	11.3	44.6	80.6	38.5	99.8	83.7	37.6	45.6	44.6	502.9	41.9	12
2010	17.3	4.2	4.1	40.4	56.9	59.4	60.3	63.8	50.4	14.6	16.9	9.3	397.6	33.1	12
2011	8.7	3.5	13.8	35.3	39.2	50.2	78.9	81.6	78.3	81.9	17.1	1.5	490	40.8	12
2012	5.8	7.2	17.9	13.7	46.7	54.9	31.9	75.8	88.9	83.6	0	6.1	432.5	36	12
2013	7.8	3.9	7.8	8.9	52.3	140.6	56.3	60.9	77.9	74.7	98.7	15.6	605.4	50.5	12
2014	8.2	4.3	5.3	71.3	69.7	93.7	51.4	79.4	148.4	88.7	6.2	0.1	626.7	52.2	12
2015	2.6	1.2	8.7	29.5	23.9	59.6	17.4	54.54	95.1	82.2	38.8	2.1	415.64	34.6	12
2016	1.2	0	31.3	5.76	36.2	67.2	20.9	54.5	68.1	16.9	16.3	2.8	321.16	26.8	12
2017	0	0	0	12.2	89.6								101.8	20.4	5
MÍNIMA	0	0	0	0	1	23.5	17.4	0	32.1	13.2	0	0	16.5	2.4	4
MÁXIMA	39	60.8	41	71.3	89.6	160.2	131.5	99.8	148.4	104.6	110.6	56	626.7	52.2	12
MEDIA	5.3	6.3	8.6	18.6	39.6	66.9	54.7	63.6	71.2	49.5	19.1	8.6	368.4	33.6	10.8
DESV.ST	7.5	11.1	9	18	23.2	28.2	23.4	22.3	25.4	26.5	23.7	11.8	131.2	9.4	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975						74.3	265.5	249.5	206.6	493	63.9	1.2	1354	193.4	7
1976	1.3	5.7	1.9	32.5	93.9	300.6	236.1	179.5	307.1	204.1	54.4	11.6	1428.7	119.1	12
1977	0.3	0	0	16.7	126.7	224.9	63.8	314	412.3	103.9	204.4	24	1491	124.2	12
1978	2.6	6.1	7.4	43.7	66.8	248.4	249.5	310.3	330.9	127.4	1.7	17.4	1412.2	117.7	12
1979	1.5	4.6	2.5		93.1	215.2	374.2	361.2	468.1	107.8	15.8	10.3	1654.3	150.4	11
1980	2.4	15.5	0	47.5	95.3	202.1	317.2	282.1	443.2	122.8	47.2	7.2	1582.5	131.9	12
1981	0	8.8	16.5	80.2	134.6	319.3	301.5	540.3	374.9	249.7	21	2.01	2048.81	170.7	12
1982	0.7	7.2	20.3	49.1	276.3	446.2	101.6	76.21	390.8	194	64	5.7	1632.11	136	12
1983	4.3	50.41	51.5	0	46.3	287.2	233.2	331.8		106.4	4.5	4.5	1120.11	101.8	11
1984	1.1	0	36.9	17.5	11.4	299.6	278.2	349.1	302.3	23.8	3.3	0	1323.2	110.3	12
1985	2.4	1.1	0	13.3	118.3	399.1	275.9	367	349.7	153.9	39.4	19.9	1740	145	12
1986	10.8	3.1	3.5	30.5	298.2	193.5	90.7	307.7	154.8	44.7	14.6	0	1152.1	96	12
1987	1.1	0	36.9	17.5	11.4	299.1	307.2	134.3	302.3	23.8	9.8	0.82	1144.22	95.4	12
1988	3.82	2.11	0	0.2	66.41	389.9	246.3	617.6	199.5	148.5	30.5	483.05	2187.89	182.3	12
1989	1.71	27.41	8.62	0.21	67.01	289.52	232.9		407.28	205.13	80.31	5	1325.1	120.5	11
1990	15.11	11.91	35	40.81	107.1	207.1	141.31		248.9	93.71	18.9		919.85	92	10
1991									340.8	320	6.5	28.9	696.2	174.1	4
1992	0	5.5	7.6	53.6	49.9	355.21	139.2	246.6	299.7	96.7	49.01	4.4	1307.42	109	12
1993	0	0	9	18	1						3.5	0	31.5	4.5	7
1994	8.7	1	2.6	7.3	86.4	220	103.2	229.8	292.71	172	1.9	0	1125.61	93.8	12
1995	0	1.7	9.9	50.6	107.4	487.2	222.3	423.2	524.1	127.8	2.6	10.2	1967	163.9	12
1996	42.1	0	1.5	145.4	183	500.3	344.4	290.9	276.5	225.4	12.5	20.4	2042.4	170.2	12
1997								130.7	257.5	117.7	136.3		642.2	160.5	4
1998	1.9	0	0	0	15.2	385.3	232	0	280.6	143.8	63.1	27.2	1149.1	95.8	12
1999	6.1	9.8						325.9	539.4	435.3	12.7	5.4	1334.6	190.7	7
2000	1.9	5.1	10.7	2.7	482.5	477.5	138.5	261.9	419.3	41	22.1	4.2	1867.4	155.6	12
2001	8	4.4	11.5	0	30.6	63.7	292.9						411.1	58.7	7
2002	20.1	125.2	10.5	0	101.7	196.6	143.1	341.2	328.5	166.4	31.9	2.7	1467.9	122.3	12
2003	2.5	0	5.2	4.5	62.8	639.5	266.6	637.6	593.2	165	75.8	14.9	2467.6	205.6	12
2004	1.5	4.3	5.9	22	127.11	315.81	211.13	144.52	316.61	318.5	43.51	15.5	1526.39	127.2	12
2005	0		20.5	45.6	76.11	357.92	261.81	331.6	353.6	254.5	2.51	0	1704.15	154.9	11
2006	10.71	2.6	9.5	0	317.2	490.8	234.41	201.6	394.3		95.1	20.8	1777.02	161.5	11
2007	20.71	1.8	6	4.54	153.32	339.4	261.61	553.91	513	608.6	23.5	0	2486.39	207.2	12
2008	19	49.7	21.8	44.91	256.3	822.3	688.4	735.8	825.1	316	31.1	23.1	3833.51	319.5	12
2009	23.9	4.5	2.6	22.1	219.3	438.02	125.9	300.4	495.7	208	135.4	96.5	2072.32	172.7	12
2010	55.7	4.4	7.9	134.7	194.3	511.9	487.9	698.9	500.5	36.1	38.6	14.7	2685.6	223.8	12
2011	8.7	4.7	19.5	93.7	119.3	457	537.6	498.1	573.1	416.7	30.3	1.5	2760.2	230	12
2012	9.1	20.8	41.5	26.1	165.6	294.5	140.1	526.6	423.7	312.2	0	6.1	1966.3	163.9	12
2013	24	3.9	12.5	12.8	140.7	484	298.5	402.1	395.4	433	183.5	41.8	2432.2	202.7	12
2014	28	8.1	8.5	94.7	300.3	410.6	188.6	347.7	835.7	274.5	16.5	0.1	2513.3	209.4	12
2015	5.1	1.2	19.3	45.3	59.1	257.2	66	172.34	524	322.6	64.6	4.3	1541.04	128.4	12
2016	2.1	0	35	10.06	66.96	315.9	80.5	418.8	345.8	27.3	28.8	2.8	1334.02	111.2	12
2017	0	0	0	15.8	230								245.8	49.2	5
MÍNIMA	0	0	0	0	1	63.7	63.8	0	154.8	23.8	0	0	31.5	4.5	4
MÁXIMA	55.7	125.2	51.5	145.4	482.5	822.3	688.4	735.8	835.7	608.6	204.4	483.05	3833.51	319.5	12
MEDIA	8.7	10.3	12.8	32.7	132.3	347.8	241.6	341.6	398.7	203.6	43.5	24.1	1602.4	145.4	10.8
DESV.ST	12.3	22.2	13.3	36.1	102.4	147.5	129.4	170.2	146.5	139.7	48.1	77.4	714.9	55.1	2.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1975						63.6	138.7	134.4	112.8	97.1	91.2	89.3	727.1	103.9	7
1976	99.1	135.6	222	220.4	111.5	112.6	137.1	130.6	120.3	110.5	99.7	76	1575.4	131.3	12
1977	114.5	132.4	185.1	174.4	185.5	131.2	169.7	150.5	120.9	124.3	100	100.2	1688.7	140.7	12
1978	106.2	119.7	178.2	198	199.8	149.8	123.1	150.4	109.1	123.9	115.3	107.1	1680.6	140.1	12
1979	130	142.5	211.4		194.2	138.3	138.6	132.4	93.9	107.9	95.2	81.2	1465.6	133.2	11
1980	123.2	148.3	211.1	183.8	200.5	128.9	141.8	123	128.9	99.7	90.9	87.4	1667.5	139	12
1981	111.4	136.7	179.3	215.7	170.1	134.4	139.3	134.1	123.1	142.6	107.4	91.8	1685.9	140.5	12
1982	127.9	139.8	202.9	213.9	167.8	139.6	120.1	136.3	113.5	116.7	98.2	95	1671.7	139.3	12
1983	107	105.6	170.4	189	198.1	146	138.8	142.3		104.4	103.27	101.1	1505.97	136.9	11
1984	133.32	150.34	196.91	199.56	226.81	149.09	141.38	142.33	155.98	108.47	114.04	121.33	1839.56	153.3	12
1985	135.15	148.21	225.48	211.77	213.6	145.62	98.66	159.91	137.25	136.67	96.78	91.49	1800.59	150	12
1986	103.12	143.65	188.53	217.76	183.63	147.26	141.09	144.08	118.26	122.41	118.11	122.07	1749.97	145.8	12
1987	132.46	150.34	196.91	199.53	226.81	149.04	140.37	153.21	155.98	108.47	115.71	112.15	1840.98	153.4	12
1988	109.91	156.95	205.01	213.67	220.2	153.47	136.89	178.53	118.78	107.23	115.38	108	1824.02	152	12
1989	126.75	138.21	187.41	185.42	160.43	121.94	135.45		84.64	93.54	101.54	92.4	1427.73	129.8	11
1990	116.04	131.82	172.23	178.39	167.71	132.17	122.89		68.03	119.85	28.36		1237.49	123.7	10
1991									131.24	124.23	87.84	87.23	430.54	107.6	4
1992	101.45	134.26	202.07	187.53	156.94	155.37	140.33	150.94	121.7	113.31	94.05	105.11	1663.06	138.6	12
1993	119.25	149.94	198.71	218.09	191.1						106.18	88.91	1072.18	153.2	7
1994	97.46	136.33	197.42	146.6	186.33	98.35	131.03	91.12	101.29	125.95	95.29	107.68	1514.85	126.2	12
1995	130.39	146.41	199.91	199.96	185.91	138.53	139.49	116.74	103.87	84.8	106.32	94.55	1646.88	137.2	12
1996	114.29	132.12	193.87	194.96	165.5	111.72	114.95	113.71	112.23	84.78	79.62	103.96	1521.71	126.8	12
1997								133.81	92.76	85.9	76.46		388.93	97.2	4
1998	97.95		168.77	192.06	191.6	172.59	122.55	141.81	115.35	99.16		91.81	1393.65	139.4	10
1999	115.88	137.43						94.25	54.47	52.89	76.94	92.87	624.73	89.2	7
2000	94.92	127.51	181.45	191.81	87.39	83.04	117.77	137.45	101.44	111.48	104.75	91.24	1430.25	119.2	12
2001	117.18	110.07											227.25	113.6	2
2002	84.27	69.21	186.03	277.76	206.13	111.15	169.23	165.03	66.85	113.95	91.97	87.19	1628.77	135.7	12
2003	94.41	150.41	195.29	216.04	177.37	138.21	155.3	143.51	101.98	89.8	81.03	70.72	1614.07	134.5	12
2004	85.34	117.32	184.11	217.23	168.19	139.2	142.63	145.45	128.08	118.66	90.68	85.23	1622.12	135.2	12
2005	107.4		196.82	188.6	182.72	155.32	140.16	129.65	126.02	48.65	92.92	118.21	1486.47	135.1	11
2006	95.42	103.83	139.8	160.52	138.04								637.61	127.5	5
2007	66.13	88.48	141	159.65	177.21	51.63	82.07	51.31	42.91	38.67	59.09		958.15	87.1	11
2012				179.47	154.68	89.48	110.8	95.34	89.3	87.31	69.02	107.58	982.98	109.2	9
2013	91.4	117.41	136.44	165.4	148.59	75.95	52.59	86.84	60.53	63.17	49.88	44.71	1092.91	91.1	12
2014	65.63	113.86	166.62	199.74	100.67	69.26	126.17	136.25	64.62	60.06	54.41	85.34	1242.63	103.6	12
