COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7227 
 NOMBRE    : TALISMAN II 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUXTLA CHICO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 14.95916667 ° 
 LONGITUD  : -92.16833333 ° 
 ALTITUD   : 380 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983							75	73	109.7	131.8	20.3	40.6	450.4	75.1	6
1984	4.5	25.6	37.1	17.9	58.1	67.1	106	80.6	140.2	48.1	41	13.6	639.8	53.3	12
1985	6	15.1	41.3	46.6	57.7	92.8	93	118.3	124.9	65.3	65.6	18.5	745.1	62.1	12
1986	16.9	52.1	34.5	108.7	118.6	95.8	95.6	74.1	42.4	106.8	114.3	3.1	862.9	71.9	12
1987	1.5	0	20.2	37.9	116.1	76.4	95.7	68	125.7	131.3	73.6	93.5	839.9	70	12
1988	49.2	18.8	17.6	47.2	54	84.4	108	80.4	146	117.6	48.4	56.9	828.5	69	12
1989	39.6	46	6	52.9	90.2	117.9	80	160.2	95.4	80.1	103.2	35	906.5	75.5	12
1990	0	23.1	48.2	71.5	134	111.3	104.4	100	120.4	105.6	142.2	15	975.7	81.3	12
1991	14	0.1	5.4	43.2	25.5	91	62.4	91.1	104	64.5	38.5	93.7	633.4	52.8	12
1992	7.7	5.5	27	70.5	60.2	88.9	81.2	57.4	108.4	100.4	94.7	0	701.9	58.5	12
1993	30.8	5.7		32.2	200.4	53.4	41.7	98.4	168.6	86.2	12.5	13.3	743.2	67.6	11
1994	5.3	15.5	29.5	34.8	75.2	68.5	105.6	87.4	142.3	123.3	74.2	70.9	832.5	69.4	12
1995	11.3	31.3	8.5	84.5	135.2	162.5	124.5	92.6	90.3	77.2	40	85.2	943.1	78.6	12
1996	10.4	0	98.5	83.5	120.2	170.3	103.5	138.5	126.5	66.9		0	918.3	83.5	11
1997	3.3	20.1	34.2	96.3	96.3	103.9	67.9	73.2	150.9	139.5	181.5	41	1008.1	84	12
1998	0.01	0	4.3	0	28.5	126.9	77.8	95.8	187.6	99.8	60.4	0	681.11	56.8	12
1999	0	25.9	153.5	270.3	86.4	143.5	74.4	75.2	67.8	137.2	21.3	13.6	1069.1	89.1	12
2000	0	35.5	17.8	42.5	160.3	110.3	105.3	173.6					645.3	80.7	8
2001	65.5	3.7	60	55.2	110.2	58.2	77.2	70	80	141.2	53.1	33.7	808	67.3	12
2002	0.3	0.3	4.7	75.3	64.8	66.6	71.5	146.2	142.1	80.3	56.4	5.5	714	59.5	12
2003	10	10.8	36.5	15.4	163.1	136.2	125.6	127.1	180	93	51.2		948.9	86.3	11
2004	11.1	47.2	42.4	59.8	115.7	67.5	87.3	85.1	106.2	101.4	36.4		760.1	69.1	11
2005	17.9	1.4	40	78.7	75.3	81.8	102.8	119.6	118.2	330.3	55.6	0.7	1022.3	85.2	12
2006	6.3	0	38.4	101.8	88.7	129	62.7	68.7	80.2	141.9	101.9	0	819.6	68.3	12
2007	9.6	1.3	38.7	58.2	140.4	156.4	84.3	140.1	100.2	260.1	66.2		1055.5	96	11
2008	1.3	43.2	68.5								0	0	113	22.6	5
2009	6.4	22.3	22.4	18.6	68.4	150.2	70.4	61.6	118.4	86.4	43.6	10.2	678.9	56.6	12
2010	20.4	23.2	23.7	81.2	82.7								231.2	46.2	5
2013						74.2	92.3	153	192.7	185	97	8.7	802.9	114.7	7
2014	0.1	0.1											0.2	0.1	2
MÍNIMA	0	0	4.3	0	25.5	53.4	41.7	57.4	42.4	48.1	0	0	0.2	0.1	2
MÁXIMA	65.5	52.1	153.5	270.3	200.4	170.3	125.6	173.6	192.7	330.3	181.5	93.7	1069.1	114.7	12
MEDIA	12.5	16.9	36.9	64.8	97.2	103.3	88	100.3	121.9	119.3	65.1	27.2	746	68.4	10.5
DESV.ST	16	16.6	32	50.4	42.4	34.6	19.7	33.3	36.5	61.2	40.8	31.2	258.5	21.3	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983							505.1	705.9	738.4	667.1	118.62	57.5	2792.62	465.4	6
1984	8.3	58.5	53	33.6	410.4	570.2	651.6	681.1	831.12	350.8	193.5	15.1	3857.22	321.4	12
1985	6	25.5	74.3	167.1	306.2	512.8	575.9	833.8	529.5	417.2	242.1	25.2	3715.6	309.6	12
1986	21.81	193.41	34.5	208.9	534.2	626.9	623.9	515.5	376.3	773.2	267.8	3.1	4179.52	348.3	12
1987	1.5	0	44.6	173.2	235.1	479.1	966.1	447.6	889.92	393.8	148.2	149	3928.12	327.3	12
1988	68.73	18.8	31.4	124	212.3	583.1	685.7	809.1	1075.8	489.8	128.4	100.9	4328.03	360.7	12
1989	59.1	73.2	22.1	122.8	738.1	904.3	534.7	679.2	893.5	570.2	311.4	61.3	4969.9	414.2	12
1990	0	52.1	127.7	397.6	645.4	804.8	526.2	491.6	912.1	1018.9	289.4	27.3	5293.1	441.1	12
1991	26	0.1	10.6	230.1	210.2	768.4	268.3	497.7	581.9	664.2	98.1	173.8	3529.4	294.1	12
1992	11	5.5	100	293.5	239.3	852.9	501	416.4	824.2	528.7	434	0	4206.5	350.5	12
1993	68.6	17		118.8	636.1	378.2	274.6	760.4	749.1	515.3	58.9	13.3	3590.3	326.4	11
1994	5.3	17.7	68.6	148.6	619.7	434.8	436.6	568.3	658	874.3	538.9	70.9	4441.7	370.1	12
1995	11.3	43.1	26.5	431.5	649.9	765.6	780.9	616.3	800.4	511.5	239.8	210.4	5087.2	423.9	12
1996	15.4	0	184.5	396.7	901.7	818.4	701.3	687.6	646	505.1		0	4856.7	441.5	11
1997	3.3	57.72	106.26	473.11	516.03	401.74	379.72	447.34	716.53	445.22	624.1	41	4212.07	351	12
1998	0.02	0	5.81	0	55.52	908.81	518.25	753.43	904.31	559.02	249.91	0	3955.08	329.6	12
1999	0	53.64	258.1	550.9	356.92	821.11	436.62	676.51	610.43	757	63.41	14.22	4598.86	383.2	12
2000	0	40.44	47.03	119.31	811.01	615.93	730.91	928.43					3293.06	411.6	8
2001	65.51	6.92	167.05	110.92	683.2	334.73	655.82	502.42	555.02	784.13	85.15	63.31	4014.18	334.5	12
2002	0.3	0.33	11	404.11	364.43	421.54	465.03	590.73	956.61	701.82	141.62	5.9	4063.42	338.6	12
2003	10.4	10.8	79.21	50.81	582.7	884.2	732.01	720.11	1163.4	707.81	212.41		5153.86	468.5	11
2004	11.1	50	109.91	105.73	628.14	480.5	740.2	540.11	729.2	1096.91	75.51		4567.31	415.2	11
2005	17.9	1.41	148.62	258.93	371.71	870.4	879.32	847.8	944.7	1093.11	200.3	0.71	5634.91	469.6	12
2006	20.41	0	105.51	389.21	628.12	815.72	514.7	666.42	760.6	774	309.41	0	4984.1	415.3	12
2007	9.6	1.3	106.9	199.41	785.6	522.31	516.1	904.12	671.82	779.8	68.51		4565.47	415	11
2008	3.01	116.8	128.82								0	0	248.63	49.7	5
2009	10.2	22.81	58.41	30.02	556.52	1082.51	467.21	726.81	604.5	1066.71	145.5	11	4782.2	398.5	12
2010	55.4	23.2	44.11	179.51	683.9								986.12	197.2	5
2013						436.6	669.3	727.2	597.5	990.3	288.6	11.1	3720.6	531.5	7
2014	3.1	1.3											4.4	2.2	2
MÍNIMA	0	0	5.81	0	55.52	334.73	268.3	416.4	376.3	350.8	0	0	4.4	2.2	2
MÁXIMA	68.73	193.41	258.1	550.9	901.7	1082.51	966.1	928.43	1163.4	1096.91	624.1	210.4	5634.91	531.5	12
MEDIA	18.3	31.8	82.9	219.9	513.9	657.5	582.9	657.1	758.5	693.7	212.8	44	3918.7	356.9	10.5
DESV.ST	22.6	42.7	61.1	151.6	217.5	208.1	166.8	143.3	179.6	225.4	148.6	59.2	1351.8	111.7	2.7

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983							130.4	145.6	121.29	120	100.98	95.7	713.97	119	6
1984	120.87	134.57	156.34	139.76	119.43	128.87	123.34	129.48	101.07	107.25	98.1	92.51	1451.59	121	12
1985	116.2	134.91	151.73	130.82	134.31	127.16	121.43	131.57	126.36	110.49	99.54	89.63	1474.15	122.8	12
1986	113.44	107.97	145.73	139.43	122.05	124.82	151.73	123.61	113.46	127.86	112.62	105.03	1487.75	124	12
1987	132.77	145.24	167.9	149	132.74	128.61	122.24	121.58	126.5	130	111	100.03	1567.61	130.6	12
