COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7229 
 NOMBRE    : SANTO DOMINGO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHIAPA DE CORZO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.45361111 ° 
 LONGITUD  : -93.05555556 ° 
 ALTITUD   : 500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976									62	36	62	0	160	40	4
1977	0	0	0	8.5	53.5	72	30.1	58	55	6	12.5	0	295.6	24.6	12
1978	0	0	0	6.5	40	114.5	56	119	54	3.5	1.5	0.5	395.5	33	12
1979	0	0	4	6.5	24.5	15	38.5	50	28.5	54	0.3	0	221.3	18.4	12
1980	3.5	0	0	0.2	22.7	20	82.7	40	57	7.6	1.4	0	235.1	19.6	12
1981	0	0	0.9	8	43.3	34.5	66.6	50.5	63.4	19.2	16.7	0	303.1	25.3	12
1982	0	7.8	0.4	3	31.7	40	51.5	17	53.5	65.9	0	1.1	271.9	22.7	12
1983	0	27.5	35	0	4.5	44.5	23.6	84.1	42.4	17	2.2	1.5	282.3	23.5	12
1984	0	0	0	0	11.7	67	64.5	48.1	29.7	2.1	0.01	0.01	223.12	18.6	12
1985	0.01	0	2.7	13.5	57.4	40.3	88.8	46.7	37.7	26.9	3.32	0	317.33	26.4	12
1986	0	0	0	3.9		26	25.7	82.5	24.3	46.1	1.5	0	210	19.1	11
1987	0	0	3.5	1.7	22	39.5	34	58	25.8	0.8	0	0	185.3	15.4	12
1988	0.01	0	0	0	18.4			58.8	39.2	3.6	1	0	121.01	12.1	10
1989	0.2	0	0	52.2	18.6	76.5		28.4	43.4	29.1	40.6	0	289	26.3	11
1990	1.1	14.2	3.1	6.2	40	103.3	22.6	31.9	87.3	28.8	3.5	4.1	346.1	28.8	12
1991	6.5	0.01	0.1	11.1	44.7	64.1	19.4	52	65.8	45.3	0.4	16	325.41	27.1	12
1992	1	1	7.5	13	25.1	70.5	56.9	43.2	46.7	26.9	1.4	5.3	298.5	24.9	12
1993	0.01	0.1	0.1	7.2	17.3	66	40	42	40	45.5	4	0.1	262.31	21.9	12
1994	0.01	0.01	0.1	37	36	82	40.8	67.2	33.5	37	5.4	0.01	339.03	28.3	12
1995	0.1	0.1	1	23	64.3	111.5	34	69	43.5	36	2.4	5.8	390.7	32.6	12
1996	0.01	0.1	2.6	10.8	36.4	93.3	100.5	184	80.4	102.4	52.3	15.2	678.01	56.5	12
1997	68.6	33.6	34.6	62.3	100.5	85.2	75.2	45.2	106.3	70.6	95.4	20	797.5	66.5	12
1998	35.3	2.2	15.4	10	8.4	40.2	106.3	76.3	140.4	117.5	155.5	34.5	742	61.8	12
1999	0.1	0.01	32.5	111.7	63.5	134.2	109.3	73.5	149.7	124.4	84.5	20.2	903.61	75.3	12
2000	28.5	24.3	23.4	55.3	77.2	77.4	54.5	187	88.2	6.8	0	0	622.6	51.9	12
2001	0	0.7	0	49	56.5	78.5	32.1	48.1	49.9	11.3	0.5	4.5	331.1	27.6	12
2004	0	0	0	14.2	33.2	73.4	37	34	63.7	28	0.5	0.01	284.01	23.7	12
2005	0	0	0	0	49	69.4	83.8	64	34.8	78.1	1.2	0	380.3	31.7	12
2006	0	0	0	8.4	81.4	32.8	62.6	29.8	40	29.8	2.5	0.01	287.31	23.9	12
2007	1.3	0	31	32.8	4.8	76.8	23.5	61.3	28	68.5	20.1	0	348.1	29	12
2008	0	0	0		87	88	52.8	91.2	32.9	15.5	0	0.5	367.9	33.4	11
2009	0	0	0	2.5	47.2	36.7	36.8	41.1	87.3	19.6	4.6	9.2	285	23.8	12
2010	0	0	2.2	42.5	9.8	85.8	72.6	72.5	49.6	9.7	1.2	0.1	346	28.8	12
2011	0	1.8	1	32	16	76	60	67.5	97.3	38.9	1.5	0	392	32.7	12
2012	0	6.5	18	44.4	79.1	42.8	68.8	96	76.5	10	0	4.1	446.2	37.2	12
2013	0	0	0	4	44.9	62.5	47.5	59	92.8	13.6	5	1	330.3	27.5	12
2014	0.4	6.1	3.6	14.2	61	60.2	38.5	33.2	93.3	27	0.01	0	337.51	28.1	12
2015	0	0	19.2	10.4	27.3	46.7	36.5	30.3	54.5	32.7	1.2	0.2	259	21.6	12
2016	0	0	2.2	9.6	39.9	126	35	47	30	11.3	1.5	10.1	312.6	26	12
