COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7230 
 NOMBRE    : SAN MIGUEL (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHICOMUSELO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.70861111 ° 
 LONGITUD  : -92.20861111 ° 
 ALTITUD   : 600 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976							116.5	29	51	63.5	14.5	5	279.5	46.6	6
1977	0	0	0	8	23.5	59	59.5	49	60	14.5	86	27	386.5	32.2	12
1978	2.5	5.5	17	10	23	41	52	59	46	29.5	4	15.5	305	25.4	12
1979	1	13.7	9	43.1	32.8	42.2	46.5	92.5	77.3	15.7	16.2	3	393	32.8	12
1980	7.9	12	0	20.7	46.5	36.2	123	82.6	87.7	58.2	11.4	2.6	488.8	40.7	12
1981	0	7.3	6	32.2	38	65.6	80.5	94.1	83	38.2	9.5	0.4	454.8	37.9	12
1982	0.6	5.2	19	39.3	67.8	68.7	37.5	39.4	64	40.3	32	6	419.8	35	12
1983	2.9	27.1	41.6	0.6	35.5	44	109.7	69.7	88.1	17	7.4	2.6	446.2	37.2	12
1984	1.8	4	0.01	0.01	45.8	104.5	45.7	56.5	123.7	25.6	2	0.2	409.82	34.2	12
1985	3.3	1	0	9.8	33.7	54.7	86.5	55.5	44	28.2	10.9	11.6	339.2	28.3	12
1986	2.7	0.3	2.3	2.7	60.4	43.8	11.7	50.8	27.4	13	7.4	0	222.5	18.5	12
1987	1.4	0	21.3	7.8	7	45.7	59.2	18.3	70.5	11.2	5.8	0.8	249	20.8	12
1988	2.9	1.6	0.01	0.2	26.2			50.5	91.5				172.91	24.7	7
1990	15.1	1.2	16.5	18.7	25.9	50.6	37.8	92.2	50.7	33.2	7.3	41	390.2	32.5	12
1991	5.5	15.7	0.3	18.3	58	38.7	43	24.9	62.5	88.8	7.4	11.4	374.5	31.2	12
1992	0.01	6	7.5	27.4	39.1	47.2	43.7	43.3	115.7	66.2	20.5	1	417.61	34.8	12
1993	0.01	0.1	4.1	3.7	4.9	66.6	44.6	84.6	51.4	36.4	0.01	0.01	296.43	24.7	12
1994	4.8	1.1	1.8	3.8	30	33.9	75.4	86.2	64.5	32.5	0.01	0.1	334.11	27.8	12
1995	0.1	1.9	2.7	9.3	12.7	114.5	98.7	50	48.8	36.9	1.4	3.7	380.7	31.7	12
1996	5.6	0.1	1.9	36.6	38	106.7	93.1	40.4	55.9	79.1	2.9	2.2	462.5	38.5	12
1997	0.5	1.4	0.6	17.2	41	74.5	20.8	69.9	47.1	31	25	16.6	345.6	28.8	12
1998	2	0.01	0.1	0	9.7	73.3	77.5	51.2	42.3	34	11.7	14.1	315.91	26.3	12
1999	1.6	3.6	0.1	15.6	21.3	60.8	21	62	61.6	41	5.9	7.8	302.3	25.2	12
2000										82.5	9.4	0	91.9	30.6	3
2001	0.01	0.01	2.9	8.1	47.3	25.9	54.8	55.2	47.5	30.9	2.3		274.92	25	11
2002	3.1	6	0	0.01	23.3	52.7	30.5	62.5	35	42.6	11.5	1.8	269.01	22.4	12
2003	1.3	0	2.8	1.6	28	69.3	58.9	62.5	56.2	77.3	16.6	1.9	376.4	31.4	12
2004	0.5	1.3	1.8	12.6	33.4	107.8	67.2	49	57.7	84.9	15	13.9	445.1	37.1	12
2005	0	0	23.4	17.3	35.8	73.3	35.9	39.8	86.8	76.4	0.2	0	388.9	32.4	12
2006	20.3	0.01	15.5	3.2	58.4	126.4	76.8	22.6	22.9	25.8	10.7	13.2	395.81	33	12
2007	1.7	0	1.1	1	78.9	39.6	100.2	48.1	59.8	50.6	1.3	0	382.3	31.9	12
2008	8.5	7.8	2	2	24.6	53.1	42.1	44.7	94.8	48	2.6	2.5	332.7	27.7	12
2009	1.4	0.5	0	0.1	15.4	55.4	33.3	34.6	103.8	34.1	15.4	22.5	316.5	26.4	12
2010	0.7	0.2	1.7	16.6	33.5	102.3	31.2	90.4	11.6	2.8	1.9	1.8	294.7	24.6	12
2011	0.01	1.8	10.4	20.6	38.1	61.9	48.5	63	55.8	62.8	3	0	365.91	30.5	12
2012	2.1	0.8	22.6	26.7	44.6	62.3	40.2	87.5	55.9	36.4	0	4.7	383.8	32	12
2013	0	1.8	10.4	20.6	38.1	63.1	48.5	63	63.2	62.8	3	0	374.5	31.2	12
2014	31.5	0	0.2	55.7	35.3	40.5	21.5	87	137.2	42.5	1.5	0	452.9	37.7	12
2015	0	0.1	1.8	10	41	54	21.5	65.4	55.4	33.4	18.5	2.7	303.8	25.3	12
2016	1.1	0.1	4.3	34.4	57.8	75.4	27.4	54.3	30.9	16.6	31.8	0.2	334.3	27.9	12
2017	0.3	0	0.3	4.8	32.7	49	55.2	45.2	44.8	52.3	5.5	0	290.1	24.2	12
2018	9.7	0	9.7	63	17	23.5	44.5	47.1	65.2	42	29.9	0.01	351.61	29.3	12
2019	0.4	0	1.1	0.01	39.9	62.5	58.2	34.9	32.7	71.6	6	18	325.31	27.1	12
2020	0.2	3.2											3.4	1.7	2
2021								72.5	79.3	55.8	3.4	1.3	212.3	42.5	5
MÍNIMA	0	0	0	0	4.9	23.5	11.7	18.3	11.6	2.8	0	0	3.4	1.7	2
MÁXIMA	31.5	27.1	41.6	63	78.9	126.4	123	94.1	137.2	88.8	86	41	488.8	46.6	12
MEDIA	3.5	3.2	6.4	15.2	35.2	61.8	55.6	57.7	63.1	43.4	11.1	6.1	336.7	29.9	11.2
DESV.ST	6.1	5.4	9.1	15.7	16.1	24.6	27.8	20.2	26.4	22.1	14.5	8.9	94.3	7.2	2.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1976							295	159	277	154	44.7	11.5	941.2	156.9	6
1977	0	0	0	13.6	87.5	206.5	74	358.5	409.5	58.5	148.5	29.5	1386.1	115.5	12
1978	3	6	18	21.5	71	183	311	266	271.5	140	5.5	16.5	1313	109.4	12
1979	1	13.7	9.3	46.9	92.4	158.8	320.2	320.1	433.6	76.4	22.2	10.2	1504.8	125.4	12
1980	7.9	13.7	0	37	116.9	161.4	327	313.3	421.4	163.4	29.9	5.3	1597.2	133.1	12
1981	0	9.5	8	65	94.2	400.5	336.9	619.7	389.4	169.5	15.9	0.8	2109.4	175.8	12
1982	0.8	8	21	52.7	236.6	343.4	84.3	88.4	413.4	169.3	60.2	8.1	1486.2	123.8	12
