COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7233 
 NOMBRE    : TILTEPEC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : JIQUIPILAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.39444444 ° 
 LONGITUD  : -93.86805556 ° 
 ALTITUD   : 680 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977		0	2	0.2	20	26	45	14	40	19	0	5.5	171.7	15.6	11
1978	3	20	20	0	60	80	31	40	120	26	0		400	36.4	11
1979					2.7								2.7	2.7	1
1980		0							30			0	30	10	3
1981	0	0	3.3	3.1	4.1	90	110	90	60			0	360.5	36	10
1982	0	5	0	0	20.1			20	30	20.8	0	0	95.9	9.6	10
1983	0	0	60.1	0	0	18.5	30	20	0				128.6	14.3	9
1987	0	2.58	7.4	0	18.4	11	87.4	19	10.4	4	0		160.18	14.6	11
1988	0	3	0	0		36	29.3	18		19		0	105.3	11.7	9
MÍNIMA	0	0	0	0	0	11	29.3	14	0	4	0	0	2.7	2.7	1
MÁXIMA	3	20	60.1	3.1	60	90	110	90	120	26	0	5.5	400	36.4	11
MEDIA	0.5	3.8	13.3	0.5	17.9	43.6	55.5	31.6	41.5	17.8	0	1.1	161.7	16.8	8.3
DESV.ST	1.2	6.8	21.8	1.2	20.5	33.3	34.7	27.1	39.7	8.2	0	2.5	135.9	11.7	3.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977		0	2.3	0.2	52.8	98.9	120	67.7	154	19	0	8.4	523.3	47.6	11
1978	3	20	20	0	122	211.5	150.9	70	202	100	0		899.4	81.8	11
1979					2.7								2.7	2.7	1
1980		0							142.8			0	142.8	47.6	3
1981	0	0	3.3	3.1	17.9	385.11	214.5	305.51	140			0	1069.42	106.9	10
1982	0	5	0	0	57.1			67.9	82.3	31.3	0	0	243.6	24.4	10
1983	0	0	80.1	0	0	32.5	205.4	157.6	0				475.6	52.8	9
1987	0	2.58	7.4	0	23	31.1	209.9	65.7	34	4	0		377.68	34.3	11
1988	0	3	0	0		240	246.7	183		26.1		0	698.8	77.6	9
MÍNIMA	0	0	0	0	0	31.1	120	65.7	0	4	0	0	2.7	2.7	1
