COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7239 
 NOMBRE    : VILLA DE ACALA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ACALA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.66222222 ° 
 LONGITUD  : -92.95638889 ° 
 ALTITUD   : 420 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	0	0	0	6	36.4	72	60.3	54.4	41.5	63.4	15.8	0	349.8	29.1	12
1992	0.5	1.7	24.8	2.5	55	52	25.2	29	39	8.6	3.5	6.9	248.7	20.7	12
1993	0	0.2	0	18.6	13.8	60	30.9	55.4	35.8	23.7	0	0	238.4	19.9	12
1994	0.1	0	0	7.5	29.4	46.3	23.3	61.6	32.1	53.5	4.7	0	258.5	21.5	12
1995	0	0	11	29.7	20.5	41	53.3	100	54.2	33.7	0	0	343.4	28.6	12
1996	0	0	0.01	50.4	27.8	46.8	55.8	28.3	45.4	15.5	0.7	0	270.71	22.6	12
2000										14	0	0.3	14.3	4.8	3
2001	0	5.5	6.5	0.1	62	48.8	25.4	30	39.3	17.5			235.1	23.5	10
2002	0	0	0.4	5	47	66.8	32	39	78	125.6	5.9	3	402.7	33.6	12
2003	0	0	13.7	5	49.5	42	63	41.3	58.9	56.2	3.4	0.2	333.2	27.8	12
2004	0	0	3.7	0.1	33.1	25	20.8	30.3	21.6	18.3	3.4	0	156.3	13	12
2005	0	0	0.1	5	25.2	49.2	69.5	80	36.5	71.6	0	0	337.1	28.1	12
2006	0.5	0	0	4.5	33.4	57.1	57.1	46.5	43.2	21.5	26.6	0	290.4	24.2	12
2007	0.7	0	1.6	13.5	44.5	26.9	52.4	94.8	47	80	1	0	362.4	30.2	12
2008	0.1	0	0.1	13.4	60	72.1	43.9	44.6	36.5	21	0.1	1.8	293.6	24.5	12
2009	0	0	0	0.1	22.3	64.9	59.5	41.2	26.5	43.9	6.2	7.4	272	22.7	12
2010	0.8	0.1	1	24	8	73.1	48	45	65	15.4	0.1	0	280.5	23.4	12
2011	1.2	16	0	18	13.4	40.2	55.5	97.3	44.5	48	7.2	0	341.3	28.4	12
2012	0	6.8	0	55	25.5	16.1	35.3	77.2	30.2	20	0	0.8	266.9	22.2	12
2013	0	0	0	19	60.2	60.2	35.8	50	98	51.8	6.1	3.5	384.6	32	12
2014	1	0.8	11.3	0	26.9	54.8	33.5	24	120	14.7	0	0	287	23.9	12
2015	0	0	1.8	77.5	21.5	54.8	33.5	24	120	14.7	0	0.7	348.5	29	12
2016	0	0	2.4	0.5	39.6	55	12.5	44	56.2	22.5	4.5	0	237.2	19.8	12
2017	8.3	0	0	2	55.3	80.6	31	41.3	83	16	0	0	317.5	26.5	12
2018	1.8	0	2.1	34.5	18.3	36.3	41.45	25.2	47.5	42.7	31.6	0	281.45	23.5	12
2019	0	0.2	0	0	43.5	32.3	57.2	42	35.5	34	0.8	2.2	247.7	20.6	12
2020	0	0	1.8	0	75	149.9	31	61.5	40	26	14.5	0	399.7	33.3	12
2021	0	0	5.2	28.5	24.8	40	31.5	46.7	49.5	11.7	0	0.2	238.1	19.8	12
MÍNIMA	0	0	0	0	8	16.1	12.5	24	21.6	8.6	0	0	14.3	4.8	3
MÁXIMA	8.3	16	24.8	77.5	75	149.9	69.5	100	120	125.6	31.6	7.4	402.7	33.6	12
MEDIA	0.6	1.2	3.2	15.6	36	54.2	41.4	50.2	52.8	35.2	5	1	287	24.2	11.6
DESV.ST	1.6	3.4	5.8	19.7	17.4	24.8	15.2	22.3	25.9	26.5	8.1	2	78.6	6	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	0	0	0	10.2	77.2	202.7	159.2	115	138.8	157.1	22.3	0	882.5	73.5	12
1992	0.5	1.7	25.4	5.4	66.6	264.2	117.4	70.1	161.93	30.2	3.5	9.1	756.03	63	12
1993	0	0.2	0	20.9	25.2	210.61	132.63	257.44	120.3	68.21	0	0	835.49	69.6	12
1994	0.1	0	0	9.1	104.91	103	91.8	302.72	70.3	120.23	9.41	0	811.57	67.6	12
1995	0	0	11.4	58.81	51.3	165.7	198.4	634.21	217.74	83.52	0	0	1421.08	118.4	12
1996	0	0	0.01	64.5	81.03	432.81	201.61	168.35	178.64	22.41	1.8	0	1151.16	95.9	12
2000										45.5	0	0.5	46	15.3	3
2001	0	7.6	6.5	0.1	131.6	161.3	157	201.1	303.5	38.1			1006.8	100.7	10
2002	0	0	0.4	8.3	83.7	291.8	130	62.3	423.2	261.3	10	3.3	1274.3	106.2	12
2003	0	0	13.7	5	93.6	192.6	174.8	223.5	239	138.1	11.1	0.2	1091.6	91	12
2004	0	0	4.6	0.2	78.5	117.5	102.7	84.7	152.7	68.6	4.8	0	614.3	51.2	12
2005	0	0	0.1	5	108.8	254.3	339	309.4	111	133.1	0	0	1260.7	105.1	12
2006	0.5	0	0	9.4	150.8	213.9	213.9	102.4	189.6	104.2	26.6	0	1011.3	84.3	12
2007	0.7	0	1.6	35.6	74.8	112.8	138.7	415.2	154	253.1	1	0	1187.5	99	12
2008	0.1	0	0.1	15.2	97.8	269.4	363	241.8	183.5	52.8	0.1	1.8	1225.6	102.1	12
2009	0	0	0	0.1	62.1	221.2	137.6	142.6	163.7	131.5	13.2	12	884	73.7	12
2010	0.9	0.1	1	64.2	16.6	286.1	224	416.7	304.2	21.4	0.1	0	1335.3	111.3	12
2011	1.2	16.1	0	37.9	27.7	177	202.9	469.3	384.2	177.8	7.2	0	1501.3	125.1	12
2012	0	6.9	0	56.5	49.9	53.7	137.5	401.9	112.3	80.2	0	0.8	899.7	75	12
2013	0	0	0	24.8	167.1	288.2	108.8	155.3	285.9	134.6	10.9	3.7	1179.3	98.3	12
2014	2.3	0.8	13.3	0	81.9	255.2	85.1	77.4	412.6	69.31	0	0	997.91	83.2	12
2015	0	0	1.8	99.5	76.3	255.2	85.1	77.4	412.6	69.31	0	1.1	1078.31	89.9	12
2016	0	0	4.7	0.7	51.6	186.1	64.2	148.4	270.6	66.6	10.2	0	803.1	66.9	12
2017	8.3	0	0	2	236.9	204.2	150.5	170.1	287.7	45.2	0	0	1104.9	92.1	12
2018	2.2	0	3.4	68.1	51.71	137.01	84.85	105.8	279.4	131.61	36.9	0	900.98	75.1	12
2019	0	0.2	0	0	111.6	142.21	107.6	145.4	140.91	181.6	1.1	2.2	832.82	69.4	12
2020	0	0	1.8	0	163	362	66.5	252.4	185.5	82.8	14.8	0	1128.8	94.1	12
2021	0	0	5.2	33.5	76.7	188.72	85	154.5	241.2	43.4	0	0.2	828.42	69	12
MÍNIMA	0	0	0	0	16.6	53.7	64.2	62.3	70.3	21.4	0	0	46	15.3	3
MÁXIMA	8.3	16.1	25.4	99.5	236.9	432.81	363	634.21	423.2	261.3	36.9	12	1501.3	125.1	12
MEDIA	0.6	1.2	3.5	23.5	88.8	212.9	150.4	218.7	226.9	100.4	6.9	1.3	1001.8	84.5	11.6
DESV.ST	1.7	3.5	6	27.8	48.5	81.9	73.8	143.6	100.1	63.8	9.4	2.9	284.9	22.6	1.7

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1991	136.15	154	243.35	241.58	200.15	189.33	147.05	152.6	126.42	114.31	98.75	104.08	1907.77	159	12
1992	117.34	146.58	236.92	225.13	227.11	149.93	145.47	148.45	118.86	110.82	109.49	113.36	1849.46	154.1	12
1993	140.6	159.67	226.59	248.55	237.75	162.52	154.15	139.84	110.4	109.1	118.48	116.75	1924.4	160.4	12
1994	119.32	145.39	228.33	242.6	179.88	141.35	151	129.5	123.37	119.19	117.42	110.77	1808.12	150.7	12
1995	123.65	153.38	216.55	199.7	198.18	147.85	133.36	111	97.99	79.35	91.36	73.16	1625.53	135.5	12
1996	94.18	143.86	195.19	194.23	158.66	122.24	122.41	118.71	111.77	109.92	88.35	73.37	1532.89	127.7	12
2000										63.45	53.66	44.79	161.9	54	3
2001	63.36	95	156.36	169.69	160.42	122.52	121.29	112.01	77.86	72.25			1150.76	115.1	10
2002	69.38	95.96	171.26	189.55	198.38	110.66	109.81	115.28	78.52	70.64	57.56	59.53	1326.53	110.5	12
2003	69.01	91.41	170.97	189.71	154.81	113.71	114.27	108.34	91.7	64.66	59.72	57.24	1285.55	107.1	12
2004	74.82	98.26	148.46	168.26	147.79	105.09	116.92	116.58	88.94	67.86	66.53	71.54	1271.05	105.9	12
2005	90.41	107.23	179.89	220.45	190.13	155.33	135.06	116.21	112.77		67.26		1374.74	137.5	10
2006	74.13	95.22	159.74	189.53	161.38	122.12	122.12	109.96	98.06	78.89	69.75	70.18	1351.08	112.6	12
2007	80.81	95.35	146.06	170.91	178.61	128.95	137.62	109.54	83.88	72.99	58.27	82.6	1345.59	112.1	12
2008	62.42	85.97	134.13	166.57	174.75	102.29	116.19	109.55	68.08	66.6	63	37.8	1187.35	98.9	12
