COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7245 
 NOMBRE    : PLUTARCO ELIAS CALLES 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PICHUCALCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.60277778 ° 
 LONGITUD  : -93.39138889 ° 
 ALTITUD   : 45 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012										0.01	0	0	0.01	0	3
2013	0	0	0										0	0	3
2014										126	6.5	9.5	142	47.3	3
2015	40	5.5	30	16	15.5	50	70	43.5	30	60	30	65.5	456	38	12
2016	35	5.2	5.6	3.2	2	20	15	40	60				186	20.7	9
2021									48	36	36	36	156	39	4
2022	36	36	36	0	0	36	36	36	36	36	20	30	338	28.2	12
2023	38	32	36	5	16	36	36	36	36				271	30.1	9
MÍNIMA	0	0	0	0	0	20	15	36	30	0.01	0	0	0	0	3
MÁXIMA	40	36	36	16	16	50	70	43.5	60	126	36	65.5	456	47.3	12
MEDIA	29.8	15.7	21.5	6	8.4	35.5	39.2	38.9	42	51.6	18.5	28.2	193.6	25.4	6.9
DESV.ST	16.8	16.9	17.4	6.9	8.6	12.3	22.8	3.6	12	46.8	15.2	25.5	158	17.6	4.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012										0.02	0	0	0.02	0	3
2013	0	0	0										0	0	3
2014										244.05	29	25.2	298.25	99.4	3
2015	279.75	24.4	127	27	36	123.5	117.6	130.9	131	205.5	153.5	260	1616.15	134.7	12
2016	60	15.2	22.93	8.7	3.1	78.3	45.5	218	210.8				662.53	73.6	9
2021									532	126	162	163	983	245.8	4
2022	522	470	144	0	0	108	362	146	146	659	120	277	2954	246.2	12
2023	243	104	126	5	16	135	454	480	357				1920	213.3	9
MÍNIMA	0	0	0	0	0	78.3	45.5	130.9	131	0.02	0	0	0	0	3
MÁXIMA	522	470	144	27	36	135	454	480	532	659	162	277	2954	246.2	12
MEDIA	220.9	122.7	84	10.2	13.8	111.2	244.8	243.7	275.4	246.9	92.9	145	1054.2	126.6	6.9
DESV.ST	205.7	198.3	67.1	11.8	16.4	24.6	194.4	162	169	248.6	74	128.8	1043.8	101.2	4.1

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2022											62		62	62	1
MÍNIMA											62		62	62	1
MÁXIMA											62		62	62	1
MEDIA											62		62	62	1
DESV.ST															
