COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7253 
 NOMBRE    : EL MOZOTAL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MOTOZINTLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.42638889 ° 
 LONGITUD  : -92.34138889 ° 
 ALTITUD   : 3053 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012				8.8	40.4	40	19	40	25	42	9	0	224.2	24.9	9
2013	0							60	75.1		14	20	169.1	33.8	5
2014	9	0	11.5	17	23	100.2	20.5	19	40.5	60	25.1	5.1	330.9	27.6	12
2015	0	0	8.6	40	40.5								89.1	17.8	5
2016	0	6	15	20	53	20	20.5	60.5	22.1	15	61	10	303.1	25.3	12
2017	0	2	0	20	40.2	60	60	20.2	60.6	35	0	0	298	24.8	12
2018	0	2	15.1	20	20.2	25.1	20.1	40	40.5	63	20	0	266	22.2	12
2019	0	0	0	0	20.1	40	15	20		60	1	0	156.1	14.2	11
2020	0	0	0.2	0	20.2	100.1	20	20.1	40	30	36	0	266.6	22.2	12
2021	0	0											0	0	2
MÍNIMA	0	0	0	0	20.1	20	15	19	22.1	15	0	0	0	0	2
MÁXIMA	9	6	15.1	40	53	100.2	60	60.5	75.1	63	61	20	330.9	33.8	12
MEDIA	1	1.2	7.2	15.7	32.2	55.1	25	35	43.4	43.6	20.8	4.4	210.3	21.3	9.2
DESV.ST	3	2.1	7	13	12.8	33.3	15.5	17.9	18.8	18.2	20.3	7.3	105.9	9.2	3.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2012				16.6	263.82	270.7	128.1	232.21	197.1	191.1	9	0	1308.63	145.4	9
2013	0							350.6	332.3		46	42	770.9	154.2	5
2014	16	0	15.5	33	255.5	402.5	90.4	66.7	333.9	231.3	42.2	8.1	1495.1	124.6	12
2015	0	0	8.6	97.1	64.5								170.2	34	5
2016	0	11	27	25	145.4	86.6	67.7	331.8	276.7	51.2	92.1	15	1129.5	94.1	12
2017	0	2	0	36	214.6	517.7	569.1	294.6	355	209.3	0	0	2198.3	183.2	12
2018	0	2	57.2	20	264.4	188.3	50.1	207.4	277.6	183.1	61.2	0	1311.3	109.3	12
2019	0	0	0	0	167.2	213.3	100.1	184.2		334.2	6	0	1005	91.4	11
2020	0	0	0.3	0	195.4	486.5	228.4	303.4	473.2	234.2	274.3	0	2195.7	183	12
2021	0	0											0	0	2
MÍNIMA	0	0	0	0	64.5	86.6	50.1	66.7	197.1	51.2	0	0	0	0	2
MÁXIMA	16	11	57.2	97.1	264.4	517.7	569.1	350.6	473.2	334.2	274.3	42	2198.3	183.2	12
MEDIA	1.8	1.9	15.5	28.5	196.4	309.4	176.3	246.4	320.8	204.9	66.3	8.1	1158.5	111.9	9.2
DESV.ST	5.3	3.8	20.9	30.8	69.5	162.5	182.7	93.8	85.5	84.2	89.7	14.8	731	60.1	3.8
