COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7315 
 NOMBRE    : PASO DEL CAYUCO (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHILÓN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.24583333 ° 
 LONGITUD  : -92.12361111 ° 
 ALTITUD   : 291 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					64	66	48	131.5	40	77	61	95	582.5	72.8	8
1978	64.5	30.4	41	50.3	105.5	102.5	80.5	81.5	82.2	90.7	52	117	898.1	74.8	12
1979	57	47	62	82.5	75	94	53	63	172.5	115.5	78	64.3	963.8	80.3	12
1980	40	47.4	60.5	75	85.8	84.5	36	55.5	92.5	58.5	65	57.4	758.1	63.2	12
1981	24	68.5	44.2	41.8	39.8	68.8	71.9	102.6	78.4	73.5	34.5	54	702	58.5	12
1982	20	54.8	40.9	80.2	146.8	66.7	50.4	45.3	67.2	63.7	68.2	69.8	774	64.5	12
1983	42	29.7	14.3	21.3	29.4	60.2	63.2	94	136.1	90.5	149.5	38.8	769	64.1	12
1984	29.6	58	92.05	122.3	86.5	62.1	63.3	60.4	80.6	135.9	32	56.4	879.15	73.3	12
1985	51	55.6	26.3	38.5	40.5	60.8	87.3	98.2	87	53	25.5	87.4	711.1	59.3	12
1986	53.5	15.8	57	1.9	92.8	79.9	46.4	68.2	41.2	44.5	67.1	79.5	647.8	54	12
1987	12.9	23.4	22.9	4	63.2	122.1	61.8	96.5	72.5	98	82.1	119.3	778.7	64.9	12
1988					58.6	85.4	92.9	78.9	85.7	176.5	40	65.3	683.3	85.4	8
1989	32.4	46.1	21.5	60.3	44.5	148.5	109.5	57.4	125.4	196.5	85	18	945.1	78.8	12
1990	64.5	28.9	50.5	49.5	50.5	70.8	43.3	34.5	65	78.2	153.8	130.6	820.1	68.3	12
1991	20.8	36.5	58	9.8	33.1	64.1	34.8	44.7	86.1	87.6	118	82.3	675.8	56.3	12
1992	84.3	43.5	30.6	77.4	34	116.8	86.1	55.8	84.5	106.2	83.3	84.7	887.2	73.9	12
1993	40.8	59.5	34.6	36.3	33.2	93.5	45	65.6	73	62.2	18.9	50.5	613.1	51.1	12
1994				60.1	60.4	27.9	36.9	51	141.3	88.8	59.6		526	65.8	8
1997	36.5	65.7	28.7	36.1	50	59.1	43.3				58	59.5	436.9	48.5	9
1998	67	18.5	11	15.3	0.5	19.9	46.5	80.6	57	49.8	45	60.6	471.7	39.3	12
1999	70.2	82.7	45.8	46.8	67.5	80	103.5	53.8	72.9	86.6	190.5	41.5	941.8	78.5	12
2000										87.3	94.8	102.2	284.3	94.8	3
2001	25.5	114	42.5	95.4	52.5	30.9	41.7	77.1	87.6	92.5	40.4		700.1	63.6	11
2002	48.5	47.6	55.4	34.8	110.4	89.3	39.3	50	87.4	38.5	80.5	71	752.7	62.7	12
2003	82.1	41	17.7	27.5	84.4	53.8	35.2	99.7	62.8	54.7	112.1	57.2	728.2	60.7	12
2004	54.9	61.2	44.5	30.5	63.9	41.6	39.7	116.7	76	54.6	118.5	64.1	766.2	63.9	12
2005	11.4	18.7	19.3	95.7	60.3	88.2	78.1	102.7	95.2	21.5	37.7	43.4	672.2	56	12
2006	69.4	66	66.7	37.6	65.4	113	77.5	54.6	60.4	137.7	48.5	116.9	913.7	76.1	12
2007	96.9	17.3	55.1	78.7	37.3	80.3	47.5	48.5	68.3	80.1	63.1	23.5	696.6	58	12
2008	105.7	67.5	43.3	96.3	72.1	95.5	77.3	32.6	110.2	79.9	64.3	27.4	872.1	72.7	12
2009	42.2	50.5	45.5	79.2	60.3	85.4	30.1	72.4	68	65	30	30	658.6	54.9	12
2010				15	52.9	81.4	70	104.5	73.5	23.6	166.2	155.9	743	82.6	9
2011	47.5	31.7	88.5	26.2	47.3	73.4	40.7	74.2	91.7	81.7	30.9	26.9	660.7	55.1	12
2012	25.4	54.9	25.9	26.2	41.8	114.2	25.5	65.2	83.5	73.7			536.3	53.6	10
2013	58	51.8	18.3	2.4	69.6	42.9	40.1	81.5	97	93	97	51.3	702.9	58.6	12
2014	169.2	13.5	97	52.1	61.5	58.7	36.2	41.3	62.3			17.2	609	60.9	10
2015	13.2		0		22			31.6	61.2	78.3	65.7	85.1	357.1	44.6	8
2016	22.6	28.3	31.5	14.3	109.5	86.4	59.5	97.3	152.8	82.5	48.3	32.2	765.2	63.8	12
2017	132.8	0.8	28.2	99.7	35.3	85.7	64.5	43	75.2	58.3	42.8	15.3	681.6	56.8	12
2018	213.5	38.2	81.3	67.5	49.3	53.4	52.4	62.7	96.4	83.8	70.2	92.4	961.1	80.1	12
2019	35.7	22.9	45.3	18.4	42.3	104.2	50.3	64.3	83.4	54.2	23.9	108.7	653.6	54.5	12
2020	53.4	71.8	43.1	49.7	65.3	75.2	58.7	78.2	85.3	115.9	160	53.5	910.1	75.8	12
2021	81.7	42.7	70.5	15.3	85.3	73.3	35.2	49.2	82.5	85.7	51	27.2	699.6	58.3	12
MÍNIMA	11.4	0.8	0	1.9	0.5	19.9	25.5	31.6	40	21.5	18.9	15.3	284.3	39.3	3
MÁXIMA	213.5	114	97	122.3	146.8	148.5	109.5	131.5	172.5	196.5	190.5	155.9	963.8	94.8	12
MEDIA	57.9	44.7	43.7	48	60.7	77.1	56.2	69.9	85.4	82.3	73.5	65.8	716	64.7	11.2
DESV.ST	42.1	22.4	22.9	31.4	27.2	26.3	20.7	24.2	27.3	34.8	42.4	34.2	156.5	11.6	1.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1977					97.4	281.3	273.8	595.8	301.6	430.5	270.7	279.2	2530.3	316.3	8
1978	228.3	135.8	150.2	76.5	554.7	499.8	496.1	594.1	468.5	617.1	247.9	195.3	4264.3	355.4	12
1979	205.9	136.1	120.5	196.1	270.1	507.2	398.2	492.6	604.9	415	281.9	320.9	3949.4	329.1	12
1980	52.2	167.8	144.4	150	206.2	591	277.9	389.2	651	352.6	344	264.8	3591.1	299.3	12
1981	60.4	439.2	154.2	96	120.7	568.9	402.7	783.8	749.5	491	55	198.4	4119.8	343.3	12
1982	96	241.5	71.6	109.2	373.5	343.8	205	272.3	761	461.9	249.4	234.8	3420	285	12
1983	168	73	49.7	68.9	76.9	453.4	317	431.1	607.4	381.5	373.3	204.2	3204.4	267	12
1984	150.92	155.53	143.35	130.31	443.81	384.31	418.6	384.84	531.23	368.82	106.56	141.25	3359.53	280	12
1985	111.05	117.33	83.51	123.71	213.1	313.51	408.54	513.61	489.7	278.11	69.34	249.95	2971.46	247.6	12
1986	325.65	39.43	104.13	2.9	292.11	429.01	154.04	340.9	248.71	212.93	314.8	179.85	2644.46	220.4	12
1987	24.34	47.33	71.12	13.54	147.02	543.5	369.83	464.2	602.2	355.04	220.13	242.24	3100.49	258.4	12
1988					146.11	770.8	367.32	629.9	385	798.4	102.53	151.41	3351.47	418.9	8
1989	98.6	146.3	43.8	189.21	217.6	405.42	429.52	430.11	642.8	464.8	229.83	43.34	3341.33	278.4	12
1990	181.11	99.64	204.7	134.91	141.24	375.37	301.01	331.2	583.81	410.1	609.7	259.7	3632.49	302.7	12
1991	106.5	124.21	101.54	11.21	83.63	359.76	174.1	205.2	554.91	521.11	426.4	299.5	2968.07	247.3	12
1992	264.19	121.72	76.86	264.7	164.02	605.51	233.33	470.12	758.1	564.41	236.43	193.94	3953.33	329.4	12
1993	202.22	138.44	94.36	142.11	84.84	477.08	208	426.71	392.2	488.6	61.22	178.71	2894.49	241.2	12
1994				187.44	156.42	131	171.32	342.2	901.5	336.6	141.35		2367.83	296	8
1997	135.92	281.64	87.5	131.11	255.5	267.1	268.5				303.64	177.72	1908.63	212.1	9
1998	163.77	37.8	45.82	48.3	0.5	72.6	228.3	284.8	351.1	337.6	235.2	131	1936.79	161.4	12
1999	113	95.4	76.02	115.5	219.3	531.4	473.3	373.21	664.6	587.2	342	165.55	3756.48	313	12
2000										368.4	357.7	305.71	1031.81	343.9	3
2001	73.9	303.5	80.6	344.9	302.6	168.3	280.9	352	492.3	576.2	148		3123.2	283.9	11
2002	104.6	247.9	143.5	83.9	285.9	452.3	174.2	280.9	352.3	193.8	361.8	238.8	2919.9	243.3	12
2003	196	72.2	86.8	37	244.71	294.52	222.4	543.21	462.5	319.7	587.71	150.3	3217.05	268.1	12
2004	248.41	182.82	139.9	150.9	261.81	163.32	254.1	295.21	616.6	306.7	278.21	179.91	3077.89	256.5	12
2005	35.41	71.4	63.5	97.23	209.92	615.71	536.51	461.41	589.3	80.11	183.4	159.12	3103.02	258.6	12
2006	382.21	224.9	99.2	46	240.9	567.7	372.31	389.41	506.11	772.02	276.01	315.45	4192.22	349.4	12
2007	264.01	97.71	131.51	179.8	83.41	327.51	217.33	427.21	556.51	592.31	172.6	71.53	3121.44	260.1	12
2008	236.42	264.41	92.03	217.3	343.7	581.1	387.3	166.71	779.8	494.76	137.6	43.71	3744.84	312.1	12
2009	82	138.4	77.9	179.31	154.3	421	140.62	383.3	466.51	172.31	128.5	113.5	2457.65	204.8	12
2010				50.41	156.9	444.91	392.6	859.8	606.2	46.3	516	199.91	3273.03	363.7	9
2011	112.9	109.32	131.4	76.2	122.3	331.3	367.3	240.41	526.31	353.1	146.7	82.5	2599.74	216.6	12
2012	146.1	140.52	132.9	107	388.8	483.9	191.7	418.5	269.6	237.8			2516.82	251.7	10
2013	255.9	139.9	66.1	4.4	373.7	251.6	258	529.7	390.8	829.4	420.5	335.1	3855.1	321.3	12
2014	410.2	33.6	160.8	118.2	305.2	263.9	126.9	305.7	229.2			84.3	2038	203.8	10
2015	60.8		0		64.9			242.8	423.3	377.4	477.7	422.6	2069.5	258.7	8
2016	84	85.2	160.3	62.2	279	599.4	279	400.8	770.2	412.8	144.7	150.7	3428.3	285.7	12
2017	327.1	1.6	71.9	145.9	81.1	519.4	246	301.5	432	515.9	141.9	29.4	2813.7	234.5	12
2018	714.2	65.3	173.1	118.3	269.4	136.6	135.5	262.7	487.9	455.9	270.4	211.6	3300.9	275.1	12
2019	167.8	72.5	87.7	30.5	183.6	543	195.4	216.1	543.4	381	185.6	361.04	2967.64	247.3	12
2020	244.9	150.4	67.4	58.6	398.3	415.6	163.5	382.7	551.8	817.4	763.8	135.1	4149.5	345.8	12
2021	175.6	113.6	155.4	54.7	411.4	460.4	217	264.9	560.6	549.4	264	136.3	3363.3	280.3	12
MÍNIMA	24.34	1.6	0	2.9	0.5	72.6	126.9	166.71	229.2	46.3	55	29.4	1031.81	161.4	3
MÁXIMA	714.2	439.2	204.7	344.9	554.7	770.8	536.51	859.8	901.5	829.4	763.8	422.6	4264.3	418.9	12
MEDIA	184.5	138.2	103.8	111.7	224.4	413.5	286.2	402	533.2	432.3	272.8	196	3107.7	280.6	11.2
DESV.ST	129.5	88	43.5	73.5	120.3	155.7	107.8	147.1	153.9	180.9	156.9	90.7	692.9	51.1	1.8

EVAPORACIÓN MENSUAL
