COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7318 
 NOMBRE    : LA GLORIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ARRIAGA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.2 ° 
 LONGITUD  : -93.93333333 ° 
 ALTITUD   : 30 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978					0	0	0	20	131.5	139.7	0	0	291.2	36.4	8
1979	0	0	0		3.5	60.6		88	76.5	41.5	1.5	0	271.6	27.2	10
1980	2	8.5	1	17.4	60	78	11	75.5	44		38.6	0	336	30.5	11
1981	0	0	0	4	82	83.5	59	140	66	20	0	0	454.5	37.9	12
1982	0	0	0	13	100	70	35	101.5	28	40	0	0	387.5	32.3	12
1983	0	28	57	0	20.5	70	70	165		5		0	415.5	41.5	10
MÍNIMA	0	0	0	0	0	0	0	20	28	5	0	0	271.6	27.2	8
MÁXIMA	2	28	57	17.4	100	83.5	70	165	131.5	139.7	38.6	0	454.5	41.5	12
MEDIA	0.4	7.3	11.6	8.6	44.3	60.4	35	98.3	69.2	49.2	8	0	359.4	34.3	10.5
DESV.ST	0.9	12.1	25.4	8	42.3	30.6	30	50.9	39.6	52.8	17.1	0	72	5.3	1.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978					0	0	0	34	433.5	226.9	0	0	694.4	86.8	8
1979	0	0	0		9.5	201.5		349	625.5	107.5	1.5	0	1294.5	129.4	10
