COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7320 
 NOMBRE    : SALVACION 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VILLA COMALTITLÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.14388889 ° 
 LONGITUD  : -92.70138889 ° 
 ALTITUD   : 8 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978	0	0	5	25	16	25	40.7	80.6	186	33.2	0	5	416.5	34.7	12
1979	0	0	0	24.1	62	62	48	134	31.1	57	0	0	418.2	34.9	12
1980	0	0	0	20	19.7	20	19.5	20	20.2	20	26.3	0	165.7	13.8	12
1981	0	0	0	4.2	35	74.6	16.7	35.4	20	20	15.7	0	221.6	18.5	12
1982	0	54.3	6.1	15.1	84.5	80.5	20.6	34.5	128.7	35	48.5	9.2	517	43.1	12
1983	0	33.3	32	0									65.3	16.3	4
1984			0	0	90.6	30.1	121.7	61.3	88	40	3.5	0	435.2	43.5	10
1985	0	0	0	0	40	20.3	40.1	20.5		61.5	50.5	0	232.9	21.2	11
1986		0	0	0	140.5	20.8	58.6	60.2	77	60	12	0	429.1	39	11
1987	0	0	0	0	20			77	62	80.5	0	0	239.5	24	10
1988	0		0	0	0	52	68	120.1	14.1	6	0	0	260.2	23.7	11
1989		0	0	44	0	27	81	70	84	24	70		400	40	10
1990	0	3	0	52	30	91	74	37	50	30	20	0	387	32.2	12
1991	0	0	20	18	24	97.5	43	60	57	6	0	0	325.5	27.1	12
1992	0	0	2	0	22	49	63	47	148	57	20	0	408	34	12
1993	3	0					81	70	50	54	0	0	258	32.2	8
1994	0	0	0	0	117	47	62	75	26	63	57	0	447	37.2	12
1995	0	0	0	82	57	52	96	138	65	60	16	9	575	47.9	12
1996		0	0	1.7	5.7	3.8	44	3.9	8	1.9	0	0	69	6.3	11
1997	0	0	0	1.9	6.3	3.8	5.8	4.2	4.4	2.6	15.9	17	61.9	5.2	12
1998	0	0.5	0	0	0.4	32		105	20	6.7	2.4	0	167	15.2	11
1999	0	0	122	2.1	3	6	4	12.3		6.6	0	0	156	14.2	11
2000	0	0	0.1	0	46	200	5.5	33	5.6	4.2	4	0	298.4	24.9	12
2001	0	0	0	6	37	100	100	105	87	73	0.1	0	508.1	42.3	12
