COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7324 
 NOMBRE    : CHACTE (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SAN JUAN CANCUC 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.93333333 ° 
 LONGITUD  : -92.33333333 ° 
 ALTITUD   : 825 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				25	52.6	25.6	33.9	21.7	33.5	60.7	11.6	37.2	301.8	33.5	9
1979	11.3	13.2	4.7	60	28	65.5	37.1	37.5	60.7	33.3	18.9	19.4	389.6	32.5	12
1980	10.8	22.5	7.5	70.9	42.4	38.6	58.8	25.2	42.6	70.4	32.5	9	431.2	35.9	12
1981	3.8	21.3	34.1	32	69.2	70.4	35.2	78.9	45.8	40.6	7.9	16	455.2	37.9	12
1982	4.3	77.8	16.5	47.4	77.2	57.2	31.6	40	56.7	58.3	53.3	14.7	535	44.6	12
1983	13.5	30	18.2	2.9	26.5	44.4	25.5	79.4	92.8	31	45.5	6.6	416.3	34.7	12
1984	9.4	6.9	14	35.8	57.6	44.6	27.8	27.5	81.5	33.2	8.2	28.2	374.7	31.2	12
1985	7.7	21	29.2	15.5	55.4	20	20	32.5	70.5	28.7	6.2	18.4	325.1	27.1	12
1986	13.5	25.5	2	41.7	21.8	44	14.8						163.3	23.3	7
MÍNIMA	3.8	6.9	2	2.9	21.8	20	14.8	21.7	33.5	28.7	6.2	6.6	163.3	23.3	7
MÁXIMA	13.5	77.8	34.1	70.9	77.2	70.4	58.8	79.4	92.8	70.4	53.3	37.2	535	44.6	12
MEDIA	9.3	27.3	15.8	36.8	47.9	45.6	31.6	42.8	60.5	44.5	23	18.7	376.9	33.4	11.1
DESV.ST	3.8	21.6	11.4	21.2	19.5	16.8	12.5	23.2	20.2	16.1	18.5	10	105.9	6.1	1.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				38	195.7	146.4	159.2	100.1	177.7	179	52.6	61.8	1110.5	123.4	9
1979	30.3	33.2	15.8	162.6	111.5	303.6	247.8	206.2	365.4	147	81.4	96.2	1801	150.1	12
1980	23.1	40.9	14.8	94.3	189.6	181	245.2	163	307.8	160.3	90.1	41.1	1551.2	129.3	12
1981	8.1	75.3	85.2	62.3	236.5	358.4	206.4	561.4	334	155.7	15.9	40	2139.2	178.3	12
1982	14.1	114.1	27.4	114.9	277.6	193.3	151.9	154.5	372.7	180.6	116.5	38.11	1755.71	146.3	12
1983	41.2	42	37.8	6.7	52.1	298.1	153.4	191.6	472.1	163.1	63.7	25.7	1547.5	129	12
1984	36.6	22.11	23.93	44.53	349.11	196.84	184.94	146.35	461.82	142.47	25.14	72.35	1706.19	142.2	12
1985	9.69	44.27	52.01	50.47	189.92	149.95	138.29	174.23	214.94	90.13	23.66	67.48	1205.04	100.4	12
1986	54.32	37.23	5.28	65.15	81.04	95.66	97.35						436.03	62.3	7
MÍNIMA	8.1	22.11	5.28	6.7	52.1	95.66	97.35	100.1	177.7	90.13	15.9	25.7	436.03	62.3	7
MÁXIMA	54.32	114.1	85.2	162.6	349.11	358.4	247.8	561.4	472.1	180.6	116.5	96.2	2139.2	178.3	12
MEDIA	27.2	51.1	32.8	71	187	213.7	176.1	212.2	338.3	152.3	58.6	55.3	1472.5	129	11.1
DESV.ST	16.4	29.6	25.7	46.5	95	86.9	49.9	144.7	104.9	28.5	36	23.2	497	32.9	1.8

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				160.4	157	99.4	114.2	112.4	90.8	87.6	66.7	68.1	956.6	106.3	9
1979	66.5	88.1	122.7	142.8	132.2	83.8	104.2	90.6	70	85.1	65.7	57.3	1109	92.4	12
1980	87.3	95.7	145.8	115.8	143.9	102.8	122.9	104.6	85.4	77	56.5	50.9	1188.6	99	12
1981	77.4	71.4	124.7	132.7	131.6	96.9	102.4	105.3	96.2	87.3	76.4	65.7	1168	97.3	12
1982	81.8	85.9	140.6	150.4	128.9	107.6	95.4	116	83.5	80.1	75.1	74	1219.3	101.6	12
1983	76.5	83.9	138.9	135.9	156	109.1	100.8	96.4	89.3	85.2	74.6	66.7	1213.3	101.1	12
1984	63.9	81.33	142.49	173.65	112.32	98.56	104.77	100.78	70.63	90.38	83.24	74.59	1196.64	99.7	12
1985	50.28	48.89	128.31	29.77	128.26	108.2	125.5	134.1	117.31	98	41.9	39.73	1050.25	87.5	12
1986	55.27	52.5	78.47	146.57	120.97	109.32	116.8						679.9	97.1	7
MÍNIMA	50.28	48.89	78.47	29.77	112.32	83.8	95.4	90.6	70	77	41.9	39.73	679.9	87.5	7
MÁXIMA	87.3	95.7	145.8	173.65	157	109.32	125.5	134.1	117.31	98	83.24	74.59	1219.3	106.3	12
MEDIA	69.9	76	127.7	132	134.6	101.7	109.7	107.5	87.9	86.3	67.5	62.1	1086.8	98	11.1
DESV.ST	13	17	21.7	41.7	15.1	8.3	10.5	13.5	15.1	6.4	13.2	12.1	175.7	5.5	1.8

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				32.2	33.9	30	29	29.8	28.5	26.6	26.7	25.8		29.2	9
1979	25.1	26.5	29.5	32.2	31.4	29	30.1	29.1	27.1	27.5	25.1	24.1		28.1	12
1980	27.1	26.7	31.1	29.3	33.3	29.3	30.4	29.8	28.7	27.1	25	23.7		28.5	12
1981	25	26.5	29.6	31.1	32.6	29.6	29.6	29.6	29.3	28.6	27	27.2		28.8	12
1982	28.4	28.5	30.9	32.7	31.5	30.7	29.4	30.6	28.9	27.8	27.2	27.3		29.5	12
1983	25.5	27.3	31.3	33.7	36.1	31	30.1	30.6	29.8	28.6	29.1	27.9		30.1	12
1984	25.4	27.2	31.3	34.6	30.9	29.6	29.5	29.4	28.2	29.6	27.2	27		29.2	12
1985	26.6	27.2	30.6	31.6	32.4	30.9	30.7	31	30.8	29.3	29	26.5		29.7	12
1986	23.9	29.7	28.3	33.3	32	30.7	30							29.7	7
MÍNIMA	23.9	26.5	28.3	29.3	30.9	29	29	29.1	27.1	26.6	25	23.7		28.1	7
MÁXIMA	28.4	29.7	31.3	34.6	36.1	31	30.7	31	30.8	29.6	29.1	27.9		30.1	12
MEDIA	25.9	27.4	30.3	32.3	32.7	30.1	29.9	30	28.9	28.1	27	26.2		29.2	11.1
DESV.ST	1.4	1.1	1.1	1.6	1.6	0.8	0.5	0.7	1.1	1.1	1.5	1.5		0.6	1.8

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				36	40	32	30.5	31.5	31.5	32	30	31		32.7	9
1979	32	33	34.5	37	35.5	33	32	32	31	31	31	28.5		32.5	12
1980	31	32.5	36	36.5	36.5	32	32.5	31.5	31	32	29	29		32.5	12
1981	31	34	35.5	35.5	36	32.5	32	31.5	31.5	31.5	31	32		32.8	12
1982	31	33	35.5	37	36	33.5	31.5	32.5	31.5	31.5	31	31.5		33	12
1983	32.5	34	37.5	41	40	36	32.5	32.5	32	33	32	31		34.5	12
1984	32	33	39	38.5	39.5	32.5	32	31	32	33	31.5	31.5		33.8	12
1985	31	32.5	36.5	37	35	33.5	39.5	34	33	32	32.5	32		34	12
1986	31	33.5	35.5	38	36	32.5	33							34.2	7
MÍNIMA	31	32.5	34.5	35.5	35	32	30.5	31	31	31	29	28.5		32.5	7
MÁXIMA	32.5	34	39	41	40	36	39.5	34	33	33	32.5	32		34.5	12
MEDIA	31.4	33.2	36.2	37.4	37.2	33.1	32.8	32.1	31.7	32	31	30.8		33.3	11.1
DESV.ST	0.6	0.6	1.4	1.6	2	1.2	2.6	0.9	0.7	0.7	1.1	1.3		0.8	1.8

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				15.4	16.9	18.7	17.6	17.7	18.1	16.6	15.6	13.3		16.7	9
1979	11.1	12.5	14.1	16	18	18.7	18.7	18	18.9	18.1	15.1	14.7		16.2	12
1980	12.7	12.9	13.7	15.9	18.3	19.1	18.1	18.7	19.1	17.4	15.5	12.8		16.2	12
1981	11.6	13	15.2	15.7	17.3	19.9	18.4	19	19	18.1	13.9	13.5		16.2	12
1982	12.2	12.9	13.3	15.6	18	19.4	17.1	17.5	19	17.6	15	12.9		15.9	12
1983	11.8	11.8	11.4	14.6	16.3	19.9	18.6	18.2	18.8	17.5	15.7	13.3		15.7	12
1984	12.3	13.2	12.5	13.7	17.9	18.5	17.8	17.5	19	17	13	12.8		15.4	12
1985	10.9	12.3	13.5	15.4	17.2	17.8	17.4	17.3	17.6	16.5	15	14.6		15.5	12
1986	11.3	12.9	11.3	13.3	17.9	18	16.5							14.5	7
MÍNIMA	10.9	11.8	11.3	13.3	16.3	17.8	16.5	17.3	17.6	16.5	13	12.8		14.5	7
MÁXIMA	12.7	13.2	15.2	16	18.3	19.9	18.7	19	19.1	18.1	15.7	14.7		16.7	12
MEDIA	11.7	12.7	13.1	15.1	17.5	18.9	17.8	18	18.7	17.4	14.8	13.5		15.8	11.1
DESV.ST	0.6	0.5	1.3	1	0.6	0.8	0.7	0.6	0.5	0.6	0.9	0.8		0.6	1.8

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				2.5	10.5	14.5	15	12.5	14	9	13	8.5		11.1	9
1979	7.5	9	10	11	16	16	15.5	12.5	16	15	11	10		12.5	12
1980	9.5	8.5	10	11.5	14.5	16.5	15.5	16.5	17	14.5	11	6.5		12.6	12
1981	5.5	6.5	10.5	10	11.5	18.5	17	15.5	17	14.5	10.5	9.5		12.2	12
1982	8	8.5	8	9	14.5	17	14	14.5	17	12	12	7.5		11.8	12
1983	6.5	4.5	4.5	9	10	17.5	16	15	16	14	11.5	8		11	12
1984	8	9.5	6.5	7	15	16	15	13	16	15	8	9		11.5	12
1985	5	6.5	10	10	14.5	12	14.5	12.5	14	12.5	11.5	11		11.2	12
1986	5	8.5	4	8	14	15	11.5							9.4	7
MÍNIMA	5	4.5	4	2.5	10	12	11.5	12.5	14	9	8	6.5		9.4	7
MÁXIMA	9.5	9.5	10.5	11.5	16	18.5	17	16.5	17	15	13	11		12.6	12
MEDIA	6.9	7.7	7.9	8.7	13.4	15.9	14.9	14	15.9	13.3	11.1	8.8		11.5	11.1
DESV.ST	1.6	1.7	2.6	2.7	2.1	1.9	1.5	1.6	1.2	2.1	1.5	1.4		1	1.8

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978				23.8	25.4	24.4	23.3	23.8	23.3	21.6	21.1	19.6		22.9	9
1979	18.1	19.5	21.8	24.1	24.7	23.9	24.4	23.6	23	22.8	20.1	19.4		22.1	12
1980	19.9	19.8	22.4	22.6	25.8	24.2	24.2	24.2	23.9	22.2	20.2	18.2		22.3	12
1981	18.3	19.8	22.4	23.4	25	24.8	24	24.3	24.1	23.4	20.4	20.4		22.5	12
1982	20.3	20.7	22.1	24.2	24.8	25	23.2	24	24	22.7	21.1	20.1		22.7	12
1983	18.6	19.6	21.4	24.2	26.2	25.4	24.4	24.4	24.3	23	22.4	20.6		22.9	12
1984	18.9	20.2	21.9	24.1	24.4	24	23.6	23.4	23.6	23.3	20.1	19.9		22.3	12
1985	18.8	19.8	22	23.5	24.8	24.4	24	24.1	24.2	22.9	22	20.6		22.6	12
1986	17.6	21.3	19.8	23.3	25	24.4	23.2							22.1	7
MÍNIMA	17.6	19.5	19.8	22.6	24.4	23.9	23.2	23.4	23	21.6	20.1	18.2		22.1	7
MÁXIMA	20.3	21.3	22.4	24.2	26.2	25.4	24.4	24.4	24.3	23.4	22.4	20.6		22.9	12
MEDIA	18.8	20.1	21.7	23.7	25.1	24.5	23.8	24	23.8	22.7	20.9	19.9		22.5	11.1
DESV.ST	0.9	0.6	0.8	0.5	0.6	0.5	0.5	0.3	0.5	0.6	0.9	0.8		0.3	1.8
