COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7332 
 NOMBRE    : CRISTOBAL OBREGON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VILLAFLORES 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.43 ° 
 LONGITUD  : -93.44388889 ° 
 ALTITUD   : 670 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					30	39	60		40		0	4	173	28.8	6
1981	0					106	30	40.3		21.5	4.5	0	202.3	28.9	7
1982	0	0	0	0	30							0.9	30.9	5.2	6
1983							45.5	41.5		20.7		0.8	108.5	27.1	4
1984	0	0					47.7	40.7	25.7	5.7	0	0	119.8	15	8
1985	0.7	0.3	0	0.5									1.5	0.4	4
1987	0	0	0				20.5	34	73.5	1.5			129.5	18.5	7
1988	0	0	0	0	0				23	69	0	0	92	10.2	9
2004												0	0	0	1
2007									66.8	40	2.5	0	109.3	27.3	4
2008	3	2.5	0	1.5	36.8	40.3	37.3	22.3	43.7	22	3.3	1	213.7	17.8	12
2009	3	0	0.3	37.2	49.9	38	43	26	13.8	33.3	5.2	8.1	257.8	21.5	12
2010	1.4	0	0	17.9	21	67.2	54.6	81	51.3	8.5		3	305.9	27.8	11
2011	0	10.2	0	38.4	22	66	63.8	26.5	53.5	41	1	0	322.4	26.9	12
2012	1.5	0	0	0	69.3	36.1	80	64.5	67	4	0	20.3	342.7	28.6	12
2013	0	0	0	40.8									40.8	10.2	4
2017					33.6	145.4	52.5	32.5	51.6	6.5	0	0	322.1	40.3	8
2018	0	0	0	17	24	38	0	29.3	33.5	42	2	0	185.8	15.5	12
2019	0	0	0	0	55	65	55	48.5	42				265.5	29.5	9
2020		0	0	8	33	37	53	32	45	15	4	0	227	20.6	11
2021	10	10	0	5	70	40	28	50	58	10	8	0	289	24.1	12
2022	0		0										0	0	2
2023	0	0	0	0	0	41	22	48	20	20	0	0	151	12.6	12
MÍNIMA	0	0	0	0	0	36.1	0	22.3	13.8	1.5	0	0	0	0	1
MÁXIMA	10	10.2	0.3	40.8	70	145.4	80	81	73.5	69	8	20.3	342.7	40.3	12
MEDIA	1.2	1.4	0	11.9	33.9	58.4	43.3	41.1	44.3	22.5	2.2	2.1	169.2	19	8
DESV.ST	2.5	3.4	0.1	15.8	21.5	33.1	19.7	15.7	17.7	18.3	2.5	5	111.3	11	3.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					100.5	266.8	245		333		0	4	949.3	158.2	6
1981	0					208.6	111	124.2		105.4	4.5	0	553.7	79.1	7
1982	0	0	0	0	83.5							0.9	84.4	14.1	6
1983							200.6	175.4		43.1		1.9	421	105.2	4
1984	0	0					239.1	144	151.6	8.7	0	0	543.4	67.9	8
1985	1.4	0.3	0	0.5									2.2	0.5	4
1987	0	0	0				119.2	126.8	206.5	4			456.5	65.2	7
1988	0	0	0	0	0				23	129.1	0	0	152.1	16.9	9
2004												0	0	0	1
2007									174.5	157.1	2.6	0	334.2	83.6	4
2008	3	4.3	0	2.1	116.7	218	252	197.9	199.3	47.4	5.3	1	1047	87.2	12
2009	3	0	0.5	45.2	112.6	157.2	188.5	170.3	57.1	104.5	16.1	9.2	864.2	72	12
2010	2.1	0	0	34.2	34.2	385.1	259.9	364.6	312.8	9		3.4	1405.3	127.8	11
2011	0	10.2	0	38.4	26.4	294.4	307.2	162.9	341.7	113.7	1	0	1295.9	108	12
2012	3.1	0	0	0	95.51	190.6	253.9	291.3	162.1	13.4	0	20.3	1030.21	85.9	12
2013	0	0	0	104.1									104.1	26	4
2017					73.8	375.2	242.1	143.7	210.45	19	0	0	1064.25	133	8
2018	0	0	0	31	70.8	218.5	0	155	148.9	66.3	2	0	692.5	57.7	12
2019	0	0	0	0	100	176.1	121.5	139.6	167.2				704.4	78.3	9
2020		0	0	12.5	41	132	122	109	135	25	4	0	580.5	52.8	11
2021	10	10	0	10	181.3	179	99	261	230	18	8	0	1006.3	83.9	12
2022	0		0										0	0	2
2023	0	0	0	0	0	112.2	142.4	110.5	63	20	0	0	448.1	37.3	12
MÍNIMA	0	0	0	0	0	112.2	0	109	23	4	0	0	0	0	1
MÁXIMA	10	10.2	0.5	104.1	181.3	385.1	307.2	364.6	341.7	157.1	16.1	20.3	1405.3	158.2	12
MEDIA	1.3	1.6	0	19.9	74	224.1	181.5	178.4	182.3	55.2	3.1	2.3	597.4	67	8
DESV.ST	2.5	3.5	0.1	29.4	50.1	85	82	72.9	92.9	50.4	4.5	5.1	429.1	44.1	3.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980						133.4						72.7	206.1	103.1	2
1981	67.1					142.1	171.6	127.3		41.3	64	78.3	691.7	98.8	7
1982	67.9	75	64.8		56.6							167	431.3	86.3	5
1983							155.1	140.9		104.7		96	496.7	124.2	4
1984	95.84	95.63											191.47	95.7	2
1985		115.83	147.94	134.33									398.1	132.7	3
1987								136.02	163.54	142.17			441.73	147.2	3
1988			167.89	192.33	172.76						123.29		656.27	164.1	4
2007									88.07	63.49	77.97	86.82	316.35	79.1	4
2008	104.95	129.62	169.69	208.39	185.48	103.12	113.71	113.86	92.9	95.33	111.01	118.08	1546.14	128.8	12
2009	123.96	146.6	177.57	171.14	174.58	138.68	133.62	125.2	108.35	116.8	63.27	72.05	1551.82	129.3	12
2010	84.93	106.02	145.99	162.57	177.07	140.44	135.77	80.03	79.21	99.76		84.94	1296.73	117.9	11
2011	91.34	107.04	163.75	132.71	173.37	120.47	90.22	108.46	91.93	77.93	84.2	95.03	1336.45	111.4	12
2012	99.89	84.7	117.08	150.37	146.05	157.55	149.94	99.02	114.8	93.22	110.86	92.41	1415.89	118	12
2013	105.18	117.8	147.53	126.74	137.34								634.59	126.9	5
2017					53.8	71.9	87.01	62.13	56.2	56.44	81	108.15	576.63	72.1	8
2018	115.7	124.4	156.6	157.2	156.6	109.7	97.35						917.55	131.1	7
2019	106.32	137	167.98	166.5	143.5	109							830.3	138.4	6
2020		140.2	157.1	150.3	136.4	98.7	103.6	99.3	86.5	81.9	86.9	77.4	1218.3	110.8	11
2021	93.5	97.5	147.1	154.2	132.7	136.2	114.8	137.8	118.6	123.6	97	112.5	1465.5	122.1	12
2022	118.5	100.3	130.2										349	116.3	3
2023	87.65	95	163.64	128.97	125.8	163.81	185.35	84.52	118.55	93.85	97.2	76.45	1420.79	118.4	12
MÍNIMA	67.1	75	64.8	126.74	53.8	71.9	87.01	62.13	56.2	41.3	63.27	72.05	191.47	72.1	2
MÁXIMA	123.96	146.6	177.57	208.39	185.48	163.81	185.35	140.9	163.54	142.17	123.29	167	1551.82	164.1	12
MEDIA	97.3	111.5	148.3	156.6	140.9	125	128.2	109.5	101.7	91.6	90.6	95.6	835.9	116.9	7.1
DESV.ST	17.1	21.1	28	24.3	41	25.8	32.4	25.3	27.9	27.9	19.3	25.3	478.8	21.8	3.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					32.2	25.9	29.2		28.6		28.8	23.2		28	6
1981	22.8					28.1	30.5	29.9		30.3	28.7	27.9		28.3	7
1982	25.4	23	25.9	24.3	34.2							36		28.1	6
1983							31.8	32.3		31.3		30.2		31.4	4
1984	29.2	30.9					30.9	29.9	30.7	31.4	30.3	31.4		30.6	8
1985	30.1	33.1	34.6	31.7										32.4	4
1987	31.3	35.2	32.2				32.5	31.4	32.6	30.7				32.3	7
1988	31.2	33.7	33.1	32.6	33.7				29.6	31.2	30.4	31.2		31.9	9
2004												36.6		36.6	1
2007									30.5	27.5	28.2	29.6		29	4
2008	29.5	32.6	33.1	35.5	35.5	30.5	31.1	31.8	29.8	27.9	28.4	28.8		31.2	12
2009	29.1	31.7	33.1	35.3	34.3	32.7	32.9	32.3	32.7	31.6	27.4	28.2		31.8	12
2010	26.6	30.1	32.4	35.4	35.5	32	31.1	30.3	29.6	29.6		26.2		30.8	11
2011	30.1	31.5	32.3	23.3										29.3	4
2023	32.3	32.6	35	34.8	33.5	36.9	33.9	34.2	33.7	32	31.9	31.3		33.5	12
MÍNIMA	22.8	23	25.9	23.3	32.2	25.9	29.2	29.9	28.6	27.5	27.4	23.2		28	1
MÁXIMA	32.3	35.2	35	35.5	35.5	36.9	33.9	34.2	33.7	32	31.9	36.6		36.6	12
MEDIA	28.9	31.4	32.4	31.6	34.1	31	31.5	31.5	30.9	30.4	29.3	30		31	7.1
