COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7333 
 NOMBRE    : BUENOS AIRES 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MOTOZINTLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.3325 ° 
 LONGITUD  : -92.2675 ° 
 ALTITUD   : 1820 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980				35	35	41.5	25.5	27	36.4	26	3	0	229.4	25.5	9
1981	0	0	16	20	17	41	20.5		52.5	35	1.5	2.5	206	18.7	11
1982	0	47	4.1	17.5	20.5	26	37	18.5	40	24	32	0	266.6	22.2	12
1983	0	12.5		18.5	5.5	47.5	60	30.5	30	20	0	0	224.5	20.4	11
1984	0	5	0	2	36	26	24	65	61	9.5	0	0	228.5	19	12
1985	0	0	0	35	30	30	38	50	45	14.5	52	0	294.5	24.5	12
1986	0	0	0	0				30		33	18	0	81	10.1	8
1987	0	0	50	6	25	50	23	27	29	16	0	0	226	18.8	12
1988	0	0	2	9	6.5	40.5	37.4	60.3	67.5	10	10.3	0	243.5	20.3	12
1989	0	0	0	7.6	45.7	32	20	25	58	48	34	15	285.3	23.8	12
1990	0			22	25	70	30	20		24	4.5	15	210.5	23.4	9
1991	0	0	7	16	23	33	13	40	40	37	0	0	209	17.4	12
1992	0	6	5	13	15	37	60	36	34			8	214	21.4	10
1993	0	0	0.1	36	44	46	54	34	43	40	0	0	297.1	24.8	12
1994	0	0	0	8	20	30	32	30	40.7	21	5	0	186.7	15.6	12
1995	0	0	15	17	21	34	20.5	22	34	40	0	4	207.5	17.3	12
1996	0	0	11	9	0	20	20	30	3.5	2.5	0	1	97	8.1	12
1997	0	0	0	0.6	4	24	30	20	47	43	20.5	2	191.1	15.9	12
1998		0	0	0	0	25.1	40.1	24.3	270	40	15	0.3	414.8	37.7	11
1999	0	0	0	0.5	27	25.5	100	43	40	40	24	60	360	30	12
2000	0	0	20.7	22	21.7	60	2.5	2.5	2.3	4	0	0	135.7	11.3	12
2001	18	5	6	0								10.5	39.5	7.9	5
2002	0	0	0	0	19	23	60.5	16	19	18	0	5	160.5	13.4	12
2003	5	6	4	0.01		41.2	43.4	32.7	24	38	8	0	202.31	18.4	11
2004	3	3.5	13.4	9.8	23.2	50.8	20	26.5	31	40.7	2.2	0	224.1	18.7	12
2005	0	0	33.5	3.2	12.9	24	60.3	25.5	40.5	180.7	17.2	0	397.8	33.1	12
2006	0.7	0.01	9.5	0.4	45		25.5	68	20	20	17	0.01	206.12	18.7	11
2007	16	0	0	16.5	16	35	40	50	30	75.2	0	0	278.7	23.2	12
2008	0	25	0.3	4.5	50	68	80	60.8	65.5	30.2	0	0	384.3	32	12
2009	0	0	0	70	30.3	70.5	40	55	30.4	46.3	15.2	60	417.7	34.8	12
2010	5	10	27	35	100	100	50	60	134.5	0	10	0	531.5	44.3	12
2011		0.8	0.01	0.01	20	78	104.2	27	25	60.2	0	0	315.22	28.7	11
2012	0	18	20	16.1	33.1	30	29	36.1	40	44	4	0	270.3	22.5	12
2013	8	0.01	0	20	100	50	72	36	45	37	15	0	383.01	31.9	12
2014	0	0	0	48.5	36.5	80	37	30.02	30	100	0	0	362.02	30.2	12
2015	0	0.1	5	38.5	27	31.2	22	37	40	14	4	0	218.8	18.2	12
2016	0	0	12	53.5	60.5	40	16.2	40.2	45.2	0.1	14	0	281.7	23.5	12
2017	0	0	0	0	20.4	23	70.4	30.3					144.1	18	8
2019						80.2	57	20.3	23				180.5	45.1	4
2023									32.6	7.2	0	0	39.8	10	4
MÍNIMA	0	0	0	0	0	20	2.5	2.5	2.3	0	0	0	39.5	7.9	4
MÁXIMA	18	47	50	70	100	100	104.2	68	270	180.7	52	60	531.5	45.1	12
MEDIA	1.6	3.9	7.5	16.1	29	43.4	40.9	34.8	45.8	34.4	9.1	4.8	246.2	22.5	10.9
DESV.ST	4.3	9.3	11.4	17.1	22.5	20.1	23.5	15	44.1	32.6	12	13.7	105	8.8	2.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980				50.1	80.6	207.5	162.5	219.6	275.5	114.5	5	0	1115.3	123.9	9
1981	0	0	25	44	63	342.9	100.3		233.3	136.2	1.5	4	950.2	86.4	11
1982	0	49.4	4.1	20.8	118.1	200.3	179.3	157.9	246.8	107.1	46.5	0	1130.3	94.2	12
1983	0	21.8		19.5	5.7	268.6	275.6	138.7	258.6	46.3	0	0	1034.8	94.1	11
1984	0	5	0	2	114.2	222.2	213.7	367.5	378.5	36.31	0	0	1339.41	111.6	12
1985	0	0	0	73.9	134.5	259.5	218.8	271.4	244.1	70.2	88.4	0	1360.8	113.4	12
1986	0	0	0	0				212.5		102	25	0	339.5	42.4	8
1987	0	0	65	8.5	32.2	188.5	233	167	168	20	0	0	882.2	73.5	12
1988	0	0	2	22	11	308.6	192.8	360.2	338	32.61	29.6	0	1296.81	108.1	12
1989	0	0	0	26.3	120.8	233.5	149	211.5	429	145.5	34	15	1364.6	113.7	12
1990	0			45.3	50.5	289	190.5	106		90.5	4.5	15	791.3	87.9	9
1991	0	0	13	16	51	210.5	45.5	173.5	134	117	0	0	760.5	63.4	12
1992	0	6	5	26	42	293	236.1	211	292			12	1123.1	112.3	10
1993	0	0	0.1	51	117	328.8	163	305	242	159	0	0	1365.9	113.8	12
1994	0	0	0	13	56	163	114	225	126.8	57	5	0	759.8	63.3	12
1995	0	0	15	50	71	238.1	196.6	156	221.01	103.1	0	5	1055.81	88	12
1996	0	0	17	15	0	131.02	112.3	171.91	17.3	9.1	0	1.8	475.43	39.6	12
1997	0	0	0	0.6	12	117.11	162.41	255.8	390.5	426.1	128.5	4	1497.02	124.8	12
1998		0	0	0	0	135.71	123.91	142.61	745.03	165.9	44	0.6	1357.76	123.4	11
1999	0	0	0	1.2	69.8	257.6	281.3	172.7	534.3	203	88.9	62.5	1671.3	139.3	12
2000	0	0	36.1	40.5	145	433	31.1	28.8	28.6	9.5	0	0	752.6	62.7	12
2001	31.5	13	14	0								15.5	74	14.8	5
2002	0	0	0	0	121.4	215.5	212.3	111.3	228.9	216	0	14.5	1119.9	93.3	12
2003	12.01	18	4.01	0.03		172.33	160.5	245.8	215.11	208.7	36.8	0	1073.29	97.6	11
2004	10	6.22	19.6	9.81	105.04	339.45	218.52	36.81	137.27	189.75	2.22	0	1074.69	89.6	12
2005	0	0	48.6	3.2	68.91	190.8	132.3	145.57	249.01	629.2	17.6	0	1485.19	123.8	12
2006	1.2	0.01	9.51	0.41	199.13		124.55	303.22	147.55	125.2	17.6	0.01	928.39	84.4	11
2007	16.01	0	0	53.8	64.62	207.53	303.33	215.01	162.55	234.4	0	0	1257.25	104.8	12
2008	0	25.02	0.3	4.54	109.21	521.93	471.01	268.52	330.51	146.3	0	0	1877.34	156.4	12
2009	0	0	0	85.53	188.32	293.4	192.8	205.22	118.9	104.7	25.2	100.01	1314.08	109.5	12
2010	5	10	27	81.4	388.02	465.92	413.33	397.03	603.61	0	10	0	2401.31	200.1	12
2011		1.11	0.01	0.02	69.81	299.92	309.24	231.11	262.03	316.81	0	0	1490.06	135.5	11
2012	0	44.51	20	43.2	83.91	207.51	95.51	209.6	187.22	125.02	4	0	1020.48	85	12
2013	8	0.01	0	26.03	211.44	289.8	299.6	260.1	252.2	284.1	18.7	0	1649.98	137.5	12
2014	0	0	0	55.55	114.8	435	127.05	117.29	148.7	200.2	0	0	1198.59	99.9	12
2015	0	0.1	5	88.02	105	166	89.3	226.6	297.8	53.5	7	0	1038.32	86.5	12
2016	0	0	22	64	110.6	287.1	94.8	251.5	245.24	0.1	17.1	0	1092.44	91	12
2017	0	0	0	0	74.8	121	291.82	173.8					661.42	82.7	8
2019						333.3	141.8	144.17	164.74				784.01	196	4
2023									164	13.5	0	0	177.5	44.4	4
MÍNIMA	0	0	0	0	0	117.11	31.1	28.8	17.3	0	0	0	74	14.8	4
MÁXIMA	31.5	49.4	65	88.02	388.02	521.93	471.01	397.03	745.03	629.2	128.5	100.01	2401.31	200.1	12
MEDIA	2.4	5.6	10.1	27.4	94.6	260.4	190.8	205.3	256.1	138.8	18.3	6.6	1103.6	100.3	10.9
