COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7342 
 NOMBRE    : BENITO JUAREZ 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.08277778 ° 
 LONGITUD  : -92.84055556 ° 
 ALTITUD   : 580 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980						38.8	47.5	48					134.3	44.8	3
1981				41.3	42.3	48.3	41	49.4	70.2	46.5	1.5	2.5	343	38.1	9
1982	0		5.9	3.8	65	57.5	43.2	35.8	30.6	38.2	5	0	285	25.9	11
1983	0	37	44	0	30.5	71	26.5		58	26	0	0	293	26.6	11
1984	0	0	0	0	75	27.5	35.4	49.3	52	17.3	0		256.5	23.3	11
1985					34.3	48.5	56.3	67	41	22.1	14	2.8	286	35.8	8
1986	0	0	0	4.1	36.8	57.5	33.1	38.2	27.8	22.1	40.2	0	259.8	21.7	12
1987	0	0	8.4			35.8	106.4	41.5	60.1	0	1.3	0	253.5	25.4	10
1988	0	0	0	1.3	25.5	78.5		103.5	55	20.5		2.5	286.8	28.7	10
1989	0	3.2	0	8.3	16.5	32.3		95	69	50	11	0	285.3	25.9	11
1990	0	2.5	0	20.5	33	83.5	83.5	35	34	17	10.5	5.5	325	27.1	12
1991	10.5	0	0	4.5	14.5	70.4	54.5	29.5	28	107	28	0	346.9	28.9	12
1992	0	3	34.5	20	47.5	84.7	26.5	36	43	25.5	6	0	326.7	27.2	12
1993	0	0	0	12	29.5	18	34.5	60	65.6	74	5	0	298.6	24.9	12
1994	0	0	0	18	36	44.5	20.6	101					220.1	27.5	8
1995	0	0	0	23	27.5	108.5	38	60	52	23	11	5	348	29	12
1996	0	0	0	52	38.5	66.5	21.5	38	35	26	3	1	281.5	23.5	12
1997	0.01	2.5	2	32	66.5	45	45	32	70.5	30.5	30	11.5	367.51	30.6	12
1998	0.5	5.5	0	0	17	98	49.5	71.5	102.5	70	36.5	0	451	37.6	12
1999	0.5	0	0	25.5	44.5	56	51	62					239.5	29.9	8
2000	0	0	0.01	2.5	50.5	78	67.5	49	55	21	0.01	0	323.52	27	12
2001	0	0	0	1.5	55	36	51.5	61.5	35.5	59	0	0.5	300.5	25	12
2002	0	0	5	40	27.5	42	26	46.5	40	34	19	3.5	283.5	23.6	12
2003	0	0	2.6	0	27.5	25.5	62	61.5	46	40		0	265.1	24.1	11
2004	0	0			80	62	49.5	21.5	55	32.5	6.5	11.5	318.5	31.9	10
2005	0	0	0	10.5	25	75	95.5	82	73.5	120	26	0	507.5	42.3	12
2006	10	0	0	16	60	52	89	82	24	35	12	2	382	31.8	12
2007	0	0	26	31	29	55	50	54	88	41	12	4	390	32.5	12
2008	0	7	0	12	150.1	66	104	30	43	62	0	2	476.1	39.7	12
2009	0	0	0	40	21	66	57	61	47	53	18	27	390	32.5	12
2010	0.01	0	0	20	37	52	57	72	54	0		0	292.01	26.5	11
2011	3	7	4	17	20	62	60	80	132	45	18	0	448	37.3	12
2012	3	0	17	4	44	76	46	100		0	1	1	292	26.5	11
2013	0	5	0		30	30					10	0.1	75.1	10.7	7
2014	0	0	0	57	28	30	68	70	42				295	32.8	9
2015										51	40	15	106	35.3	3
2016	0	0		6				58	65				129	25.8	5
2017	0	0	12	9	30	33							84	14	6
2018	5	0	0		50								55	13.8	4
2019			0	2.2	40	70	41	30	32				215.2	30.7	7
2022				20	60	62	48			20			210	42	5
MÍNIMA	0	0	0	0	14.5	18	20.6	21.5	24	0	0	0	55	10.7	3
MÁXIMA	10.5	37	44	57	150.1	108.5	106.4	103.5	132	120	40.2	27	507.5	44.8	12
MEDIA	0.9	2.1	4.7	16.3	41.8	56.4	52.5	57.5	53.9	38.4	12.6	3.1	286	29	9.9
DESV.ST	2.6	6.5	10.5	15.7	24.5	20.9	22.1	22.2	22.9	27.2	12.5	5.8	104	7.3	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980						139.5	289.3	213.3					642.1	214	3
1981				57.5	92.9	378.6	268.3	243.4	283.5	180.9	1.5	2.5	1509.1	167.7	9
1982	0		11.3	5	281.4	376.21	226	194.2	234.4	109.3	13.2	0	1451.01	131.9	11
1983	0	58.5	60	0	89.7	239.6	159		230.31	69	0	0	906.11	82.4	11
1984	0	0	0	0	296	261.4	351.8	339.8	236.2	42.1	0		1527.3	138.8	11
1985					195.1	167.31	278.7	310.2	265.2	90.31	27.91	2.8	1337.53	167.2	8
1986	0	0	0	14.4	158.9	252	205.7	268.9	151.7	85.4	59.8	0	1196.8	99.7	12
1987	0	0	11.2			161.1	512.7	325.8	336.8	0	1.4	0	1349	134.9	10
1988	0	0	0	1.3	51.4	475.7		529	253.1	73.5		2.5	1386.5	138.7	10
1989	0	3.2	0	8.3	114.1	169.3		465.5	355.4	194.1	24.5	0	1334.4	121.3	11
1990	0	2.5	0	33	165.1	453.1	238.5	131.4	254.2	64.91	10.6	8	1361.31	113.4	12
1991	10.5	0	0	10.5	58.6	271.1	137.2	138.3	183.7	288.3	30.5	0	1128.7	94.1	12
1992	0	3	37	25.5	90.5	398.5	137.1	246.11	381.1	77.9	8	0	1404.71	117.1	12
1993	0	0	0	12.1	60.5	119	177.2	501.7	431.1	108	6	0	1415.6	118	12
1994	0	0	0	48	88.5	189.7	81.11	208.8					616.11	77	8
1995	0	0	0	38.5	92	451	183.52	305.03	369.03	80.5	17.51	5	1542.09	128.5	12
1996	0	0	0	74.01	109.01	330.52	149.52	287.01	311.53	108.5	5	1.01	1376.11	114.7	12
1997	0.01	2.5	3.5	53.51	189.52	139	167.01	222.03	546	172.5	52	11.51	1559.09	129.9	12
1998	0.5	5.5	0	0	17.01	263	350.01	293.53	397.5	176.01	136	0	1639.06	136.6	12
