COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7346 
 NOMBRE    : FINCA NUEVA LINDA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.96944444 ° 
 LONGITUD  : -92.48694444 ° 
 ALTITUD   : 541 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	1	0	55	9.7	30	58	94.2	88.5	86	57.3	2	1	482.7	40.2	12
1982	6	1	28	31.1	41.9	60	52	48	48.5	59	10.8	0	386.3	32.2	12
1983	1	73.8	66.5										141.3	47.1	3
1986							40	56.4	39.5	41	55	1.9	233.8	39	6
1987	0	0	13	2	42	67.5	79	38.5	45	24	0	9	320	26.7	12
1988	5	0						80				0.01	85.01	21.3	4
MÍNIMA	0	0	13	2	30	58	40	38.5	39.5	24	0	0	85.01	21.3	3
MÁXIMA	6	73.8	66.5	31.1	42	67.5	94.2	88.5	86	59	55	9	482.7	47.1	12
MEDIA	2.6	15	40.6	14.3	38	61.8	66.3	62.3	54.8	45.3	17	2.4	274.9	34.4	8.2
DESV.ST	2.7	32.9	24.5	15.1	6.9	5	24.7	21.2	21.2	16.4	25.8	3.8	150.5	9.5	4.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	2.01	0	56.02	21.4	108	388.6	498.9	455.5	580.9	298.3	4.4	1	2415.03	201.3	12
1982	6	2	33	41.1	151.8	569	283.5	281.4	432.8	274.8	20.1	0	2095.5	174.6	12
1983	1	171.1	76.7										248.8	82.9	3
1986							179.7	404.4	155.8	78.4	97	1.9	917.2	152.9	6
1987	0	0	14.8	2	97	473	459.7	68.3	325.2	24	0	16	1480	123.3	12
1988	8	0						488.7				0.01	496.71	124.2	4
MÍNIMA	0	0	14.8	2	97	388.6	179.7	68.3	155.8	24	0	0	248.8	82.9	3
MÁXIMA	8	171.1	76.7	41.1	151.8	569	498.9	488.7	580.9	298.3	97	16	2415.03	201.3	12
MEDIA	3.4	34.6	45.1	21.5	118.9	476.9	355.4	339.7	373.7	168.9	30.4	3.8	1275.5	143.2	8.2
DESV.ST	3.4	76.3	27	19.6	29	90.3	150	170.9	179.1	138	45.2	6.9	872	42.1	4.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	58.58	67.62	125.31	143.39	132.81	114.44	113.86	88.57	149.42	52.32	64.52	63.33	1174.17	97.8	12
1982	66.2	79.7	145	149.2	123.2	96	141	139				51.9	991.2	110.1	9
1983	72.5	90.8	128										291.3	97.1	3
1988												70.64	70.64	70.6	1
MÍNIMA	58.58	67.62	125.31	143.39	123.2	96	113.86	88.57	149.42	52.32	64.52	51.9	70.64	70.6	1
MÁXIMA	72.5	90.8	145	149.2	132.81	114.44	141	139	149.42	52.32	64.52	70.64	1174.17	110.1	12
MEDIA	65.8	79.4	132.8	146.3	128	105.2	127.4	113.8	149.4	52.3	64.5	62	631.8	93.9	6.2
DESV.ST	7	11.6	10.7	4.1	6.8	13	19.2	35.7				9.4	533.6	16.6	5.1

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	22.4	25.5	29.4	32.3	31.2	27.3	28.7	27.6	27.8	25.8	24.5	24.3		27.2	12
1982	25.4	27.9	30	31.4	30.2	28.3	29.5	31.2	27.1	26.4	25.4	24		28.1	12
1983	24	26.2	29											26.4	3
1986							31.5	31.2	29.4	28.3	27.2	26.6		29	6
1987	27.8	30.4	31.9	31.4	30.8	29	29.8	31.2	32.4	28.5	31.4	29.7		30.4	12
1988	26.6	32.2						30.3				25.8		28.7	4
MÍNIMA	22.4	25.5	29	31.4	30.2	27.3	28.7	27.6	27.1	25.8	24.5	24		26.4	3
MÁXIMA	27.8	32.2	31.9	32.3	31.2	29	31.5	31.2	32.4	28.5	31.4	29.7		30.4	12
MEDIA	25.2	28.4	30.1	31.7	30.7	28.2	29.9	30.3	29.2	27.2	27.1	26.1		28.3	8.2
DESV.ST	2.1	2.8	1.3	0.5	0.5	0.9	1.2	1.6	2.4	1.4	3.1	2.3		1.4	4.3

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981	26.5	32	33.5	36	37	34.5	32.5	31.5	32	30.5	28	28		31.8	12
1982	30	31.5	35.5	36	35	33	34.5	35	33	29.5	29.5	27		32.5	12
1983	29	29.5	33											30.5	3
1986							36	35	34	33	32	30.5		33.4	6
1987	32	36.5	38	36	33.5	31.5	34	35	39.5	36	36.5	33.5		35.2	12
1988	30	39						32				30		32.8	4
MÍNIMA	26.5	29.5	33	36	33.5	31.5	32.5	31.5	32	29.5	28	27		30.5	3
MÁXIMA	32	39	38	36	37	34.5	36	35	39.5	36	36.5	33.5		35.2	12
MEDIA	29.5	33.7	35	36	35.2	33	34.2	33.7	34.6	32.2	31.5	29.8		32.7	8.2
DESV.ST	2	3.9	2.3	0	1.8	1.5	1.4	1.8	3.4	2.9	3.7	2.5		1.6	4.3

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
