COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7347 
 NOMBRE    : GUADALUPE VICTORIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MAPASTEPEC 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.50388889 ° 
 LONGITUD  : -92.87944444 ° 
 ALTITUD   : 130 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	1	7.1	0.5	44.5	72.4	76.9	56.5	102.6	79.8	51.2	9.1	1.7	503.3	41.9	12
1983	0												0	0	1
1984					123.8	134	100		93	67	32	0	549.8	78.5	7
1985	0	25	4	18	59		64.5	75		77.8	80	0	403.3	40.3	10
1986	0	1.6	0					110.5	48.4	61	35	6	262.5	32.8	8
1987							65	92	100	0	0	0	257	42.8	6
1988		0	0	61	16.4	85	33	52	180.8	0		0	428.2	42.8	10
1989				19	57	68	63	67.2	92.3	60.3	45	25.4	497.2	55.2	9
1990	0	8	19	100	40	79		68	45.5	106	32	7	504.5	45.9	11
1991	15	0	0	20	40.2	85.5	82.3	102	87	70	19	0	521	43.4	12
1992	12	2	30	56.4	23	62	104	70	64	77	48	6	554.4	46.2	12
1993			0	5	67	77	40	52	78	59	8	20	406	40.6	10
1994	0	0	0	34	88	77	53	73	64	62	27	29	507	42.2	12
1995	0	0	0	85		52		80	158				375	53.6	7
1996		0	0	16.5	24	85.5	50	63	63	20	77	12	411	37.4	11
1997	0	0	23	58	40	72	49	53	64	87	110	0	556	46.3	12
1998	0	0	0	0	5	82	61		40.1				188.1	23.5	8
1999				7	67	57.3	48	91	83	95	0	47	495.3	55	9
2000	0	0	0	25	85	75	73	109	116	111	101	0	695	57.9	12
2001	0	0	12	67		60.7	52.7	93.3	60.8	38.7	0	0	385.2	35	11
2002	0	0	0	35	63	60.3	89.3	63.4	95.1	46	27.2	0	479.3	39.9	12
2003	0	0	7	1	58.1	86	65.6	95	70.3	73.3	24	0	480.3	40	12
2004	22	21	0	3	77	58	68	76	82	84	24	67	582	48.5	12
2005	0	13	30	23	79	96	79	95	162	552	4		1133	103	11
2012										55.7	24.3	1.8	81.8	27.3	3
2013	0	0	0	0	25.7	22.7	20.2	21	19.3	22.9	14.5	0	146.3	12.2	12
2014	0	3.5	4	8	16	7	7.5	8		193	145	0	392	35.6	11
2015	0	40	35	75									150	37.5	4
MÍNIMA	0	0	0	0	5	7	7.5	8	19.3	0	0	0	0	0	1
MÁXIMA	22	40	35	100	123.8	134	104	110.5	180.8	552	145	67	1133	103	12
MEDIA	2.5	5.8	7.5	33.1	53.6	70.9	60.2	74.4	84.6	86.2	38.5	9.7	426.6	43	9.5
DESV.ST	6.2	10.7	11.8	29.7	29.5	25.1	23.4	26.1	39.2	106.8	38.8	17.4	216.1	18.5	3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	1	18.1	0.8	165.8	358.2	554.9	367.4	458.7	592.7	234.4	24.7	2.5	2779.2	231.6	12
1983	0												0	0	1
1984					486.8	541.3	499.6		439.8	203	78	0	2248.5	321.2	7
1985	0	25	4	39	240		397.1	683.9		307.9	178.9	0	1875.8	187.6	10
1986	0	1.6	0					429.5	293.2	323.5	97.5	6	1151.3	143.9	8
1987							447	543	469	0	0	0	1459	243.2	6
1988		0	0	61	32.9	427.4	160.1	372.4	291	0		0	1344.8	134.5	10
1989				29	204	529	548	364.8	705.6	130.8	84.3	25.4	2620.9	291.2	9
1990	0	9	39	444.7	336.3	617.8		183.4	106.6	299.1	51.9	10.5	2098.3	190.8	11
1991	29.7	0	0	51	141.1	476.9	414	414.7	427.5	441.8	34	0	2430.7	202.6	12
1992	13	2	112	68.4	113.1	412.2	566	293.5	753	348.2	75	8	2764.4	230.4	12
1993			0	6	91	416.4	300	346.4	402	278	16	20	1875.8	187.6	10
1994	0	0	0	48	196	298	437	355	407	324	45	56	2166	180.5	12
1995	0	0	0	284		264		693	812				2053	293.3	7
1996		0	0	57.7	184.4	543.8	389	243.91	566.91	24	119	16.01	2144.73	195	11
1997	0	0	61	142	264	456	335	451	438	379.01	340	0	2866.01	238.8	12
1998	0	0	0	0	5	670	372		109.1				1156.1	144.5	8
1999				7	264.6	564.6	560	668	854.5	423.2	0	47	3388.9	376.5	9
2000	0	0	0	66	293.3	415	699.7	694.1	570	238.5	194	0	3170.6	264.2	12
2001	0	0	13	183		256.1	561.6	526	515.8	197.8	0	0	2253.3	204.8	11
2002	0	0	0	87	295.8	450.5	613.5	375.7	611.1	331.2	88.3	0	2853.1	237.8	12
2003	0	0	8	1.3	317.5	598.9	537.7	465.9	623.2	442.9	99.4	0	3094.8	257.9	12
2004	22	21	0	4	344.4	521	541	548	616	420.4	49	98	3184.8	265.4	12
2005	0	13	36	52	465	717.6	622	805	951	1915.6	4		5581.2	507.4	11
2012										333.7	46.1	1.8	381.6	127.2	3
2013	0	0	0	0	268.76	197.9	185.4	173.3	155.8	230.1	76.2	0	1287.46	107.3	12
2014	0	3.5	6	12.7	81.1	39.4	32.73	38.31		1912	647	0	2772.74	252.1	11
2015	0	163	35	97									295	73.8	4
MÍNIMA	0	0	0	0	5	39.4	32.73	38.31	106.6	0	0	0	0	0	1
