COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7349 
 NOMBRE    : MONTERREY 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VILLA CORZO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.05888889 ° 
 LONGITUD  : -93.36888889 ° 
 ALTITUD   : 700 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					45.6	46.5				6.5	54.2	0	152.8	30.6	5
1981	0		4.5	23	21.8	55.2	38.6		68			0	211.1	26.4	8
1982	0	0	5	0	25	58	26.5	60		100.8	0	0	275.3	25	11
1983	0	8.5	0	0	0	12.5				18.4	0.5	1	40.9	4.5	9
1984	0	0	0			27	20	45	64.6	22.5	3.1	0	182.2	18.2	10
1985	0	0	0	13	36.6	61.6	46	70	69	40	44	0	380.2	31.7	12
1986	0	0	0	0	51	47	35	60	80	57	22	0	352	29.3	12
1987	0	0	10	0	40	58	40	75	32	0	0	0	255	21.2	12
1988	0	0	0	0	9	55	41	89	68	55.5	0		317.5	28.9	11
1989			0		100	26	67	38	85	13	10.5	0	339.5	37.7	9
1990	0	20		11	46	52	47	32	65	17	1	30	321	29.2	11
1991	0	0	0	8	55	42	28	42	20	24	0	11	230	19.2	12
1992	0	0	48	8	16	98	36	30	60	21	10	8	335	27.9	12
1993	0	0	0	16	20	46	76	52				0	210	23.3	9
1994	1	4	0	8	57	61	20	20	24	25	39		259	23.5	11
1995	0	0	0	20	35	62	48	92	53	20	6	8	344	28.7	12
1996	0	0	0	16	32	40	46	46	64	8	8	0	260	21.7	12
1997	0	18		16	53	88	48	45	138	49	116	6.5	577.5	52.5	11
1998	0	16	0	0		36	76	80	195	165	44	0	612	55.6	11
1999	0	0	0	0	16	36	34	43	58	10	0	1	198	16.5	12
2000	0	0	90	0	21	34	25	48	69	6	3	0	296	24.7	12
2001		6	0	3	28	39.5	41	28	40	28	1	10	224.5	20.4	11
2002	0	0	0	1	22.5	25.5	80	40	40	28	63	1	301	25.1	12
2003	0	0	1	0	14.5	75.5	49.5	34	61.5	70.5	6.5	0	313	26.1	12
2004	1.5	0	0	18	28.5	29.5	38		49	32	1	0	197.5	18	11
2005	0	0	0	18	34.5	63	52	60	63	240	17	0	547.5	45.6	12
2006	0	0	16	11	88	42	25	32	20	20	22	6.5	282.5	23.5	12
2007	2	0	29.5	39	12	76.5	68.5	77	54	80	0	0	438.5	36.5	12
2008	0	0	32.5	22	46	94.5	41	47	71.5	40	4	3.5	402	33.5	12
2009	0	0	0	24	16	109	20	32				6	207	23	9
2010	0.5	0	0	8.5	84	71	94.5	55	78	2.5	0	0	394	32.8	12
2011	6.5	5	1.5	4	41	91	61.5	28	44.5	90	0	0	373	31.1	12
2012	0	5	20	6	82.5	190	206	50	53.3	0	0	0	612.8	51.1	12
2013	0	0	0	10.5	200	49	40	108	66	108	10	3	594.5	49.5	12
2014	1	2	0	3	40	130	40	40	33	50	0	0	339	28.2	12
2015	0	0	0	7	51	45	23	25	46	21	29	5.5	252.5	21	12
2016	0	0	11	1	34	55	17	31	29	17	8	4.5	207.5	17.3	12
2017	2	0	1	20	47	28	48.5						146.5	20.9	7
2021										16	0	0	16	5.3	3
2022	0	0	0	36									36	9	4
MÍNIMA	0	0	0	0	0	12.5	17	20	20	0	0	0	16	4.5	3
MÁXIMA	6.5	20	90	39	200	190	206	108	195	240	116	30	612.8	55.6	12
MEDIA	0.4	2.3	7.5	10.3	43	59.4	48.4	50.1	61.3	42.9	14.9	2.9	300.9	27.4	10.6
DESV.ST	1.2	5.2	17.9	10.3	35.4	33.4	32.8	21.4	33.4	49.6	24.6	5.7	145.9	11.6	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					112.3	118.7				15.9	102	0	348.9	69.8	5
1981	0		4.5	37.5	118.3	198.4	339.2		567			0	1264.9	158.1	8
1982	0	0	5	0	175	351.3	159.8	196.8		255.9	0	0	1143.8	104	11
1983	0	8.5	0	0	0	58.1				49.1	0.6	1	117.3	13	9
1984	0	0	0			76.71	51.52	160	215.6	50.7	3.1	0	557.63	55.8	10
1985	0	0	0	13	138.6	299.1	207.9	426.4	284	120	57	0	1546	128.8	12
1986	0	0	0	0	178.6	251	379	398	294	139	23	0	1662.6	138.6	12
1987	0	0	10	0	157	343	312	269.5	236	0	0	0	1327.5	110.6	12
1988	0	0	0	0	11	379	400.5	445	366	149	0		1750.5	159.1	11
1989			0		204.5	126.5	358	357	442	69	26.5	0	1583.5	175.9	9
1990	0	20		22	120	384	244.6	154	247	93	2	31	1317.6	119.8	11
1991	0	0	0	14	328	339	141	187	132	153	0	11	1305	108.8	12
1992	0	0	63	14	32	381	204	288	442	38.2	15	8	1485.2	123.8	12
1993	0	0	0	16	34.8	209	288	494.6				0	1042.4	115.8	9
1994	1	4	0	8	159	259.9	86	141	116	60	83		917.9	83.4	11
1995	0	0	0	37	165	264.1	275	379	353	110	6	20	1609.1	134.1	12
1996	0	0	0	16	162	300	384	262.5	295	28	18	0	1465.5	122.1	12
1997	0	32		26	217	325.8	368.2	283	443	118	186	9.5	2008.5	182.6	11
1998	0	24	0	0		182	403	383	1168.8	441.5	145	0	2747.3	249.8	11
1999	0	0	0	0	59.5	274	191.5	235	314	32.9	0	1	1107.9	92.3	12
2000	0	0	90	0	78	258	152	221.5	249	19	5	0	1072.5	89.4	12
2001		9	0	8	120	101	326	229.5	182	87	1	11	1074.5	97.7	11
2002	0	0	0	1	49	166	364	208	269	150.4	71	1	1279.4	106.6	12
2003	0	0	1	0	84.1	338.3	262.3	242.8	307.8	131.3	13.7	0	1381.3	115.1	12
2004	2	0	0	18	81	165	223.2		266	140.5	1	0	896.7	81.5	11
2005	0	0	0	34	98	279.5	329.5	373.5	346.5	335.1	20	0	1816.1	151.3	12
2006	0	0	16	28.5	295.5	195	175	205.5	175.4	77.6	29	6.5	1204	100.3	12
2007	4	0	45.5	96	19	229	267	265	279	150	0	0	1354.5	112.9	12
2008	0	0	32.5	25	110	437.5	279	184.5	348	77	5.5	6	1505	125.4	12
2009	0	0	0	43	88	326.5	134.1	245				9	845.6	94	9
2010	0.5	0	0	16	144.5	386	412.5	404.5	386	3	0	0	1753	146.1	12
2011	6.5	9.5	2	6.5	120.5	398.5	249	177.5	306.4	145.5	0	0	1421.9	118.5	12
2012	0	7	35.5	6.5	191.5	387	390.4	267	303.8	0	0	0	1588.7	132.4	12
2013	0	0	0	10.5	437.01	218	318	495	176.5	244.5	11	6	1916.51	159.7	12
2014	1	3	0	4	96.1	516	169.5	135	273	224.5	0	0	1422.1	118.5	12
2015	0	0	0	11	172	120.5	136	114.5	205.5	58	47.5	6.5	871.5	72.6	12
2016	0	0	25.5	1	84.5	310.6	123.5	185.5	198	22.5	27	4.5	982.6	81.9	12
2017	3.5	0	1	24.5	145.9	191.5	181						547.4	78.2	7
2021										67.5	0	0	67.5	22.5	3
2022	0	0	0	94.6									94.6	23.6	4
MÍNIMA	0	0	0	0	0	58.1	51.52	114.5	116	0	0	0	67.5	13	3
MÁXIMA	6.5	32	90	96	437.01	516	412.5	495	1168.8	441.5	186	31	2747.3	249.8	12
MEDIA	0.5	3.2	9.2	17.5	133	267	257.9	273.2	318.4	110.2	25.7	3.7	1235.1	111.9	10.6
DESV.ST	1.4	7.4	20.3	22.8	88.8	108.1	101.2	107.3	183.3	97.1	43.6	6.6	543.3	44.6	2.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980					171.04	150.13				54.39	109.17	112.88	597.61	119.5	5
1981	122.77		175.86	134.23	141.73	119.05			137.25			83.12	914.01	130.6	7
