COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7351 
 NOMBRE    : EL PARRAL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ÁNGEL ALBINO CORZO 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.83333333 ° 
 LONGITUD  : -92.75 ° 
 ALTITUD   : 678 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980						26	40	39	50.5		0	0	155.5	25.9	6
1981	0	0	0	24	14	50	52	57.5	46.5	36	0	0	280	23.3	12
1982	0	0	0	13	25	24.5	87	60	40.5	55	0	0	305	25.4	12
1983	0	3.8	0		0	48	25	25					101.8	14.5	7
1987	0	0	4	0	27	44	50	43.6	80	0	0	0	248.6	20.7	12
1988	0	0	0	0		66	45	54	43.8	17.5	12.3	0	238.6	21.7	11
MÍNIMA	0	0	0	0	0	24.5	25	25	40.5	0	0	0	101.8	14.5	6
MÁXIMA	0	3.8	4	24	27	66	87	60	80	55	12.3	0	305	25.9	12
MEDIA	0	0.8	0.8	9.2	16.5	43.1	49.8	46.5	52.3	27.1	2.5	0	221.6	21.9	10
DESV.ST	0	1.7	1.8	11.6	12.4	15.7	20.6	13.3	15.9	23.7	5.5	0	77.6	4.2	2.8

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980						130.5	217.9	179.5	275.4		0	0	803.3	133.9	6
1981	0	0	0	31.5	70.5	336.5	387.01	269.8	333	115.3	0	0	1543.61	128.6	12
1982	0	0	0	13	96.5	156.6	504.9	153	209.6	226.8	0	0	1360.4	113.4	12
1983	0	3.8	0		0	135.5	247	247					633.3	90.5	7
1987	0	0	4	0	45.1	250.9	285.1	112.4	280	0	0	0	977.5	81.5	12
1988	0	0	0	0		380.2	177	334.9	209.8	55	12.3	0	1169.2	106.3	11
MÍNIMA	0	0	0	0	0	130.5	177	112.4	209.6	0	0	0	633.3	81.5	6
MÁXIMA	0	3.8	4	31.5	96.5	380.2	504.9	334.9	333	226.8	12.3	0	1543.61	133.9	12
