COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7353 
 NOMBRE    : SAN JOSE 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOZOCOAUTLA DE ESPINOSA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.78555556 ° 
 LONGITUD  : -93.3475 ° 
 ALTITUD   : 1052 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					40.7	20	20.5	31	48.5	40.2	2	12.1	215	26.9	8
1982	0	0	0	0	0	38	10.4	10.5	15.5	40.5	0	0	114.9	9.6	12
1983	0	0			0	20.5	15.1	10.5	0	17.1	0		63.2	7	9
1984												6.6	6.6	6.6	1
1988							20	72.51	70	37.9	6	3.5	209.91	35	6
MÍNIMA	0	0	0	0	0	20	10.4	10.5	0	17.1	0	0	6.6	6.6	1
MÁXIMA	0	0	0	0	40.7	38	20.5	72.51	70	40.5	6	12.1	215	35	12
MEDIA	0	0	0	0	13.6	26.2	16.5	31.1	33.5	33.9	2	5.6	121.9	17	7.2
DESV.ST	0	0			23.5	10.3	4.7	29.2	31.6	11.3	2.8	5.1	91.1	13.1	4.1

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					95	82	193.5	132.8	152.3	100.3	4	21.1	781	97.6	8
1982	0	0	0	0	0	82.8	10.4	14.8	60.7	108.1	0	0	276.8	23.1	12
