COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7355 
 NOMBRE    : UNION ZARAGOZA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : JITOTOL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.08166667 ° 
 LONGITUD  : -92.85111111 ° 
 ALTITUD   : 1690 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	6	33	6	21	46	47	24.5	60	42	42	40	100	467.5	39	12
1983	11	39	27	5	18.5	54	52	33.5	73	27	24	20	384	32	12
1984	18	5	11	37	50.5	29.5	60	58.5	58	47	20	28.5	423	35.2	12
1985	25	18	12	20	25	65	42	73		20	27	20	347	31.5	11
1986	40	7	3.6	5	100	25.5		30	50.5	30	20	45	356.6	32.4	11
1987	4.5	0.1	0.5	10	10.5	40	40	28	100	18		40	291.6	26.5	11
1988	30.1	10.5	20	4	8	70	30	40	34	28.5	12.5	10.5	298.1	24.8	12
1989	2.5	20.2	0	7.5	17.5	70	15.5	40.2	30	10.5	10	8	231.9	19.3	12
1990	9	13.5		10	14	20	15	25	40.3	9.4	18	27	201.2	18.3	11
1991	14	15	19.2	70.2	22	35.2	30.1	48.5	20.2	24	20	10.2	328.6	27.4	12
1992	15	8	12	10	80.2	60.2	29	41.2	25	18.2	28	22.2	349	29.1	12
1993	10	15	8	15	18	35.2	20	48	25.2	11.2	14.2	9	228.8	19.1	12
1994	12.1	32.1	15.1	30	60	30	18	80.1	35.2	22	15	8.2	357.8	29.8	12
1995	8.2	18	30.5	35.3	10.2	48.3	60.2	58.2	60	28	7.1	9.2	373.2	31.1	12
1996		11.2	3	10.5	60.2	52.3	28.5	52	70.2	52.2	66	14	420.1	38.2	11
1997	6	18	12	6.5	21	26	9.5	10	59	20	16.2	16.2	220.4	18.4	12
1998	6.1	17.2	13	2.5	0	31.5	32	28	21	28.2	17.5	8	205	17.1	12
1999	8.1	12.2	0	13	10.2	24	18.2	26.2	25.5	30	30	12	209.4	17.4	12
2000	9.5	10.2	3	8.5	22	32	23.2	40	52.5	14	8.1	10.2	233.2	19.4	12
