COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7356 
 NOMBRE    : BACHAJON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHILÓN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 17.03555556 ° 
 LONGITUD  : -92.18861111 ° 
 ALTITUD   : 918 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0.5	14.7	8	9.3	21.5	20	18	20	20	20	12.8	20	184.8	15.4	12
1983	20	37	2	0	18.5	17	20	16	18	18		6.7	173.2	15.7	11
1984	20												20	20	1
1987		20	5	2	20	20	20	16	20.5	29.2	20	20	192.7	17.5	11
1988	16.5	2.2	9.1	15.7	21.8	40			11.6	89	20.7	24.5	251.1	25.1	10
MÍNIMA	0.5	2.2	2	0	18.5	17	18	16	11.6	18	12.8	6.7	20	15.4	1
MÁXIMA	20	37	9.1	15.7	21.8	40	20	20	20.5	89	20.7	24.5	251.1	25.1	12
MEDIA	14.2	18.5	6	6.8	20.4	24.2	19.3	17.3	17.5	39	17.8	17.8	164.4	18.7	9
DESV.ST	9.3	14.4	3.2	7.2	1.5	10.6	1.2	2.3	4.1	33.7	4.4	7.7	86.1	4	4.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	4.11	62.8	15.01	24.7	100.4	167	164.8	125.5	294.3	178.4	67.1	157.1	1361.22	113.4	12
1983	103.1	114.4	4	0	27	161.9	139.1	109.9	81.6	82.7		13.2	836.9	76.1	11
1984	85.2												85.2	85.2	1
1987		85.2	7	23.1	42.2	131.8	151.93	104.91	159.5	170.31	113.41	101.8	1091.16	99.2	11
1988	191.6	15.21	50.23	39.3	32.7	100.02			101.44	430.21	78.1	97.41	1136.22	113.6	10
MÍNIMA	4.11	15.21	4	0	27	100.02	139.1	104.91	81.6	82.7	67.1	13.2	85.2	76.1	1
MÁXIMA	191.6	114.4	50.23	39.3	100.4	167	164.8	125.5	294.3	430.21	113.41	157.1	1361.22	113.6	12
MEDIA	96	69.4	19.1	21.8	50.6	140.2	151.9	113.4	159.2	215.4	86.2	92.4	902.1	97.5	9
DESV.ST	76.9	41.9	21.3	16.2	33.8	31	12.9	10.7	95.9	149.6	24.2	59.4	493.2	16.8	4.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982								123.9	143.9				267.8	133.9	2
1983	128.6	124.9	140.9	100.4	76	142.5	127.8	104.6					945.7	118.2	8
1987			29.11	123.26	132.96	87.51	87.75	80.5	88.85	85.34	87.47	95.22	897.97	89.8	10
1988	97.08	90.82	115.98	119.65	91.51	40.83			99.58		74.26	94.49	824.2	91.6	9
MÍNIMA	97.08	90.82	29.11	100.4	76	40.83	87.75	80.5	88.85	85.34	74.26	94.49	267.8	89.8	2
MÁXIMA	128.6	124.9	140.9	123.26	132.96	142.5	127.8	123.9	143.9	85.34	87.47	95.22	945.7	133.9	10
MEDIA	112.8	107.9	95.3	114.4	100.2	90.3	107.8	103	110.8	85.3	80.9	94.9	733.9	108.4	7.2
DESV.ST	22.3	24.1	58.7	12.3	29.4	50.9	28.3	21.7	29.2		9.3	0.5	314.7	21.4	3.6

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	29	26.2	29.4	31.5	30.2	30	30.1	28.8	29.3	29.8	29.1	28.9		29.4	12
1983	28.9	29.9	32.3	30.6	30.9	28.9	29.8	29.7	29.3	29		29.5		29.9	11
1984	26													26	1
1987		26	27.8	30.5	26.9	25.5	29.8	26	25.9	24.6	23.5	23.7		26.4	11
1988	27.5	28.3	28.4	27.7	27.7	27			30.3	27.3	28.8	27.2		28	10
MÍNIMA	26	26	27.8	27.7	26.9	25.5	29.8	26	25.9	24.6	23.5	23.7		26	1
MÁXIMA	29	29.9	32.3	31.5	30.9	30	30.1	29.7	30.3	29.8	29.1	29.5		29.9	12
MEDIA	27.9	27.6	29.5	30.1	28.9	27.9	29.9	28.2	28.7	27.7	27.1	27.3		27.9	9
DESV.ST	1.4	1.9	2	1.6	1.9	2	0.2	1.9	1.9	2.3	3.2	2.6		1.7	4.5

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	31	27.5	33.5	34	32.5	32	33.5	32	32	31	31	31		31.8	12
1983	31	31	37.5	34	39	31	34	36	36.5	32.5		32		34	11
1984	31													31	1
1987		31	32	35	33	30	31.5	30	29	29	30	28		30.8	11
1988	31	31	33	31	32.5	30			33	30	32	30		31.4	10
MÍNIMA	31	27.5	32	31	32.5	30	31.5	30	29	29	30	28		30.8	1
MÁXIMA	31	31	37.5	35	39	32	34	36	36.5	32.5	32	32		34	12
MEDIA	31	30.1	34	33.5	34.2	30.8	33	32.7	32.6	30.6	31	30.2		31.8	9
DESV.ST	0	1.8	2.4	1.7	3.2	1	1.3	3.1	3.1	1.5	1	1.7		1.3	4.5

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	10.5	12.9	13.8	15.1	17.3	18	16.3	16.4	17.2	16	17.4	17.2		15.7	12
1983	17	16.6	15.5	17.6	18.9	17.3	16.5	16.2	16.7	16.8		15.3		16.8	11
1984	14.3													14.3	1
1987		14.3	15	14.4	14.4	15.2	16.1	14.8	16.9	14.8	14	15.8		15.1	11
1988	14.8	14.9	13.9	14.8	13.9	14.8			14.7	15.3	13.9	12.5		14.3	10
MÍNIMA	10.5	12.9	13.8	14.4	13.9	14.8	16.1	14.8	14.7	14.8	13.9	12.5		14.3	1
MÁXIMA	17	16.6	15.5	17.6	18.9	18	16.5	16.4	17.2	16.8	17.4	17.2		16.8	12
MEDIA	14.2	14.7	14.6	15.5	16.1	16.3	16.3	15.8	16.4	15.7	15.1	15.2		15.2	9
DESV.ST	2.7	1.5	0.8	1.4	2.4	1.6	0.2	0.9	1.1	0.9	2	2		1.1	4.5

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	9	12	9.5	11	11.5	15	14.5	14	13	14	16	13		12.7	12
1983	13	14	11.5	15	16	15	13	10	14	14		12		13.4	11
1984	10													10	1
1987		10	12	7	10	11	10.5	11	11	11	10	10		10.3	11
1988	11	11.5	11.5	9	10.5	12			11.5	11.5	10.5	9		10.8	10
MÍNIMA	9	10	9.5	7	10	11	10.5	10	11	11	10	9		10	1
MÁXIMA	13	14	12	15	16	15	14.5	14	14	14	16	13		13.4	12
MEDIA	10.8	11.9	11.1	10.5	12	13.2	12.7	11.7	12.4	12.6	12.2	11		11.4	9
DESV.ST	1.7	1.7	1.1	3.4	2.7	2.1	2	2.1	1.4	1.6	3.3	1.8		1.5	4.5

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	19.8	19.6	21.6	23.3	23.8	24	23.2	22.6	23.2	22.9	23.2	23		22.5	12
1983	23	23.2	23.9	24.1	24.9	23.1	23.1	23	23	22.9		22.4		23.3	11
1984	20.1													20.1	1
1987		20.1	21.4	22.4	20.6	20.4	23	20.4	21.4	19.7	18.8	19.8		20.7	11
1988	21.1	21.6	21.1	21.2	20.8	20.9			22.5	21.3	21.4	19.9		21.2	10
