COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7358 
 NOMBRE    : FLORES MAGON 
 ESTADO    : CHIAPAS 
 MUNICIPIO : VENUSTIANO CARRANZA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16.39333333 ° 
 LONGITUD  : -92.69611111 ° 
 ALTITUD   : 482 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982					25	90	40	50	40			0	245	40.8	6
1983	0	40	48	0	35	120	110	62	105			0	520	52	10
1984	0	0	0	0	80	60	115	60	75	15	0	0	405	33.8	12
1985	0	21	18	0	18	60	50	55	75	6.3	35	0	338.3	28.2	12
1986	0				75	60			120	20			275	55	5
1987		0	0	0	40	40	45	40	45	0	0	0	210	19.1	11
1988	0	0	0	1	19.5	84	60	120	65	20	0	0	369.5	30.8	12
1989	0	0	0	2.7	47.3	26.5	30.7	110.5	57	21.6	84.7	0	381	31.8	12
1990	0	19.6	0	40.5	58.7	46.8	95.6	80.5	60	37.6	2.9	3	445.2	37.1	12
1991	3	0	0	4.5	20.5	65	60.7	47.8	82.5	38.8	6.2	15.6	344.6	28.7	12
1992	0	1	0	35	40.8	70.6	68.3	81.5	82.5	30.8	2	0	412.5	34.4	12
1993	12.5	0	0	21.6	20.5	68.6	40.6	44.3	27	38.6	0	0	273.7	22.8	12
1994	0	0	0	0	28.6	60	40.6	68.8	30	60.6	0	0	288.6	24	12
1995	0	0.1	10	44.6	30.5	102.4	84.6	48.4	35.4	110	2	0	468	39	12
1996		0	0	40	40	120	35	106	57	40	0	0	438	39.8	11
1997	0	0	0	5		75	66.4	40.4	40	60	60	40	386.8	35.2	11
1998	0	0	0	0	6	12	38	38.4	65	65	20	0	244.4	20.4	12
1999	0	0	0	26	28.6	65	66.5	85.3	138.4	68.4		9	487.2	44.3	11
2000	0	0	5	5	96.8	126	33	66.6	135	10	0	0	477.4	39.8	12
2001	0	0	0	40.1	60.8	60	60	65.6	54	38.6	0	0	379.1	31.6	12
2002	0	6	0	14	32.4	84.2	26.2	60	60.8	68.4	0		352	32	11
2003	0	0	0	38.6	42.4	44.5	58.8	80.6	43.4	40.9	20	0.01	369.21	30.8	12
2004	0	8	0	16.8	70	95	45	38	45	46		0	363.8	33.1	11
2005	0	0	0	0	43.5	140.5	58.6	90	48	60	0		440.6	40.1	11
2006	0	0	0	44.6	63.5	44.5	20	50	170	42	19	0	453.6	37.8	12
2007	0	0	2	2	45	75	38.4	53	60	68	10	0	353.4	29.4	12
2008		0	0	34.8	65.4	48.4	50.6		20	24	0	0	243.2	24.3	10
2009	0	0	0	75	55	48	60	40	86	65	20.4	10	459.4	38.3	12
2010	0	0	0	55	58	68	78	106	68.2	10	0.01	0	443.21	36.9	12
2011	0	0	10	24	30.5	36.4	80	40		66	0	0	286.9	26.1	11
2012	0			60.1	40.1	40.1	34	84	104	130	0		492.3	54.7	9
2013			0.1	55	24.6	80	68	44	80	28	4.6	0	384.3	38.4	10
2014	0	0	0	0	64.2	48	14	65					191.2	23.9	8
