COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7360 
 NOMBRE    : LUIS ESPINOSA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TECPATÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.14833333 ° 
 LONGITUD  : -93.42361111 ° 
 ALTITUD   : 300 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	39.5	164	15	66.5	37	20	26.2	37	82	82.2	58	62.5	689.9	57.5	12
1983	38.5	42.1	25	22	38.5	75.2	38.5	30.5	58	33.5	26.5	64	492.3	41	12
1984	65	5	11		52	35	28.5	19	72	59	62.5	78	487	44.3	11
1985	23.5	35	33	45.1		41.2		60.1	37	60		60	394.9	43.9	9
1986	72.5	35	68	0.1	260	22	17	22	36.5	52	75.5	60	720.6	60	12
1987	20	20	20	10	25	67	79	28	226.5	44	60.5	49.5	649.5	54.1	12
1988	36.5	45.5	16.5	19	5.5	74.5	18	54.5	84.5	94	226	70	744.5	62	12
1989	49.9	74	63.4	40.3	35.8	67.3	18.2	48.9	125	66.6	117.5	56.5	763.4	63.6	12
1990	35	41.6	37.4	46	61.8	48.4	55	31.4	106	100		80.2	642.8	58.4	11
1991	120	50.7	12.5	1	56.5	71.5	26.5	40.5	62	95	108.5	52	696.7	58.1	12
1992	25.7	22.5	13.3	2.4	40.6	64	44.5	47.3	215	16	59	45.8	596.1	49.7	12
1993	52.5	29.3	23	44.3	59.3	120.8	111	54.3	67	195.6	65.3	50	872.4	72.7	12
1994	44.4	35	20	27.3	30	80	72.6	45.6	36	90.7	25.3	33	539.9	45	12
1995	52	23.6	56	71.4	43	62	53.5	65.6	118.3	100.6	34.3	58	738.3	61.5	12
1996	40	6.3	17	136	38.3	110.7	45	60	60.7	44.3	110	45.3	713.6	59.5	12
