COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7361 
 NOMBRE    : PASO HONDO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : FRONTERA COMALAPA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.68444444 ° 
 LONGITUD  : -92.00694444 ° 
 ALTITUD   : 660 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	1	7	0	4.8	69	34.6	21	11	83	67	3.5	5.5	307.4	25.6	12
1983	13.6	59	16	0	22	37	52.5	76.5	43	51	9.5	8.2	388.3	32.4	12
1984	9	0.3	0	30.7	0	34.5	44.3	43.2	80	26	19	0	287	23.9	12
1985	6	14.5	4	12.3	23	67.4	50	71.5	42.5	21	29	32.7	373.9	31.2	12
1986	18	0							56.1	42.7	17	0	133.8	22.3	6
1987	3.1	0	36.9	7	42		80	26	68	4		0	267	26.7	10
1988	5.2					31.5	40		41	36.1	20.5		174.3	29	6
1989	0	0	23.5	21.5	0	17	35	30	7	45.2	104	30	313.2	26.1	12
1990	15	0		15	35.5	50	41.5	31	55.1	0		35	278.1	27.8	10
1991	0	0	15.5	0	42.5	42.5	21	30.5	31	31	21	11.5	246.5	20.5	12
1992	18	0	0	20	34	21	30	40	37.5	40	40	0.5	281	23.4	12
1993	0	0	0	0	0.4		25	40	40.1	40	3	0	148.5	13.5	11
1994	20	0	10.5	20	6	30	40	60.5	60	45	0	0	292	24.3	12
1995	0	0	0	20	30	32	45.5	45	45	20.5	20.5	0	258.5	21.5	12
1996	20.5	0	0	10			13	25	55	40.1	7.5	3	174.1	17.4	10
1997	0	0	0	0	50	24	40	35	16	15	15	2	197	16.4	12
1998	2	0	0	0	10	40	40	40	25	80	40	2	279	23.2	12
1999	0	0	0	43	20	70	40	64	148	60	7	8	460	38.3	12
2000	0		17	0	50	17	17	30	60	28	3	4	226	20.5	11
2001	3	3.5	3.5			60	10	34	4	67	0	11	196	19.6	10
2002	3	23	0	2	3	22	7	10	61	21	6.3	19	177.3	14.8	12
2003	18	0	17	0	20	42	43	86	46	63	80	3	418	34.8	12
2004	2	0	0	3	20	90	10.2	19	43	47	17.2	14	265.4	22.1	12
2005	0	19	20	1						441	2	19	502	71.7	7
2006	31	3	20	20	38.2	64	19	66					261.2	32.6	8
2011										54.5	67.5	0	122	40.7	3
2012	20.5	3.5	0	9	98.5	120.8	14.5	81	75	48	0	0	470.8	39.2	12
2013	9	0	19	0	9.5	72.5	47	100	88	108	30	41	524	43.7	12
2014	9.5	0	71.5	22.5	45.5	91	30.5	45	51	58	6	7	437.5	36.5	12
2015	4.5	0	0	32									36.5	9.1	4
2018								34	36	25	22	0	117	23.4	5
2019	0	0	0	0	85	86	96	78	82				427	47.4	9
MÍNIMA	0	0	0	0	0	17	7	10	4	0	0	0	36.5	9.1	3
MÁXIMA	31	59	71.5	43	98.5	120.8	96	100	148	441	104	41	524	71.7	12
MEDIA	7.7	4.7	10.2	10.9	31.4	49.9	35.3	46.4	52.8	56	21.9	9.2	282.5	28.1	10.2
DESV.ST	8.6	12.2	15.9	12.1	26.3	27.6	20.5	23.9	28.6	77.5	25.6	12.1	122.7	12	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	1	7	0	10.2	281.7	261.1	116	23.2	419	177.9	3.5	5.5	1306.1	108.8	12
1983	20.6	71	33	0	27.5	111.3	217.8	225.3	245.5	166.4	11	18.7	1148.1	95.7	12
1984	17	0.3	0	30.7	0	200.5	314.9	215.1	561.5	124	26	0	1490	124.2	12
1985	15.4	14.5	4	14.8	54.4	445.3	97	201.2	165.5	55.3	87.4	54.5	1209.3	100.8	12
1986	37.3	0							79.7	128.1	20.6	0	265.7	44.3	6
1987	3.1	0	46.1	7	95.7		245	136	416.1	6		0	955	95.5	10
1988	13.2					170.1	283		538.9	92.1	31		1128.3	188	6
1989	0	0	23.5	21.5	0	32	121.5	43	22	287.3	297.1	180.5	1028.4	85.7	12
1990	28	0		35	94.5	273.1	132.5	197.6	215.9	0		55	1031.6	103.2	10
1991	0	0	15.5	0	142.5	276.2	93	175	236.4	119	101.5	39	1198.1	99.8	12
1992	28.5	0	0	33	108.5	55.9	106	146.4	300.4	41.5	137.5	0.5	958.2	79.8	12
1993	0	0	0	0	0.4		55	170	231	60	3	0	519.4	47.2	11
1994	40	0	20.5	20	6	88	127	325.5	197.6	222.3	0	0	1046.9	87.2	12
1995	0	0	0	20	72	145	346	363	488.1	32.5	61	0	1527.6	127.3	12
1996	45.5	0	0	10			37.5	110	158.5	157.1	14	6.5	539.1	53.9	10
1997	0	0	0	0	193	111.5	90.7	71	69	42	38	5	620.2	51.7	12
1998	3	0	0	0	16	166	149	178.5	243	175	69.5	3	1003	83.6	12
1999	0	0	0	49	35	384	179	355	677.5	283.51	11	8	1982.01	165.2	12
2000	0		17	0	248	131	78	253	275.5	138.5	3	4	1148	104.4	11
2001	3	5.5	5.5			250.8	22.5	126.5	8	177.8	0	19.5	619.1	61.9	10
2002	3	23	0	2	7	140	32.8	32.5	344.7	73.6	9.5	27.4	695.5	58	12
2003	18	0	30.5	0	65.2	199.6	162.2	151	331	174.4	109	5	1245.9	103.8	12
2004	4	0	0	3	46.5	398.7	13.2	79.7	306.5	231	20.2	14	1116.8	93.1	12
2005	0	19	24.9	1						703	2	24.5	774.4	110.6	7
2006	61	5.5	20	20	107.9	202.2	41	275.4					733	91.6	8
2011										263.9	150.7	0	414.6	138.2	3
2012	26	3.5	0	18.3	257.3	199.3	54.1	408.1	299.7	149.5	0	0	1415.8	118	12
2013	21	0	19	0	33	392	225.9	339.5	477.9	619.5	155	70	2352.8	196.1	12
2014	20.5	0	81	22.5	168.2	255.7	92	127	350	140.9	17.5	13	1288.3	107.4	12
2015	4.5	0	0	32									36.5	9.1	4
2018								129.7	237.8	196	77	0	640.5	128.1	5
2019	0	0	0	0	180	305	259	220	266				1230	136.7	9
MÍNIMA	0	0	0	0	0	32	13.2	23.2	8	0	0	0	36.5	9.1	3
MÁXIMA	61	71	81	49	281.7	445.3	346	408.1	677.5	703	297.1	180.5	2352.8	196.1	12
MEDIA	13.8	5.3	12.6	13	93.3	216.4	136.7	188.1	291.5	173.7	53.9	19.8	1020.9	100	10.2
DESV.ST	16.3	14.2	19	14.1	87.4	111.5	93.1	104.7	161.8	156.5	69.2	36.9	468.8	40.1	2.7

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	129.5						111	190.1	160.5			121.1	712.2	142.4	5
1983	125	128.6	128	177.8	176.4	110.2						118.6	964.6	137.8	7
