COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7362 
 NOMBRE    : ROSENDO SALAZAR 
 ESTADO    : CHIAPAS 
 MUNICIPIO : HIDALGO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.47111111 ° 
 LONGITUD  : -94.00388889 ° 
 ALTITUD   : 721 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982			0	28	20		38.1	23	37.8	22	7.3	0	176.2	19.6	9
1983	0	35.2	10.2	0	40		51	42		22		3	203.4	22.6	9
1984	0	0		0	55.5	35	65	43.4	36	69	0	0	303.9	27.6	11
1985	0	0	0	1.5	27	62	30	34	12	42	20	1.5	230	19.2	12
1986	0	0	0	11	154	52	83	35	48	8	0	1.5	392.5	32.7	12
1987	0	0	5.5	0	20	50	54	22	64	0	0	0	215.5	18	12
1988	0	0	2	3	17.5	66	60	60	90.3	35	5.5	0	339.3	28.3	12
1989		9	0	34	35	32	68.5	23	343	9	0	0	553.5	50.3	11
1990	0	10.5	3	9.2	32.2	91.8	25.2	55.2	35	29.2	7	0	298.3	24.9	12
1991	0	0	0	0	50	64	30	39.7	80	91.5	0	0	355.2	29.6	12
1992	0	25	14.8	16.8	26.5	46.1	72.3	73.6	26.6	33.2	39.5	0	374.4	31.2	12
1993	0	0	0	0	4.5	85.1	39.4	46.9	33.2	62	1.5	0	272.6	22.7	12
1994	0	0	2.2	19.3	34	45.5	17.4	85.5	15.5	31.5	20	0	270.9	22.6	12
1995	7.8	3.5	30	25	20	58	80.3	60	62	60	0	6	412.6	34.4	12
1996	0	0	19	11	16.5	31.5	43	31	81	60	2	0	295	24.6	12
