COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7365 
 NOMBRE    : OCOTEPEC 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OCOTEPEC 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.2225 ° 
 LONGITUD  : -93.17444444 ° 
 ALTITUD   : 1460 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983			3.9										3.9	3.9	1
1984										5.4	82.5	106.5	194.4	64.8	3
1985	58	70	4	11	16.5	0	0	40.6	50.5	60	68.5	60.6	439.7	36.6	12
1986	30.9	17	43.8	10	70.8	14	26.5	25.4	34.4	40.9	40.5	15	369.2	30.8	12
1987	25.6	23.8		13	20.8	48.5	48.5	32.5	41.2	119.5	116.5	120.5	610.4	55.5	11
1988	25.6	23.8	76.3	13	20.8	48.5	48.5	32.5	41.2	119.5	116.5	120.5	686.7	57.2	12
1989	89.5	91.5	69.5	64.8	55.5	169.4	48.5	23.5	129.4	225.9	140	250.9	1358.4	113.2	12
1990	40.5	68.9	60.1	26.5	41.3	77.5	84.5	67.5	90.5	160	211	645	1573.3	131.1	12
1991					33.2	82.2	35.2	57.2	115.5	78.5	162.5	112.5	676.8	84.6	8
1992	60.3	35.4	41.5	28.6	34.5	80.5	69.5	82.5	115.3		89.5	65.2	702.8	63.9	11
1993	120.3	91.7	85.3	98.5	67.5	207.1	47.2	67.5	114.5	116.7	129.5	81.2	1227	102.2	12
1994	179.5	213.5	203.6	110.5	61.4	61	80.5	114.5	54.9	175.5	18.2	12.2	1285.3	107.1	12
1995	80	55.2	34.5	184.2	46.2	90.4	61.2	64.5	108.5	180.2	29.2	119.5	1053.6	87.8	12
1996	185.2	185.6	125.2	125.4	52.3	45.5	83.2	82.3	123.1	120.1	153.9	95.4	1377.2	114.8	12
1997	63.4	80.2	61.5	85.7	62.5	46.5	128.5	40.4	45.5	261.5	149.4	67.1	1092.2	91	12
1998	25.4	39.5	7.5	20.5	0	81.5	61.5	64.5	65.3	217.3	68.5	108.2	759.7	63.3	12
1999	145.5	149.1	46.6	50.1	27.5	88.5	58.5	149.2	165.4	164.5	158.2	44.5	1247.6	104	12
