COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7367 
 NOMBRE    : SAYULA (CFE) 
 ESTADO    : CHIAPAS 
 MUNICIPIO : OSTUACÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.41666667 ° 
 LONGITUD  : -93.38333333 ° 
 ALTITUD   : 237 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1987	60.8	36	74.5	20.7	28.9	112.4	91.8	61.2	77.6	79.4	92.4	49.4	785.1	65.4	12
1988					58.9	88.9	69.8	64.7	56	129.2	97.8	58.6	623.9	78	8
1989	60.8	36	74.5	20.7	28.9	99.8	91.8	61.2	198	56	82.1	141.4	951.2	79.3	12
1990	143.3	143.9	103.4	104.9	61.8	71.4	80.3	41	197.5	448.5	116.8	191.7	1704.5	142	12
1991	222	101.3	63	2.4	50.5	51.8	61.5	82.7	114.7	163.7	131.7	73.6	1118.9	93.2	12
1992	93.1	75.8	63.2	14.1	57.4	123.9	65	91	167.2	173.9	156.1	25.5	1106.2	92.2	12
1993	55.9	39.1	24.7	55.9	86.8	115.3	26.5	71.2	49.2	214.2	97.5	61.2	897.5	74.8	12
1994	153	60.6	47.4	98.8	28.1	19.4	94.1	61.1	114.3	194.6	48.1	130.7	1050.2	87.5	12
1995	90.8	81.5	107.7	167.3	24.2	84.7	88.7	140.4	179.3	88.5	213.2	151.1	1417.4	118.1	12
1996	57.6	23.7	86.7		50.9	115	66.5	66	142.2	76.2	135	174.7	994.5	90.4	11
1997	80	116	96.6	60	50.2	47	55.7	24	60.2	150.6	48	80	868.3	72.4	12
1998	28	15	11	24	0								78	15.6	5
2004	143						51.4	100.5	76	143	119.3	64	697.2	99.6	7
2005	19.7	145.8	36	21.4	126.8	81.8	48	67.2	108.5	81.3	35.5	116.5	888.5	74	12
2006	72.6	83.9	91.5	39.6	62.6	241.5	65.4	64.5	113	215	61.7	191.2	1302.5	108.5	12
2007	334.6	37.2	91.7	31.5	31	59.3	49.9	66.6		325.4	99.7	40.9	1167.8	106.2	11
2008	133.7	64.3	33.5	96.6	80.9	106.6	125	71.9	122.2	123	68.5	62.8	1089	90.8	12
2009	80.5	69.7	63.8	118.2	34.4	53	49.5	75.4	98	270.5	267.7	53.8	1234.5	102.9	12
2010	84.3	23.4	28.5	22.9	38.8	112.9	78.7	170.1	152.8	111.1	188	85.8	1097.3	91.4	12
2011	129.7	59	189.3	67	143.5	69.7	87.8	92	116.9	168.8	176.5	185.9	1486.1	123.8	12
2012	101.2	69.2	11.3	108.6	67.7	32.8	38.3	132.9	110.5	77.1	11.8	148.5	909.9	75.8	12
2013	147.3	20.1	25.5	53	74.4	121.2	53.5	159.5	110.8	136.5	274.7	325.4	1501.9	125.2	12
2014	106.3	48	84.3	137.7	139.4	56	84.5	36.5	168.3	170.9	145.9	45.7	1223.5	102	12
2015	182	48.9	81.9	141.9	56.2	40	19.8	75.1	50	169.1	120	172.7	1157.6	96.5	12
2016	71.3	56.9	68.6	38.9	25.2	29.4	48.8	131.7	63.2	90.5	157.8	107.5	889.8	74.2	12
2017	204	1.9	30.8	127.6	101.7	47.7	47.3	79.7	80.2	149.4	27.4	55.6	953.3	79.4	12
MÍNIMA	19.7	1.9	11	2.4	0	19.4	19.8	24	49.2	56	11.8	25.5	78	15.6	5
MÁXIMA	334.6	145.8	189.3	167.3	143.5	241.5	125	170.1	198	448.5	274.7	325.4	1704.5	142	12
MEDIA	114.2	60.7	66.2	68.4	60.4	82.6	65.6	83.5	113.6	160.3	118.9	111.8	1045.9	90.7	11.3
