COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7370 
 NOMBRE    : ADOLFO RUIZ CORTINEZ 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MAZATÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 14.875 ° 
 LONGITUD  : -92.5375 ° 
 ALTITUD   : 4 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984							83.5	34.5	104	43.5	21	0	286.5	47.8	6
1985	0	0	0	0	20.1	40.5	40	60	41	58	85	0	344.6	28.7	12
1986	0												0	0	1
1987	0	0	0										0	0	3
1988			1.6	0				80.2	276	43	4	0	404.8	57.8	7
1989				0	25.5	49	31		60.2	50.8	30.4	0	246.9	30.9	8
1990	0	18.5	0.9	0.3		86	53	21	129	16	68.5	41	434.2	39.5	11
1991	0	0	50.7	13	30	65	22	56	73	42.5	1.5	0	353.7	29.5	12
1992	0.5	1.5	18	13	132	93	169	140	66	32	40	0	705	58.8	12
1993	0	0	0	23	22	80	53	35.5	92	40	6	0	351.5	29.3	12
1994	0	0	0	0	25	50	10	10	60	28	17.5	13.5	214	17.8	12
1995	0	0	0	31						115	0	12	158	22.6	7
1996	0	0	0	0	38	86	42	48	52	29	36	0	331	27.6	12
1997	0	0	0	5	80	20	53	24	101.5	41	172		496.5	45.1	11
1998			0	0	0	44	77	69	238	106	62	0	596	59.6	10
1999	6	0	44.5	0	51.5	53	101	25	110	172	5	0	568	47.3	12
2000	0	0	0	0	96	30.5	53	69.5	66.5	52.5	30	0	398	33.2	12
2001	0	0	0	0	57	51	20	54.5	74	42	0	100	398.5	33.2	12
2002	0	0	0	8	32	60	46	55	115.5	40	57	0	413.5	34.5	12
2003	2	0	7.5	0	80	91	118.5	101.5	48.5	54	44	0	547	45.6	12
