COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7372 
 NOMBRE    : BERRIOZABAL 
 ESTADO    : CHIAPAS 
 MUNICIPIO : BERRIOZÁBAL 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.79694444 ° 
 LONGITUD  : -93.26527778 ° 
 ALTITUD   : 890 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1988									34	12.7	10.4	2.9	60	15	4
1989	14	3.8	0	0	28.9	88.3	40.5	28.9	116.8	21.8	1.7	8.6	353.3	29.4	12
1990	0.7	8.7	6	0	7.7	46.5	31.4	31.9	38.5	22.5	4.2	26.2	224.3	18.7	12
1991	3.9	6.7	1	0	14.2	96.9	28.3	58.2	12.9	22.9	19.5	9.6	274.1	22.8	12
1992	3.5	1.3	2	0.01	14.3	63.5	20.5	26.5	69.5	15.5	3.5	11.5	231.61	19.3	12
1993	3.5	0.4	0.01	6.4	0	45.2	25.2	28.9	28.9	9.5	1.2	0.01	149.22	12.4	12
1994	7.6	7.6	5.2	4.2	10.5	42.3	40.7	40.2	20	37.5	0.01	0.01	215.82	18	12
1995	0.01	0.01	8.5	32	47	60	36	54.3	25	60	0	6	328.82	27.4	12
1996					0	38	60	63.9	72.5	10	18.5	6.5	269.4	33.7	8
1997	0.01	2.5	0	34.5	80	108	76	26.8			55	3.5	386.31	38.6	10
1998	0	5	0.01	0	0	53	120	44.5	50	35	20	5	332.51	27.7	12
1999	6	0	0	45	45	39	48	60	41	19	0.4	6.5	309.9	25.8	12
2000	2.4	0	0.2	0.2	76	57		74	27	24	0	5	265.8	24.2	11
2001	0	4	0	0.4	82	27	43	39.5	63	26	14	5	303.9	25.3	12
2002	2	6.5	3	0	14	79	12.5	10.5	46	7	2.5	30.5	213.5	17.8	12
2003	2	0	0	2	28.6	38.3	34.3	38	56.8	225.5	17.6	7.3	450.4	37.5	12
2004	6.7	0	0	1.5	38.3	34.8	44.6	34.2	34.9	11.3	7.2	5.3	218.8	18.2	12
2005	0	1.5	0	3.3	16.9		54.2	40.3	21.6	65.2	4.4	1.8	209.2	19	11
2006	7.7	5.3	4.9	4.8	56.5	31.8	33.3	38.4	42.3	37.3	20.2	1.8	284.3	23.7	12
2007	8.7	0	10.3	16.2	16.3	59.2	54.4	43.4	74.3	73.8	10.8	2.1	369.5	30.8	12
2008	3.9	6.1	2.5	17.1	37.3	45.1	36.8	62.1	26.6	11.4	3.3	0	252.2	21	12
2009	4.8	0	5.9	10.4	32.2	59.3	68.4	59.8			14.3	10.9	266	26.6	10
2010	2.6	1.6	0	43.3	30.6	49.6	47.8	57.9	49.7	15.4	31.4	7.2	337.1	28.1	12
2011	2.1	3.2	4.4	9.3	39.1	39.2	43.3	131.6		28.3	13.2	1.2	314.9	28.6	11
2012	3.3	3.4	1.8	15.9	21.5	60.9	47.6	96.8	20.5	17.2	0	15.5	304.4	25.4	12
2013	3.4	0	0	1.1	61.2	29.3	34.1	25.7	71.2	17.3	8.6	6.9	258.8	21.6	12
2014	10.2	0	0	7.7	41.3	60.9	46.2	43.9	67.5	32.6	6.6	0	316.9	26.4	12
2015	1.5	0	1.6	8.2	16.6	38.9	30.4	45.3	30.9	82.2	1.8	4.6	262	21.8	12
2016	2.2	0	1.8	16.6	23.9	90	45.7	68.8	89.9	19.5	10.2	0	368.6	30.7	12
2017	10.3	0	0	19.6	45.6	63.3	45	50.3	43.3	39.6	1.9	0	318.9	26.6	12
2018	2.9	0	1.8	6.9	2.4	46.8	23.7	44.5	29.2	30.7	27.9	0	216.8	18.1	12
2019	1.1	2.5	0	0	17.5	46.3	38.2	46.3	32.9	57.6	17.9	17.5	277.8	23.1	12
2020	0	4.8	21.2	2.4	52.3	115.2	30.1	60.2	14.3	29.3	15.4	0	345.2	28.8	12
2021	0	0	9.8	1.6	33.6	45.4	38.7	57.1	37.9	63.6	0	2.1	289.8	24.2	12
2022	5.1	7.1	3.4	1.1	81.8	46.3	23.4	32.5	18.9	86.6	21.5	0	327.7	27.3	12
2023	1.3												1.3	1.3	1
MÍNIMA	0	0	0	0	0	27	12.5	10.5	12.9	7	0	0	1.3	1.3	1
MÁXIMA	14	8.7	21.2	45	82	115.2	120	131.6	116.8	225.5	55	30.5	450.4	38.6	12
MEDIA	3.6	2.5	2.9	9.4	32.7	55.9	42.5	49	44	38.4	11	6	275.3	24	11.2
DESV.ST	3.5	2.8	4.5	12.6	23.9	22.3	19.3	22.3	23.9	40.1	11.6	7.2	85.2	7	2.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1988									167.93	31.53	27.41	2.91	229.78	57.4	4
1989	15.4	7.6	0	0	90.32	268.11	91.13	133.22	469.71	72	2	20.3	1169.79	97.5	12
1990	1	11.32	6.7	0	20.61	198.92	170.2	81.2	112.52	35.83	7.43	55.11	700.84	58.4	12
1991	4.12	6.94	1.01	0	36.6	204.5	94.01	202.63	67.02	53.81	21.32	17.81	709.77	59.1	12
1992	5.97	2.43	2.82	0.03	28.9	303.93	95.02	90.01	165.23	27.61	9.41	11.5	742.86	61.9	12
1993	6.11	0.4	0.01	6.4	0	217.63	95.55	160.04	137.64	25.51	1.22	0.02	650.53	54.2	12
1994	18.91	13.7	7.81	4.2	21.5	129.51	113.13	253.28	44.62	99.1	0.01	0.01	705.78	58.8	12
1995	0.01	0.03	8.5	42	89.9	190.33	122.01	308.13	148.4	182.2	0	6.01	1097.52	91.5	12
1996					0	335.5	274.8	195.91	233.51	27.2	53.31	6.52	1126.75	140.8	8
1997	0.01	6.01	0	42.81	131.8	254.5	123	30.8			85.02	8.02	681.97	68.2	10
1998	0	5	0.02	0	0	159	264.51	92.52	335.1	165.4	61.9	7.01	1090.46	90.9	12
1999	16.02	0	0	137	233.52	222.01	185.01	413	431	140	0.8	7.5	1785.86	148.8	12
2000	2.4	0	0.2	0.3	228.6	270.83		298.7	123.4	55.6	0	8.3	988.33	89.8	11
2001	0	6	0	0.8	182	98	116	124	225	62	15.4	12.5	841.7	70.1	12
2002	4	30	3	0	18.5	357.5	44	23.5	223	14.5	8	30.5	756.5	63	12
2003	2	0	0	2	111.5	156.8	113.1	108.6	283.9	365.2	55.1	13	1211.2	100.9	12
2004	9.1	0	0	1.5	91.2	120.3	215.1	76.6	129.8	51.8	8.4	7.6	711.4	59.3	12
2005	0	1.5	0	3.3	41.8		235.2	150.9	55.9	203.8	4.4	1.8	698.6	63.5	11
2006	7.7	7.6	4.9	4.8	167.3	115.3	196.4	116.5	185.1	78.6	27.8	2.4	914.4	76.2	12
2007	16.2	0	10.3	18.7	23.6	97.3	154	208.4	167.2	360.4	10.8	2.1	1069	89.1	12
