COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7374 
 NOMBRE    : LA ESPERANZA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA TRINITARIA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.15416667 ° 
 LONGITUD  : -91.86805556 ° 
 ALTITUD   : 1500 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1987						18	40	32	25	8	9	20	152	21.7	7
1988	20	14	0	9.2	20	43	31	42	27.6	20	4	5.5	236.3	19.7	12
1989	7.1	24	0	13.5	22.3	28.4	103.5	20	37	32	11.3	12.2	311.3	25.9	12
1990	11	10.5	4.2	20	15	53.4	23.5	56	30	44.5	40	22.5	330.6	27.6	12
1991	9.5	6	3	0	40	20	45	32	55	40	16	19.5	286	23.8	12
1992	24	4	23	16.5	9.5	45	45	42			12	28.5	249.5	25	10
1993	17	10	15	0	40	80	40	50	40	21	5	20	338	28.2	12
1994	12	10	8	8	25	20	12	20	55		30	30	230	20.9	11
1995	2	5.5	13	27	40	40	43	85	30	20	5	3	313.5	26.1	12
1996	0	0	5	21	30	15	40	40	40	5	20	5	221	18.4	12
1997	0	18	10	25	18	45	40	15	30	20	20	45	286	23.8	12
1998	8	15	6	0	16	34	40	20	27	19	25	15	225	18.8	12
1999	9	16	0	16	27	30	20	42	60.1	100	5	15	340.1	28.3	12
2000	5	3	0	10	40	24	35	20	40	30	20	20	247	20.6	12
2005						63	25	22	37	23	8	4	182	26	7
2006	8	5	5	2	30	65	48	13	20	25	15	15	251	20.9	12
2007	15	4.3	30	25	16.5	40	69	55	75	30	19	3	381.8	31.8	12
2008	13	4	10	17	46.7	48.6	60	36.7	63	23	12	6	340	28.3	12
2009	12.5	12.3	4.2	0	24	40	40	29	31	11.5	14.1	20	238.6	19.9	12
2010	10	2.2	3	28	30	51	49	38.2		10.8	7.5	3.5	233.2	21.2	11
2011	32	9.5	5.4	37.5	8.7	49.5	56.7	62.2	55	30	6	6	358.5	29.9	12
2012	10	6	25	17	48	32	27	30	38	22	8	13	276	23	12
2013	10	3	6	16	32	54	75	68	55	24	33	15	391	32.6	12
