COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7376 
 NOMBRE    : FRANCISCO I. MADERO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : HIDALGO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.80277778 ° 
 LONGITUD  : -93.75527778 ° 
 ALTITUD   : 736 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1988											20	17	37	18.5	2
1989	6.7	5.5	5.1	16.4	2.6	20	20	20	20	20	5.8	20	162.1	13.5	12
1990	2	0		1	2.4	8.9	0	10.4	5.2	13.5		20	63.4	6.3	10
1991		0	4.5	0	20	20	20	20	15.5	20	20		140	14	10
1993									31.5	21.5	13	13.5	79.5	19.9	4
1994	20	16	0	9.5	60.2	53.1	58.1	15		60.5	20.3	8	320.7	29.2	11
1995	14.3	25	7	40.5	46	30	43	40		45.3	15	15.2	321.3	29.2	11
1996	11	10	2	16	20.4	30.7	30.2	60.8	26	6	22.3	16.2	251.6	21	12
1997	3	10.3	7	19	29.3	30.7	32	7.2	30.4	15.1	30	3	217	18.1	12
1998	0.2	3	4	3.1	0	13.2	50.3	27	61.2	25.5	35	4.5	227	18.9	12
1999	28	26.3	8	4	25.4	100.8	110.1	30.1	20.2	17	17.5	28	415.4	34.6	12
2000	28.4	8.4	6.6	21	78.5	105.6	39	98.7	65.1	21	9.4	41.7	523.4	43.6	12
2001	6.7	10	10.9	12.7	49.2	32.1	52.8	69	28.1	24	13.4	38.5	347.4	29	12
2002	4.4	8.4	10.4	0	21.5	30.7	17	36.2	49.2	19.7	52.8	18.4	268.7	22.4	12
2003	23.5	2.3	14.2	22.6	19.3	67	28.5	17.7	40.7	70.2	43.1	34	383.1	31.9	12
2004	23	15	5	3.6	63	52.5	34.7	29	89.2	44.9	34.1	24	418	34.8	12
2005	6.4	6	11.7	41	30.5	29.2	50.3	97.9	32.3	105.4	19	14.4	444.1	37	12
2006	35.4	15.6	2	16.2	29.5	45.6	32	30.8	20.8	35.2	18.5	37.1	318.7	26.6	12
2007	25.7	14.7	25.9	59.5	18.2	105.4	46	83	34	75.9	12.1	9.4	509.8	42.5	12
2008	49.5	11.7	9.9	35.7	93	60.2	58.5	44.2	64	36.5	44.7	6.9	514.8	42.9	12
2009	24.9	45.3	34.7	4.7	14.9	50.9	60.8	40.1	73.5	51.7	21.5	11.7	434.7	36.2	12
2010	9.5	3.2	7.9	31.2	18.5	61.3	89.8	112	139.5	40.9	26.3	11.8	551.9	46	12
2011	15.8	14.7	38.5	6	74.2	46.8	101	53.1	60.3	25.5	18	10.3	464.2	38.7	12
2012	7.8	3	13.1	8.4	38	74	40.5	114.2	40.8	7	3.5	39.9	390.2	32.5	12
2013	23.5	14.7	12.2	8	85	64.7	32.7	13.8	75.9	38.3	17.5	27.7	414	34.5	12
