COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7386 
 NOMBRE    : SAN ISIDRO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : PIJIJIAPAN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.74277778 ° 
 LONGITUD  : -93.35138889 ° 
 ALTITUD   : 45 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1985											50	0	50	25	2
1986		0	0	0							25.3	0	25.3	5.1	5
1987			0		102		55.5	84	85.4	8.5			335.4	55.9	6
1988		0	0	0	44	120		80	21	0	0	0	265	26.5	10
1989		0										0	0	0	2
1990	0	0	0	20.9	60.3	80.2				80.1		0	241.5	30.2	8
1991				0	60	60.3				20.6	0	0	140.9	23.5	6
1992	0	0	5.6	18	41	31	20.4	70.3	80.5	36			302.8	30.3	10
1993	0		0	20	40.9	80	80	60.8	100.1	60.1	40	60	541.9	49.3	11
1994				9	51	15.7	40	61	65	120	92	0	453.7	50.4	9
1995	0	0	0	27	57	31							115	19.2	6
1996		0	0	0	0	30	30	40	41		0	35.6	176.6	17.7	10
1997	0	0	0	0	0	50	79.1	102.4	116.8	60	80.5	0	488.8	40.7	12
1998	14.4	6.5	0	0	3	62.5	63.3	87.5	157	91.5	84.5	0	570.2	47.5	12
1999	0	0	0	6.5	24.2	82.2	47.5	67	85	17	0	0	329.4	27.4	12
2000	0	0	18	68	60	77.4	60	46.5	53.8	18.5	0	0	402.2	33.5	12
2001	0	0	0	0	28.5	72.3	55.5	80	84	100	0	0	420.3	35	12
2002	0	0	0	8.5									8.5	2.1	4
2003						137.5	95.5	90	80	65	15	0	483	69	7
2004	0	0	0	0	50	60	50	65	40	40	0	0	305	25.4	12
2005	0	0	0	20	35	105	70	65	230	300	0	0	825	68.8	12
2006	0	0	0	0	80	70	8	60	80	95	20	0	413	34.4	12
2007	0	0	10	5.4	26	37	15.4	72	26	44	0	0	235.8	19.6	12
2008	19	0	0	10	100	260	110	40	145	35	0	0	719	59.9	12
2009	0	0	0	0	69	190	40	120	60	60	0	0	539	44.9	12
2010	0	0	1	24	26	130	83	290	100	0	20		674	61.3	11
2011	0	0		80	50	100	65	60	105	60	0	0	520	47.3	11
2012	0	0	20	0	40	80							140	23.3	6
2013										100	0	0	100	33.3	3
2014	0	0	0	20	60	315	35	100	200	200	0	0	930	77.5	12
2015	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	15.7	8	40	21	0	0	0	0	0	2
MÁXIMA	19	6.5	20	80	102	315	110	290	230	300	92	60	930	77.5	12
MEDIA	1.6	0.3	2.3	13.5	46.2	94.9	55.2	82.9	93.1	70.1	18.6	4	346.8	35	8.8
DESV.ST	5.1	1.3	5.6	20.5	26.9	71.7	26.8	51.6	53.4	67.8	30.1	14	247.8	20.5	3.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1985											294.8	0	294.8	147.4	2
1986		0	0	0							45.3	0	45.3	9.1	5
1987			0		225		401.42	321.8	492.7	8.51			1449.43	241.6	6
1988		0	0	0	118.31	404		240	84.8	0	0	0	847.11	84.7	10
1989		0										0	0	0	2
1990	0	0	0	37.7	161.8	182.6				101		0	483.1	60.4	8
1991				0	62.4	108.71				130.2	0	0	301.31	50.2	6
1992	0	0	10.4	33	104	130.5	77	358.3	511.4	80.2			1304.8	130.5	10
1993	0		0	20	94.2	365	290.9	441.9	457.7	194.6	159.3	269.3	2292.9	208.4	11
1994				12.5	293.3	31.8	156.2	222.01	193.5	221.5	96	0	1226.81	136.3	9
1995	0	0	0	47	165	177.51							389.51	64.9	6
1996		0	0	0	0	180	197.01	315.5	329.5		0	55.6	1077.61	107.8	10
1997	0	0	0	0	0	240.2	420.4	326.6	844.7	227.8	289.8	0	2349.5	195.8	12
1998	14.4	6.5	0	0	3	234.2	378.7	450.5	1023.9	283.9	178.7	0	2573.8	214.5	12
1999	0	0	0	17.8	126.5	532.8	240.6	423.3	732.2	146.2	0	0	2219.4	184.9	12
2000	0	0	18.01	76.2	289.7	363.5	173.9	269.9	429.3	52.6	0	0	1673.11	139.4	12
2001	0	0	0	0	37	319.9	260.9	354.5	273.6	295	0	0	1540.9	128.4	12
2002	0	0	0	14.7									14.7	3.7	4
2003						521.46	605.51	272.5	516	366	35	0	2316.47	330.9	7
2004	0	0	0	0	220	267	375	390	328	275	0	0	1855	154.6	12
2005	0	0	0	25	120	388.4	293	472	704	1065	0	0	3067.4	255.6	12
2006	0	0	0	0	254	320	13	265	390	446	20	0	1708	142.3	12
2007	0	0	13.8	6.7	105	181.7	77.1	144.8	104	149	0	0	782.1	65.2	12
2008	19	0	0	12	194	896	315	124	600.5	170	0	0	2330.5	194.2	12
2009	0	0	0	0	140	320	127	384.8	165	185	0	0	1321.8	110.2	12
2010	0	0	1	72	158	569.5	582	679	959	0	20		3040.5	276.4	11
2011	0	0		165	145	365	450	387	477	157	0	0	2146	195.1	11
2012	0	0	20	0	140	385							545	90.8	6
2013										256	0	0	256	85.3	3
2014	0	0	0	40	122	553	73	292	751	590	0	0	2421	201.8	12
2015	0	0	0										0	0	3
MÍNIMA	0	0	0	0	0	31.8	13	124	84.8	0	0	0	0	0	2
MÁXIMA	19	6.5	20	165	293.3	896	605.51	679	1023.9	1065	294.8	269.3	3067.4	330.9	12
MEDIA	1.6	0.3	2.6	23.2	136.6	334.9	275.4	339.8	493.7	234.8	49.5	13.5	1350.8	135.8	8.8
DESV.ST	5.1	1.3	6.1	37.1	82.7	187.5	167.9	121.7	268	229.9	91.7	55.6	960.7	84.6	3.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1987			106.29										106.29	106.3	1
1988		124.04											124.04	124	1
1991										95.39	120.66		216.05	108	2
1992		143.82				138.1	140.55	145.24	117.68				685.39	137.1	5
MÍNIMA		124.04	106.29			138.1	140.55	145.24	117.68	95.39	120.66		106.29	106.3	1
MÁXIMA		143.82	106.29			138.1	140.55	145.24	117.68	95.39	120.66		685.39	137.1	5
MEDIA		133.9	106.3			138.1	140.6	145.2	117.7	95.4	120.7		282.9	118.8	2.2
DESV.ST		14											272.6	14.5	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1985											36	33.4		34.7	2
1986		34.5	34.1	34.3							30.6	32.4		33.2	5
1987			31.9		34.4		33.7	33.4	31.4	32.9				33	6
1988		34.6	34.9	37.1	37.4	34		34	33.1	33.6	33	33.3		34.5	10
1989		35.1	37.4	36.4	37.6	36.4	36.3					32.6		36	7
1990	36.4	36.1	36.9	35.8	35.2	35	33.6	34.9	34.4	34.7	34.8	34.8		35.2	12
1991				37	36.1	34.5				33.7	33.3	33.9		34.8	6
1992	34.7	33.4	34.5	34.8	33.8	32.8	33	33.3	32.2	31.9				33.4	10
1993	32.4		35.3	36	34.2	32.2	35.4	37.2	34.5	34.2	33.1	33.6		34.4	11
1994				32.5	33.3	32.7	31.9	33.6	31.2	31.1	32.4	31.8		32.3	9
1995	33.4	33.6	35.2	35.1	31.8	32.6								33.6	6
1996		32.9	36.2	35.4	36	35.3	35.9	35.7	34.6		33.6	33.9		35	10
1997	34.3	35.4	35.4	34.7	36.3	34.6	36.9	36.6	35.2	34.5	34.9	34.3		35.3	12
1998	35.6	35.4												35.5	2
1999				38.3	37.3	36.4	37.7	37.4	37.9	37				37.4	7
2001					37.4	36.4	36.7	37.3	36.2	36	35.9	37.7		36.7	8
2003						31.7	32.8							32.2	2
2006	25.6	34.4	35.2	34.9	33.7	33.2	35.4	34.3	34.6	34.1	34.7	33.7		33.6	12
2007	35	33.8	35.5	35.8	34.5	33.2	33.8	32.7	33.7	31.6	34	33.7		33.9	12
2008	33.4	34.8	34.5	35.6	35.2	31.2	34.2	34	33	34	34.1	31.3		33.8	12
2009	33	28.9	35.2	34	35	34					33	35.2		33.5	8
2010	33.6	34.6		34.6	35.6	35.3	35.3	35.5	35.5	32.5	34.2			34.7	10
2011	34.8	34.1	32.5	32.1	31.3	28.3	26.2	26	28.7	28.5	31.1	31		30.4	12
2012	31	30.2	30.9	30.4	29.5	29								30.2	6
2013										29	31.5	30.3		30.3	3
2014	30.9		33.7	34.9	34.5	33.8	34.3	34.2	33.7	34	34.4	34.6		33.9	11
2015	34.8	34.1	34.4											34.4	3
MÍNIMA	25.6	28.9	30.9	30.4	29.5	28.3	26.2	26	28.7	28.5	30.6	30.3		30.2	2
MÁXIMA	36.4	36.1	37.4	38.3	37.6	36.4	37.7	37.4	37.9	37	36	37.7		37.4	12
MEDIA	33.3	33.9	34.6	35	34.8	33.5	34.3	34.4	33.7	33.1	33.6	33.4		33.9	7.9
DESV.ST	2.6	1.8	1.6	1.8	2.1	2.2	2.6	2.7	2.2	2.2	1.5	1.7		1.8	3.5

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1985											39.5	39.5		39.5	2
1986		37	37	37							33.5	35.5		36	5
1987			34		36.5		36.5	36.5	34	36				35.6	6
1988		38	38.5	39.5	40	37		36	35.5	36	36.5	35		37.2	10
1989		38	39	39	39	38	39					35		38.1	7
1990	38.5	38.5	39	38	38	37	37	37	36	37	38	38		37.7	12
1991				39	38	38				38	38	37		38	6
1992	37	37	38	37.5	40	37	35	36	35	35				36.8	10
1993	35		37	38	39	38	40	39	36	36	36	35.5		37.2	11
1994				35	37	35	35	36	33	35	36	35		35.2	9
1995	36	36	39	39	34	35								36.5	6
1996		38	39.5	39	39	38	37.5	38	37		36	39		38.1	10
1997	37	41	39	37	39	39	39	39	39	39	39	39		38.8	12
1998	39	38												38.5	2
1999				41	39.5	40	40.5	40	40	40				40.1	7
2001					42	41	39	42	40	39	39	40		40.2	8
2003						33.5	38							35.8	2
2006	39	38	37	38	37	36	38	37	36	37	38	35		37.2	12
2007	42	36	38	38	37	36	36	35	38	35	36	36		36.9	12
2008	36	38	37	39	38	36	35	40	39	35	36	35		37	12
2009	35	35	38	38	39	37					35	38		36.9	8
2010	36	37		38	39	39	38	38	38	35	36			37.4	10
2011	39	37	35	39	33	32	34	28	33	33	35	35		34.4	12
2012	35	35	33	33	31	33								33.3	6
2013										36	36	36		36	3
2014	36		36	40	36	37	37	36	35	37	36	36		36.5	11
2015	37	36	37											36.7	3
MÍNIMA	35	35	33	33	31	32	34	28	33	33	33.5	35		33.3	2
MÁXIMA	42	41	39.5	41	42	41	40.5	42	40	40	39.5	40		40.2	12
MEDIA	37.2	37.3	37.3	38.1	37.7	36.8	37.3	37.1	36.5	36.4	36.6	36.6		37.1	7.9
DESV.ST	2	1.5	1.8	1.7	2.5	2.2	1.9	3.1	2.3	1.8	1.6	1.8		1.6	3.5

TEMPERATURA MÍNIMA PROMEDIO
