COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7389 
 NOMBRE    : SITALA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : SITALÁ 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 17.02222222 ° 
 LONGITUD  : -92.30722222 ° 
 ALTITUD   : 1100 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						84	73	39	70	45	16.5	90	417.5	59.6	7
1985	33	15	14.3	39	29	36.7	32	58	42	75	55	45	474	39.5	12
1986	26.5	18	74	31.5	108	52.5	18	35	24	40.5	33	21	482	40.2	12
1987		13	35	6.5	29	62	16.4	32	45.5	25	33	30	327.4	29.8	11
1988	15	12.5	130	25	24.5	46	39	88	42	67	48	10	547	45.6	12
1989	16.3		11	35	39	50	66.5	55	71	92	31	39	505.8	46	11
1990	12.5	21.5	29	45	65	27	35	88	70.5	42	116	24	575.5	48	12
1991	32.5	6.5	15.5	11	30	22	33	30	25	32	20	20.5	278	23.2	12
1992	20	6	14	52.5		76.5	27	26	45	39	36.5	68	410.5	37.3	11
1993	31	30	23	24	20	89	25	40	37	62			381	38.1	10
1994	62		36		72.5	91	26	19	70.5	30	32	13	452	45.2	10
1995	4.5	25	30	17.5	30	43.5			85.2	29.5	15.5	20.5	301.2	30.1	10
1996	12.2	10.5	10.1	20.2			30	30.2	20.2	20	20.5	10.3	184.2	18.4	10
1997	10.3	12.1	5.2	5.3	5.2	10.3	10.3	44	5.4	20	5.4	10	143.5	12	12
1998	10.2	7	0	0	7	45.7	70.4	29.1	70.9	35	37.5	18.7	331.5	27.6	12
1999	27.3	23.2	16	34.5	35	71.5	74.9	32.5	121	39.7	108	72	655.6	54.6	12
