COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7390 
 NOMBRE    : CACALUTA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : ACACOYAGUA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.365 ° 
 LONGITUD  : -92.73111111 ° 
 ALTITUD   : 80 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984									175.3	40.8	68.5	0	284.6	71.2	4
1985	0	8.4	20	38	93	70	80.5	76.4	65.5	63	70.5	10.5	595.8	49.6	12
1986	12.4	10.8	0	25.5	217	90.5	39.5	41.5	90.5	68.5	19.2	0	615.4	51.3	12
1987	0	0	44	9	32	90	175.2	135	141	43	5.1	0.01	674.31	56.2	12
1988	31.5	0	9.2	2.4	41	123.4	93.3	280	207.5	67.7	50.7	4	910.7	75.9	12
1989	6.5	14.6	0.7	20.5	82	162	101.5	120	110	29.7	63.5	0	711	59.2	12
1990	21.2	3.1	41	55	66.4	162	117.1	100	106.5	88.9	33.7	0.01	794.91	66.2	12
1991	52	0	10.7	94	51.5	110	71.5	65.3	80	105.5	29	6.5	676	56.3	12
1992	23.5		70.2	12.5	60.2	116.2	83.1	124.2	150.8	90.5	54.2	6.8	792.2	72	11
1993	8.6	0	23	8.9	134.3	75.2	85.3	98.1	120.4	115.1	17.5	8.2	694.6	57.9	12
1994	0.6	7.5	0.4	9.1	126.2	80.2	75.1	80.1	84.2	92.2	14.7	0.01	570.31	47.5	12
1995	1	10	18.5	21.4	51.7	160	74.4	67.2	65	100.5	30.1	6.5	606.3	50.5	12
1996	0.9	0.01	0.01	23.4	52.7	74.8	53.8	101.5	62.5	32.7	7.7	2.2	412.22	34.4	12
1997	0.1	2.5	7.2	34.5	50.4	67.5	60.3	47.8	103.8	51.4	37.7	15.7	478.9	39.9	12
1998	0	0.8	0	0	68.1	95.5	95.2	108.3	100.2		88.5	0.01	556.61	50.6	11
1999	1.3	1.8	3.5	35.6	25.5	62.5	58.2	105.3	89.9	149.6	15.1	5.5	553.8	46.1	12
2000	0	0	1.7	4.1	140.3	96.3	113.6	111.2	66.8	75.8	21.5		631.3	57.4	11
2001	0	0	13.9	65.1	90.7	42.4	116.8	84.3	108.2	66.1	0.01	5	592.51	49.4	12
2002	0	10.9	0	42.2	80.7	80.7	93.2	55.2	204.5	111.6	24	0	703	58.6	12
2003	0	12.2	2	5.6	65.5	112.2	77.5	114.5	93.7	62.5	50.9	0	596.6	49.7	12
2004	4.2	0	5.7	4.5	47.5	60.5	114.1	80.3	74.4	70.3	22.2	5.5	489.2	40.8	12
2005	0	0.01	50.2	16.5	66.5	120.4	75.5	95.6	230.6	238.3	9.7	10.4	913.71	76.1	12
2006	7.2	0	8.1	23.5	58.6	198.5	97.2	108	65.4	66.7	60.2	32.5	725.9	60.5	12
2007	0	0	18.1	29.2	52.3	122.3	84.1	160.2	112.5	81.9	3.5	5.1	669.2	55.8	12
2008	0	5.3	17.5	22.7	35.8	95.8	96.1	94.6	180	42.3	0		590.1	53.6	11
2009	0	0	26.2	28.2	80.5	148.8	108.6	88.8	66.5	60.8	30.6	0	639	53.2	12
2010	3.2	0	7.6	48.2	80.6	138.8	140.2	80.3	183.8		20	0.01	702.71	63.9	11
2011	0.3	20.5	17.8	68.8	97.3	67.2	120.8	124.3	112.8	110.3	6.8	0.1	747	62.2	12
2012	5.3	8.3	19.5	18.2	80.8	40.6	63.1	140.2	102.1	105.3	6.3	0	589.7	49.1	12
2013	5.8		5.6	20.9	185.3	101.2	57.6	114	140.3	85.2	80.6		796.5	79.7	10
2014	8.6	24.4		75.2	75.7	100.5	43.6	75.2	95.7	110.3	9.3	0.5	619	56.3	11
2015		0	14.5	38.6	22.8	55.2	70.3	78.1	75.6	80.9	40.2	0	476.2	43.3	11
2016	19.3	0	3.2	38.2	45.5	78.9	75.3	80.2	68.7	75.5	38.6	25.3	548.7	45.7	12
2017	19.5	0.1	21.9	20.6	198.8								260.9	52.2	5
2018	0	1.5	14.6	70.6	96.9	63.5	75.1	80.9	98.8	86.6			588.5	58.9	10
2019	3.5	35.6	5.5	0.01	101.6	63	82	107	100	91.8	20.2		610.21	55.5	11
2021	40.6	0.01	15.4	23.5	70.3	80.9	57.8	110.2	46.7	60.2	35.3		540.91	49.2	11
2022	10.3	0.8	3.6	28.3	60.2	101.3	94.2						298.7	42.7	7
2023	0			0					58.9				58.9	19.6	3
MÍNIMA	0	0	0	0	22.8	40.6	39.5	41.5	46.7	29.7	0	0	58.9	19.6	3
MÁXIMA	52	35.6	70.2	94	217	198.5	175.2	280	230.6	238.3	88.5	32.5	913.71	79.7	12
MEDIA	7.8	5.1	14.5	28.5	80.7	97.5	86.7	101	109.2	83	31	5	597.8	54.3	10.9
DESV.ST	12.3	8.2	15.7	23.1	45.4	36.7	27.5	40.5	46.3	38.1	23.9	7.7	169.7	11.7	2.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984									681.02	257.61	87.41	0	1026.04	256.5	4
1985	0	9.4	32	51.4	337.44	431.72	488.9	636.31	482.33	455.53	111.72	21	3057.75	254.8	12
1986	12.4	10.81	0	25.5	748.9	370.75	460.92	391.31	567.04	351.36	62.91	0	3001.9	250.2	12
1987	0	0	44	12.52	91	612.2	798.2	874.81	663.44	82.73	5.1	0.01	3184.01	265.3	12
1988	52.92	0	12.9	4.2	123.61	615.71	716.82	1084	729.51	216.64	99.82	4.51	3660.64	305.1	12
1989	7.51	26.11	0.7	32.32	392.22	853.42	590.2	656.54	912.92	94.55	107.55	0	3674.04	306.2	12
1990	26.41	5.3	81	283.72	563.61	612.3	677.22	694.32	606.1	780.12	63.62	0.01	4393.73	366.1	12
1991	74.51	0	10.7	98.9	225.91	648.83	424.33	409.81	490.74	635.12	49.52	13.02	3081.39	256.8	12
1992	34.02		131	17.11	346.6	740.92	635.42	439.22	1187.02	500.52	170.61	7.9	4210.34	382.8	11
1993	16.32	0	23.3	9.31	403.93	544.23	303.43	798.61	610.51	347.04	25.12	10.9	3092.7	257.7	12
1994	0.6	7.5	0.41	17	445.53	574.53	364.13	386.72	651.11	550.01	39.2	0.12	3036.86	253.1	12
1995	1.08	11.42	25.9	55.3	102.4	480.9	377.6	401.5	504	154	56.8	9.47	2180.37	181.7	12
1996	1.01	0.2	0.05	35.6	186.2	491.5	272.5	516.53	294.46	90.63	12.16	2.42	1903.26	158.6	12
1997	1.73	4.42	7.77	57.81	241.62	313.81	200.1	320.53	649.6	220.2	82.11	20.53	2120.23	176.7	12
1998	0	0.81	0	0	88.9	673.7	496.92	658.33	664.71		322.63	0.01	2906.01	264.2	11
1999	3.13	2.22	3.68	54.68	49.31	452.7	257.01	467.2	539.52	447.8	15.91	6.74	2299.9	191.7	12
2000	0	0	1.71	4.42	862.13	489.31	586.74	631.81	521.33	378.31	60.5		3536.26	321.5	11
2001	0	0	19.1	151.1	546.62	272.61	710.52	551.42	687.51	411	0.01	5.5	3355.39	279.6	12
2002	0	10.91	0	120.62	392.9	517.52	651.53	363.41	777.51	479.43	52.31	0	3366.14	280.5	12
2003	0	12.2	2	11.01	353.3	923.61	554.7	606.11	637.3	449.43	160	0	3709.66	309.1	12
2004	4.2	0	10.11	5.3	263.7	426.71	696.2	517.83	342.91	399.21	23.1	8.4	2697.67	224.8	12
2005	0	0.01	96.9	35.5	392.4	944.21	538.51	885.81	1156.3	816.3	35.6	16.7	4918.24	409.9	12
2006	7.2	0	8.5	65.22	236.33	585.6	824.5	458.32	633.82	630.71	158.61	40.5	3649.31	304.1	12
2007	0	0	24.62	95.92	451.91	518.21	598.4	786.4	531.31	385.62	3.5	5.11	3401	283.4	12
2008	0	7.3	21	72.22	180.83	506.23	514.82	654.41	900.53	273.71	0		3131.05	284.6	11
2009	0	0	27.51	54.41	395.66	625.94	484.72	640.11	420.63	484.61	103.41	0	3237	269.8	12
2010	3.2	0	8.11	96.11	447.61	814.71	758.33	854.31	973.72		23.3	0.01	3979.41	361.8	11
2011	0.3	39.02	73.11	133.84	481.84	574.14	935.31	890.01	651.8	517.9	10.1	0.1	4307.47	359	12
2012	5.3	8.3	31.03	49.22	556.64	275.41	614.8	681.52	570.91	741.21	16	0	3550.34	295.9	12
2013	5.8		5.61	40.03	424.25	593.43	495.11	554.41	702.2	653.8	313.38		3788.02	378.8	10
2014	8.7	72.3		115.9	437.5	684.4	291	315.8	563.1	601.4	26.4	0.5	3117	283.4	11
2015		0	40.1	124.12	193.6	307.3	247.9	529.6	495.7	403.5	216	0	2557.82	232.5	11
2016	34.6	0	7.4	38.2	303.8	444.9	492.3	601.9	690.8	389.6	132.9	42.8	3179.2	264.9	12
2017	19.5	0.3	47	54.8	667.4								789	157.8	5
2018	0	1.5	35	284.9	682.4	358.8	466.71	552.23	584.02	595.84			3561.4	356.1	10
2019	5.9	42.4	18.33	0.02	715.21	523.11	395.61	650.01	755.44	671.03	65.83		3842.89	349.4	11
2021	60.4	0.03	34.37	49.44	433.42	496.82	405.43	878.2	306.15	487.8	53.23		3205.29	291.4	11
2022	14.53	0.93	7.95	91.74	390.93	525.22	624.72						1656.02	236.6	7
2023	0			0					352.03				352.03	117.3	3
MÍNIMA	0	0	0	0	49.31	272.61	200.1	315.8	294.46	82.73	0	0	352.03	117.3	3
MÁXIMA	74.51	72.3	131	284.9	862.13	944.21	935.31	1084	1187.02	816.3	322.63	42.8	4918.24	409.9	12
MEDIA	10.8	7.8	24.8	64.5	382.6	550.7	526.4	609.7	634.8	439.8	79	7.2	3069.7	276.4	10.9
DESV.ST	18.3	15.3	29.7	66.8	197.2	166	176.9	187	201.7	193.8	80.5	11.3	963.7	66.6	2.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984									165.47	149.3	117	86.19	517.96	129.5	4
1985	139.21	147.9	176.21	164.24	182.33	170.01	178.41	190.58	169.09	161.89	116.72	111.06	1907.65	159	12
1986	117.59	134.3	193.7	169.74	154.24	139.99	157.9	158.94	136.85	139.19	111.68	114.97	1729.09	144.1	12
1987	140.52	149.2	178	184.22	163.25	160.5	179.6	170.59	149.17	135.35	124.84	125.42	1860.66	155.1	12
1988	157	163.49	178.46	186.47	177.96	162.76	185.99	156.06	129.63	137.39	109.1	106.57	1850.88	154.2	12
1989	120.33	162.3	185.13	193.09	158.18	132.11	165.21	110.33	122.68	122.83	92.9	88.6	1653.69	137.8	12
1990	100.63	132.45	169.15	154.57	153.03	126.58	131.75	145.49	122.89	133.17	81.58	71.2	1522.49	126.9	12
1991	87.77	113.4	163.74	145.52	145.66	129.31	119.67	127.95	124.94	113.64	73.67	55.77	1401.04	116.8	12
1992	71.93		143.36	126.92	141.52	108.31	83.17	107.28	98.9	111.1	90.15	49.72	1132.36	102.9	11
1993	66.73	98.3	112.38	143.84	143.16	106.96	109.97	91.73	79.01	82.34	54.1	39.92	1128.44	94	12
1994	13.78	70.56	128.71	135	119.7	91.64	86.5	77.25	86.95	82.45	95.7	89.88	1078.12	89.8	12
1995	126.12	141.41	197.4	211.71	189.12	158.5	160.38	150.26	132.08	102.65	101.96	84.26	1755.85	146.3	12
1996	118.41	153	204.13	256.95	192.39	161.59	123.94	127.9	124.57	103.45	80.48	87.26	1734.07	144.5	12
1997	115.2	139.86	218.51	211.02	197.55	157.5	164.62	166.16	140.85	91.88	71.2	22.4	1696.75	141.4	12
1998	44.19	65.74	122.89	134.15	118.19	93.33	81.94	90.89	69.59				820.91	91.2	9
1999	91.19	139.36	218.58	239.46	213.42	137.23	139.63	149.09	103.92	95.12	76.23	84.8	1688.03	140.7	12
2000					23.43	87.68	117.71	99.9	88.11	94.7	78.79		590.32	84.3	7
2001	69.35	91.77	146.98	149.43	126.53	119.75	126.58	131.89	101.58	123.76	103.32	96.14	1387.08	115.6	12
2002	113.39	126.28	186.82	161.04	144.39	101.89	121.63	124.77	92.44	113.27	98.27	94.47	1478.66	123.2	12
2003	114.52	128.19	189.07	182.99	124.35	105.44	136.92	124.86	112.02	102.95	79.23	80.44	1480.98	123.4	12
2004	94.34	124.94	161.29	183.2	145.82	103.6	101.99	106.44	93.73	83.62	53.73	65.4	1318.1	109.8	12
2005	88.94	92.35	152.35	160.25	115.93	97.45	99.26	97.79	103.5	80.5	71.1	73.49	1232.91	102.7	12
2006	113.9	132.1	186.69	158.65	120.13	95.95	103.08	104.64	96.39	92.58	87.91	81.26	1373.28	114.4	12
2007	95.2	119.6	168.7	146.6	119.48	102.1	107.78	97.83	98.73	87.55	85.44	41.88	1270.89	105.9	12
2008	83.27	86.34	109.03										278.64	92.9	3
2009							92.53	95.39	90.53	96.42	76.31	13.81	464.99	77.5	6
2010	60.42	77.11	56.93	93.34	85.87	61.98	79.97	78.39	69.5		28.82	44.35	736.68	67	11
2011	62.64	80.16	96.61	100.88	97.54	75.74	74.2	96.72	90.35	86.86	103.44	94.61	1059.75	88.3	12
2012	114.62	117.13	128.46	121.36	105.34	96.74	103.34	113.41	107.16	115.06	85.92	92.54	1301.08	108.4	12
2013	95.51	9.62	107.18	138.29	101.39	103.52	108.84	104.56	87.77	113.62	103.09	9.86	1083.25	90.3	12
2014	58.93	96.72		143.84	100.45	104.63	122.57	106.79	89.14	100.37	86.26	91.96	1101.66	100.2	11
2015	5.43	83.88	117.14	108.21	106.55	98.88	94.61	108.34	104.32	109.25	81.9	15.14	1033.65	86.1	12
2016	69.35	71.58	99.26	118.05	105.07	90.5	94.76	94.76	89.69	105.52	99.11	87.47	1125.12	93.8	12
2017	82.71	83.12	93.6	119.4	92.23								471.06	94.2	5
2018	70.81	72.62	109.38	104.41	113.44	99.31	116.49	109.62	95.93	97.07			989.08	98.9	10
2019	107.4	122.37	144.63	152.6	107.37	106.93	130.76	168.77	130.82	119.34	103.25		1394.24	126.7	11
