COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7392 
 NOMBRE    : ZOOMAT 
 ESTADO    : CHIAPAS 
 MUNICIPIO : CHIAPA DE CORZO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 16.72277778 ° 
 LONGITUD  : -93.015 ° 
 ALTITUD   : 420 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2001						40	47	44.5	47	50.7	0	8	237.2	33.9	7
2002	0	0	6.5	7.5	5.8	67	43	47.3	59	71.7	20	2.5	330.3	27.5	12
2003	0	0	0	0	54.4	55.6	65	64.2	34.2	55.4	15.3	0	344.1	28.7	12
2004	2.6	0	0.01	2.5	44	53.6	34	15.8	50	25	6.5	0	234.01	19.5	12
2005	0	0	0	0	20	52.4	43	43	16.5	16	0.1	17	208	17.3	12
2006	0.5	16	0	37	82	47	53	44.5	45	81	20	0	426	35.5	12
2007	0	0.3	0	0	12	60	45.5	55.7	47	38.5	2	0.5	261.5	21.8	12
2008	0	0	0	25	88	53	44.5	50	65.5	13.5	1.5	3	344	28.7	12
2009	1.1	0	0	2	37	30.5	32.5	56.2	14.6	26.7	9	10.3	219.9	18.3	12
2010	4.3	0	0	18	38.6	75.4	73.4	91.8	0	0	0.2	0	301.7	25.1	12
2011	0	0.5	0.1	0	2.4	23.5	52.3	69.2	76.1	17	0	0.4	241.5	20.1	12
2012	0	0	2.8	0	26.5	41	56.6	68.9	39	10.7	0.6	4.4	250.5	20.9	12
2013	1.2	0	0	0	31	92.7	35.9	39.7	88.7	40.5	5.1	2.4	337.2	28.1	12
2014	0.6	0	0.6	0.4	74	88.2	11.4	109	95.2	31.8	5.1	0	416.3	34.7	12
2015	0	0	0	7.5	24.7	30	42.2	20	53.5	82	8.3	0.5	268.7	22.4	12
2016	0.2	0	2.6	0	23.2	19.1	21.9	57.8	72	41.1	1.2	1.4	240.5	20	12
2017	19	0	0	1.5	46.6	68.2			59.1	23.5	0	0	217.9	21.8	10
2018	1.4	0	11.05	4.3	15.7	50.3	15.2	21.05	74.28	36	12.6	0.4	242.28	20.2	12
2019	0.4	1.9	0	0	17.03	39.5	24.3	67.8	40				190.93	21.2	9
2020			2.7	1	47	105	30	49.5	32	7.4	10.4	0	285	28.5	10
2021	0	0	0	0	32.5	80.2	30.02						142.72	20.4	7
2022					24.5	54.9	16.1	90.74	39.5	79.34	45.65	0	350.73	43.8	8
2023	0.5	2.6	0	3.5	23.7	53.2	53.1	28.9	44.1	23.8	2.8	0	236.2	19.7	12
2024	0	7.6	0	3.4	66.8								77.8	15.6	5
MÍNIMA	0	0	0	0	2.4	19.1	11.4	15.8	0	0	0	0	77.8	15.6	5
MÁXIMA	19	16	11.05	37	88	105	73.4	109	95.2	82	45.65	17	426	43.8	12
MEDIA	1.5	1.4	1.2	5.2	36.4	55.7	39.5	54.1	49.6	36.7	7.9	2.4	266.9	24.7	10.8
