COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7393 
 NOMBRE    : FINCA LA PAZ 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MOTOZINTLA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 15.34666667 ° 
 LONGITUD  : -92.47611111 ° 
 ALTITUD   : 973 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1990	20	15.7	32	90	80.5	58	90	42	90	78.5	44	23.2	663.9	55.3	12
1991	18.5	9.5	6	37	86.3	88.1	83	68.5	92.5	50.3	16.5	12	568.2	47.4	12
1992	4	20	100	57	123	161	71.6	84.5	100	83	86.2	10.5	900.8	75.1	12
1993	13.5	9	54	54.5	58.2	97.2	48	108.5	73	47	15	3	580.9	48.4	12
1994	0	6.5	12	48.5	70	124	28.5	64	48.5	54.5	28	31.5	516	43	12
1995	2	44	48	90	99	109.5	65	166.5	71	57	43.5	20	815.5	68	12
1996	48	0	8.5	49	81.5	113	66.5	66.4	85	161.5	25.5	4.2	709.1	59.1	12
1997	21	0	81.2	50	42	71.3	70.5	75	139	76.4	80.1	47	753.5	62.8	12
1998	0	6.7	4.5	31.5	41.6	64.1	76	172.1	296.7	81	79.2	5.3	858.7	71.6	12
1999	2	8.2	1	58.5	40	86.5	40	81	69.5	70	17.1	36.8	510.6	42.5	12
2000	3	0	18	16.5	87.2	79	29	47	81	75.8	60	0	496.5	41.4	12
2001	12.5	24.5	26	23.5	85.7	36.6	58.2	66	99	58.2	42.2	7.6	540	45	12
2002	21	0.01	13.4	32	91.5	67.4	54.5	23	96.5	92	62.5	12.5	566.31	47.2	12
2003	0	6.5	14.5	42.5	53	92.5	111.5	54	52	47	49.8	0	523.3	43.6	12
2004	0.01	16.7	57.8	31.3	56	68.5	47.5	28.5	93	67.4	5.5	30.5	502.71	41.9	12
2005	10.5	16	66.5	12.2	59	125	74	72.5	231	300	14	19.5	1000.2	83.3	12
2006	30	0.01	75.8	29.3	140	82.5	60	43	60.5	73	110	41	745.11	62.1	12
2007	3.5	14	1.5	75	72	186	38	90	94	129.2	0.01	11	714.21	59.5	12
2008	3	24.5	31.5	78.5	84	106.5	93.5	57.8	115	97	3	0.01	694.31	57.9	12
2009	8	19.5	1.5	48.5	72	87.5	66.5	67.7	63	117	29.5	16	596.7	49.7	12
2010	8.5	14.5	35	53.7	75.3	117.2	145	122.7	147	21.7	19.5	0	760.1	63.3	12
2011	15.5	25.3	34.5	120	92	118	60	65	91.5	102	20	22.5	766.3	63.9	12
2012	14.5	30	56.5	106	72	115	75	110	103	58	22	42	804	67	12
2013	8.5	13	0	64	109.5	151.5	122	112	129	113	60	28.5	911	75.9	12
2014	0.1	49.5	59	77	91	94	50	50	95	49	22	4	640.6	53.4	12
2015	0.01	25	28	81	56.1	25	38.8	77	58	58	41	4	491.91	41	12
2016	22	16.5	8	30	61	78	63		27	50.5	25	30	411	37.4	11
MÍNIMA	0	0	0	12.2	40	25	28.5	23	27	21.7	0.01	0	411	37.4	11
MÁXIMA	48	49.5	100	120	140	186	145	172.1	296.7	300	110	47	1000.2	83.3	12
MEDIA	10.7	15.4	32.4	55.1	77	96.4	67.6	77.5	100	84	37.8	17.1	668.2	55.8	12
DESV.ST	11.4	12.6	28.2	27.3	24	35.7	27.4	36.7	55.1	52.5	27.9	14.5	153	12.6	0.2

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1990	31	37.8	55.2	451.6	307.6	404.4	523.2	199.6	360.1	273.7	109.2	29.8	2783.2	231.9	12
1991	28.6	9.52	8	112.1	401.4	657	429.6	419.42	461.5	318.2	32.2	44.5	2922.04	243.5	12
1992	7.02	27	204.4	172.2	238.01	809.1	440.1	450.5	594.2	298	190.92	14.5	3445.95	287.2	12
1993	69.32	10	194.01	156	404.91	657.9	234.71	566.6	545.6	276.8	25	3	3143.85	262	12
1994	0	10.5	23	128	332.4	537	200	422.5	359	414.5	75.5	123.2	2625.6	218.8	12
1995	4	51.5	130.5	310	594.9	635.8	432.5	748.2	564.1	358	78.3	78.5	3986.3	332.2	12
1996	101.5	0	8.5	314.5	698.5	919.2	485.8	506.7	680.8	495.6	106.5	14.2	4331.8	361	12
1997	71.2	0	157.81	281.31	265.5	478.2	342.8	410.1	805.5	291.6	201.11	63.2	3368.33	280.7	12
1998	0	12.7	4.5	31.51	106.32	490	470.7	715.71	1253.1	326.5	377.91	5.3	3794.25	316.2	12
1999	2.5	9.24	1.05	167.31	290.04	610.51	388.3	650.8	694.9	532.8	21.72	38.3	3407.47	284	12
2000	3.01	0	51.91	32.9	884.8	470.5	177.3	404.21	667	193.41	214.5	0	3099.54	258.3	12
2001	12.5	24.5	63.03	37	442.5	257.1	466.3	451	663.4	251.4	47.21	7.61	2723.55	227	12
2002	21	0.01	21.6	91	283.81	404.8	365.4	179.6	980.1	584.5	168.5	21.02	3121.34	260.1	12
2003	0	6.5	42.2	66.11	225.4	653.9	581.5	449.21	544.61	442.9	75.9	0	3088.23	257.4	12
2004	0.01	28.2	136.81	81.31	460.6	509.6	361.2	346.02	491.53	587.22	8.81	40.02	3051.33	254.3	12
2005	10.5	16.01	140.94	47.12	519.7	1110	510.9	678.7	1002.31	1061.62	32.32	25.7	5155.82	429.7	12
2006	56.11	0.01	108.81	130.91	737.4	784.31	386.1	315.9	551.8	466.11	199.92	95	3832.38	319.4	12
2007	3.5	52.5	4.52	198.81	356.2	759.8	323.01	650.2	634.11	598.6	0.01	16.52	3597.78	299.8	12
2008	3	49.53	55.1	314	296.52	854.1	735	555.9	825.2	405.8	9	0.01	4103.16	341.9	12
2009	9.51	19.5	2	143.31	616.2	580.7	320.3	326.7	398.4	579.4	58.33	28.51	3082.86	256.9	12
2010	9.5	36.5	68.5	270.2	511.52	952.5	1018.61	878.4	1179.9	114.3	76.02	0	5115.95	426.3	12
2011	18.8	83.2	84.7	382.3	448.8	847.8	673.4	601.8	971.4	362	54.5	29.5	4558.2	379.8	12
2012	19.5	72	137.5	242.5	441.01	916.5	382	823.5	675	286.31	53.3	118	4167.12	347.3	12
2013	14.5	13.62	0	98.01	473.5	907	651.5	754	815	719	212.1	50	4708.23	392.4	12
2014	0.1	71.5	106	499.5	644	784.5	247.5	296.5	573	244.5	22.1	5	3494.2	291.2	12
2015	0.01	46.5	149	374.5	169.7	132.4	124.3	326.5	544.1	246.6	114	4	2231.61	186	12
2016	31	30.5	12	81	185	169.5	145		101	87	31	30	903	82.1	11
MÍNIMA	0	0	0	31.51	106.32	132.4	124.3	179.6	101	87	0.01	0	903	82.1	11
MÁXIMA	101.5	83.2	204.4	499.5	884.8	1110	1018.61	878.4	1253.1	1061.62	377.91	123.2	5155.82	429.7	12
MEDIA	19.5	26.6	73	193.1	419.9	640.5	422.9	504.9	664.3	400.6	96.1	32.8	3475.7	289.9	12
DESV.ST	26.1	24.3	64.4	133.9	188.6	245.3	196.1	190.2	256.8	204.5	88.9	35.2	907.9	74.9	0.2

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2001	55.96												55.96	56	1
MÍNIMA	55.96												55.96	56	1
MÁXIMA	55.96												55.96	56	1
MEDIA	56												56	56	1
DESV.ST															

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998					30.5	27.4	27.2	27.5	25.4	25.6	26.6	27.6		27.2	8
1999	27.9	28.2	29.3	29.1	27.5	25.9	26.4	26.5	24.9	25	27.8	27.3		27.1	12
2000	27.7	28.2	29	29.1	26.4	26.3	27.2	27	25.2	27.1	27.3	27.8		27.4	12
2001		29.1	28.2	29.1	27.8	27	26.9	27.8	26.1	26.8	27.9	28.1		27.7	11
2002	28.8	28.9	29.6	29.1	27.5	26.3	27.4	27	26.3	27.2	27.5	28.4		27.8	12
2003	28.7	29.3	29.4	30.1	27.4	28.4								28.9	6
2005				29.8	27.2	26.4	26.7	26.5	26.6	25.4	28.3	29		27.3	9
2006	29.2	29.4	29.4	29.3	27.6	26.1	26.4	26.4	26	26	26.4	25.6		27.3	12
2007	25.9	25.9	27.6	27.2	25.9	25.1	25.5	24.8	24.6	23.7	25.9	25.2		25.6	12
2008	26	25.7	26.6	26.8	26.2	21.5	20.9	23.5	23.6	24.1	25.6	25.7		24.7	12
2009	25.5	26.5	26.7	27.8	26	25.1	25.9	25.7	25.6	25.7	25.6	25.8		26	12
2010	25.6	27	28.4	28.1	26	24.4	24.6	24.6	23.4	26.6	26.3	26.2		25.9	12
2011	27.1	27.5	27	26.1	26.6	24.9	25.4	25.3	25.4	24.5	26.7	26.8		26.1	12
2012	26.7	27.1	27.4	27.6	26	25.6	26.9	25.7	26	25.6	27	27		26.6	12
2013	27	27.6	28.6	28.7	26.6	25.7	26	25.4	24.7	25.6	26.1	26.9		26.6	12
2014	27.2	27.8	27.6	28.2	26.8	25.5	27.5	26.4	25.2	24.5	27.1	27		26.7	12
2015	27.9	28.1	28	27.3	27.4	27.9	27.6	27.3	26	25.6	26.7	27.9		27.3	12
2016	27.4	29	28	29.5	27.5	25.2	27.8		27.7	28	26.5	27.2		27.6	11
2022	26.4	27.7	28.8	27.2	27	24.2	25.2	25.3	24.6	26.2	26.2	26.7		26.3	12
2023	27.8	28.6	28.2	28	28.7	25.7	26.7	27	27.9	26.3	27.7	27.6		27.5	12
MÍNIMA	25.5	25.7	26.6	26.1	25.9	21.5	20.9	23.5	23.4	23.7	25.6	25.2		24.7	6
MÁXIMA	29.2	29.4	29.6	30.1	30.5	28.4	27.8	27.8	27.9	28	28.3	29		28.9	12
MEDIA	27.2	27.9	28.2	28.3	27.1	25.7	26.2	26.1	25.5	25.8	26.8	27		26.9	11.2
DESV.ST	1.1	1.1	0.9	1.1	1.1	1.5	1.6	1.1	1.2	1.1	0.8	1		0.9	1.7

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1998					32.6	30.6	30.1	30.3	28.9	28.6	28.5	31.9		30.2	8
1999	29.2	29.4	31.5	32	29.5	28.8	28.9	28.7	27.3	28.4	30.8	28.7		29.4	12
2000	29.2	30.3	29.9	30.9	29.1	28.6	29.2	30.7	26.8	29.4	29.2	29.5		29.4	12
2001		31.2	30.5	31.2	31	29.1	29	30.1	28.2	29.9	33.5	29.5		30.3	11
2002	37.2	31.5	32.2	30.9	30.6	29.2	29.8	29.4	29.4	29	29.9	30.1		30.8	12
2003	29.7	30.5	31.2	32	31.2	28.6								30.5	6
2005				32.6	30.6	28.8	29.6	28.9	29.7	28.9	30.3	31.4		30.1	9
2006	30.6	30.5	31.3	31.5	29.6	29.9	29.5	28.5	27.5	28	31	27		29.6	12
2007	29	27.5	29.5	29	28	27	27	27	26.5	28.5	27	26.5		27.7	12
2008	28	28	28.5	34	28	26.5	26.5	27	27	28	27.5	28		28.1	12
2009	27	28	28.5	30.5	27.5	27.5	28	28	28	28	28	28		28.1	12
2010	27	28.5	30.5	30	29	27	27	27	26	30	28	28		28.2	12
2011	28	30	29	28.5	30	28	29	27	28	28	28	28		28.5	12
2012	28	29	31	29	29	29	29	28	28	29	29	28		28.8	12
2013	29	29	30	31	29	28	28	29	27	28	28	29		28.8	12
2014	29	30	29	30	31	28	30	29	29	28	29	28		29.2	12
