COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7395 
 NOMBRE    : FINCA LA VICTORIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : MOTOZINTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.28777778 ° 
 LONGITUD  : -92.42083333 ° 
 ALTITUD   : 989 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1960	0	3	0	0	6	70	36	57	87	122	24	0	405	33.8	12
1961	1	17	15	48	112	160	60	60	60	25	105	8	671	55.9	12
1962	0	0	8	75	50	117	70	73	105	31	4	0	533	44.4	12
1963	2	48	3	85	26	48	80	50	210	38	79	0	669	55.8	12
1964	0	8	22	8	29	89	80	80	43	53	30	8	450	37.5	12
1965	18	10	4	14	30	63	30	41	60	70	18	0	358	29.8	12
1966	0	37	37	52	65	120	60	35	82	42	10	0	540	45	12
1967	0	1	14	28	58	72	26	55	46	55	1	10	366	30.5	12
1968	17	5	0	15	112	60	25	53	66		7	30	390	35.5	11
1969	22	4	27	50	50	78	30	66	130	70	20	0	547	45.6	12
1970	1	0	4	3	67	55	60	88	85	60	58	2	483	40.2	12
1971	30	0	2	28	70	54	40	92	90	46	3	3	458	38.2	12
1972	6	8	64	30	59	72	37	41	84	40	20	0	461	38.4	12
1973	0	1	3	30	40	50	50	120	75	64	46	3	482	40.2	12
1974	19	12	43	35	67	60	28	43	170	5	10	0	492	41	12
1975	11	4	10	15	50	89	61	62	78	49	22	12	463	38.6	12
1976	3	6	11	34	67	99	40	50	34	57	85	0	486	40.5	12
1977	0	0	0	46	23	64	35	40	39	50	21	30	348	29	12
1978	5	25	40	15	53	55	52	40	95	42	18	6	446	37.2	12
1979	0	1	51	54	66	33	56	117	85	58	3	68	592	49.3	12
1980	16	1	5	40	67	51	65	75	60	63	20	0	463	38.6	12
1981	0	0	23	60	41	102	71	115	46	47	6	2	513	42.8	12
1982	0	38	2	40	36	52	30	62	160	3	0	0	423	35.2	12
1983	0	130	55	20	49	85	60	54	76	72	51	19	671	55.9	12
1984	0	0	6	25	66	60	60	65		18	15	5	320	29.1	11
1985	0	0	18	34	49	88	60	163		25	55	14	506	46	11
1986	0	7	1	21	35	55		40	38	40	28	0	265	24.1	11
1987	0	0	20	44	25	75	80	45	66	10	29	9	403	33.6	12
1988	0	11	21	56	38	122	48	234	78	40	20	2	670	55.8	12
1989	22	10	22	67	90	43	27	85	81	51	46	8	552	46	12
1990	18	48	12	57	56	53		46	33	67	25	15	430	39.1	11
1991	28	0	30	58	32	57	69	49	46	37	14	49	469	39.1	12
1992	2	6	55	29	45	89	56	46	64	63	15	0	470	39.2	12
1993	12	14	23	46	41	72	37	59	65	54	5	0	428	35.7	12
1994	0	9	4	45	64	66	36	41	46	95	27	0	433	36.1	12
1995	0	14	48	56	49	86	54	93	98	54	38	32	622	51.8	12
1996	6	0	9	64	48	68	97	74	69	45	35	15	530	44.2	12
