COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7396 
 NOMBRE    : FINCA GERMANIA 
 ESTADO    : CHIAPAS 
 MUNICIPIO : TUZANTÁN 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 15.19444444 ° 
 LONGITUD  : -92.34583333 ° 
 ALTITUD   : 1214 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1987	0	3.5	39.5	55.5	36.5	92	91	53.5	82.5	84	46.5	34.5	619	51.6	12
1988	19	12.6	2	69.5	41.5	82.2	78.8	139.2	205	61.2	33	43.3	787.3	65.6	12
1989	40	15.2	9	78.8	76.2	57.5	51.7	109.2	100.5	55.1	52.6	20	665.8	55.5	12
1990	17.2	56.5	51.7	94.2	56.2	61.9	65	41.8	88	92.3	16.2	2	643	53.6	12
1991	12	1.4	81.5	25.7	153.6	69.4	124.4	37	46.5	46.7	32.6	21.4	652.2	54.4	12
1992	1	4.5	58.7	85	42.3	91	67.5	82	101.8	79.2	62.5	5.8	681.3	56.8	12
1993	38.1	12	57	80	80	101.2	52.8	79.3	59.5	89.2	11	2.3	662.4	55.2	12
1994	2.2	1.5	12	51	83.7	112.4	60.2	57.6	66.8	77.6	42.3	61	628.3	52.4	12
1995	1	37.7	25	67	134.3	139	63.5	104	93.7	60.8	46.8	73	845.8	70.5	12
1996	13.8	0	66	103.9	58.5	100.2	195.5	102.5	85	72.8	40.1	2	840.3	70	12
1997	43	8.2	54.5	76	92.2	96.8	91.6	52	134	77.5	145.6	16.2	887.6	74	12
1998	0	0.1	3.3	12.5	44.7	60.8	61.2	122.9	200.1	147.8	113.9	1.4	768.7	64.1	12
1999	40.6	2.4	14.2	65.6	113	65.6	85.3	105	184	107.2	27.6	55	865.5	72.1	12
2000	8	0	53	73	121	88.3	72.2	120	75	64.6	151.8	12.2	839.1	69.9	12
2001	35	2.1	82.3	7.8	92.5	109	136	114	83	92	36.5	16.5	806.7	67.2	12
2002	0	6.3	0	66	80	81	43.5	36.5	74	64	32	10	493.3	41.1	12
2003	5	49	84.5	36	33	87	78	78.5	214.7	174	63.4	0	903.1	75.3	12
2004	21	24.5	76	26	68	61	82	60	110	114.5	5	23.5	671.5	56	12
2005	0	0	24.2	69	138	169	75	96.3	204	434	43	5.2	1257.7	104.8	12
2006	8.8	0	13	25.7	89.5	133.5	76	35.5	80	109.4	73.5	0	644.9	53.7	12
2007	20	8	7.5	92.5	68	141	121	109	85	197	26	15	890	74.2	12
2008	1	10.5	28	51.5									91	22.8	4
2009	4	2	29	80	69								184	36.8	5
