COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 7397 
 NOMBRE    : PRESA PORTILLO 
 ESTADO    : CHIAPAS 
 MUNICIPIO : LA CONCORDIA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 16 ° 
 LONGITUD  : -92.75555556 ° 
 ALTITUD   : 585 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2006					92	100.5	49	71	54.5	44.5		6.6	418.1	59.7	7
2007	3.5	0	12	25.3	52	70.8	50	45.5			3.5		262.6	29.2	9
2008	2.3	0	3.1	22	43.5	104.5	98.5	49.5	72.5	34.5			430.4	43	10
2009	0	0	1.2	31.4								20	52.6	10.5	5
2010		3.5				77		88.3			8.3	0.01	177.11	35.4	5
2011	7.3	10.3	3.4		44.2	52.8	61.7	64.7	85.7	115.8	8.5	5.7	460.1	41.8	11
2012	0.01	36.1	19	45	48	84.5		73	35	26.3	7.5	0.01	374.42	34	11
2013			0	26.6	40.2	61	37.5	100.5	74.8	40	8.5	0.6	389.7	39	10
2014	2.6	0.1	0	10.5	130.1	124	74.5	85.6	54.5	340	6.5	0	828.4	69	12
2015	0	0	40	40	61.5	60	53.7	59.6	40	21.6	45.8	11	433.2	36.1	12
2016	0	0	6.4	6.1	53.5	34.7	33.5	46	49.5	47.2	13.2	6.5	296.6	24.7	12
MÍNIMA	0	0	0	6.1	40.2	34.7	33.5	45.5	35	21.6	3.5	0	52.6	10.5	5
MÁXIMA	7.3	36.1	40	45	130.1	124	98.5	100.5	85.7	340	45.8	20	828.4	69	12
MEDIA	2	5.6	9.5	25.9	62.8	77	57.3	68.4	58.3	83.7	12.7	5.6	374.8	38.4	9.5
DESV.ST	2.6	12	13.1	13.3	29.7	26.9	21.1	18.9	17.8	107.6	13.6	6.7	195.8	15.8	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2006					195.5	422.3	294.11	293.51	183.1	235.7		6.6	1630.82	233	7
2007	3.51	0	17	50.6	147.7	280.7	286.4	314.4			6		1106.31	122.9	9
2008	2.8	0	3.1	42.5	110.01	469.9	555.8	232.6	421.51	122.82			1961.04	196.1	10
2009	0	0	1.2	32.4								34	67.6	13.5	5
2010		4.1				362.8		642.71			8.3	0.01	1017.92	203.6	5
2011	10.8	14	3.4		128.7	291.7	358.1	370.6	455	259.4	15.74	5.7	1913.14	173.9	11
2012	0.25	43.1	40.91	47.71	199.04	164.09		306.62	223.69	109.6	7.54	0.02	1142.57	103.9	11
2013			0	26.6	142.71	245.93	330.43	459.22	294.4	246.36	13.73	0.6	1759.98	176	10
2014	2.9	0.1	0	27.75	245.8	454.6	233.76	307.56	384.7	471.62	6.7	0	2135.49	178	12
2015	0	0	41.2	116.6	297.6	181.2	173.3	268.1	338.4	101.3	153.1	17.6	1688.4	140.7	12
2016	0	0	10.1	6.1	260	264.5	171.9	283.6	352.6	100.4	28.7	6.5	1484.4	123.7	12
MÍNIMA	0	0	0	6.1	110.01	164.09	171.9	232.6	183.1	100.4	6	0	67.6	13.5	5
MÁXIMA	10.8	43.1	41.2	116.6	297.6	469.9	555.8	642.71	455	471.62	153.1	34	2135.49	233	12
MEDIA	2.5	6.8	13	43.8	191.9	313.8	300.5	347.9	331.7	205.9	30	7.9	1446.2	151.4	9.5
DESV.ST	3.7	14.4	16.8	32.7	65.1	109	123.5	120.7	93.9	127.8	50.3	11.3	586.7	60.1	2.7

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2007	105.27	120.47			174.55								400.29	133.4	3
2008	97.15												97.15	97.2	1
2011					150.25	73.89	78.88	66.5	95.39	62.11	58.34	61.69	647.05	80.9	8
2012	19.46					65.46		71.43	35.54	63.95	77.59	86.84	420.27	60	7
2013	71.92	75.87	76.27	96.55	51.74	107.94	83.16	72.46	50.99	88.29	7.26	2.28	784.73	65.4	12
