COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 2002 
 NOMBRE    : BAHIA DE LOS ANGELES 
 ESTADO    : BAJA CALIFORNIA 
 MUNICIPIO : SAN QUINTÍN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 28.60388889 ° 
 LONGITUD  : -113.5561111 ° 
 ALTITUD   : 4 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953									0	0	0	0	0	0	4
1954	1.5	0	0	0	0	0	0	0	17.5	0	0	5	24	2	12
1955	5.5	0	0	0	0	0	0	0	0	0	0	0	5.5	0.5	12
1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1957	8	0	10	0		0	0	0	0	6	0	0	24	2.2	11
1958	0	12	4	0	0	0	3	0	0	17.5	3	0	39.5	3.3	12
1959	0	7.5	0	0	0	0	3	0	60	0	14	20	104.5	8.7	12
1960	7	0	0	0	0	0	2	0	2	1	2	8	22	1.8	12
1961	1	0	0	0	0	0	0	5	0	1	14	12	33	2.8	12
1962	15	10	1	0	0	0	0	0	53	0	0	13	92	7.7	12
1963	5	0	0	1	0	0	0	3	2	0	5	5	21	1.8	12
1964	1	0	0	0	0	0	50	12	0	5	2	0	70	5.8	12
1965	14.5	28	0	0	0	0	0	0	0	0	0	5	47.5	4	12
1966	11.5	6	0	0	0	0	1	3	124	16	0	38	199.5	16.6	12
1967	0	0	3	0	0	0	1	23	1	2	11	20	61	5.1	12
1968	0	0	0	0	0	0	4	1	0	0	0	2	7	0.6	12
1969	1	4	1	0	4	0	0	0	7	0	31.8	0	48.8	4.1	12
1970	0	1	3	0	0	0	0	0	20	0	0	0.2	24.2	2	12
1971	0	1	0	1	0	0	0.2	0	0	0.3	0.2	1	3.7	0.3	12
1972	0	0	0	0	0.1	0	0	1	0	55	0	0	56.1	4.7	12
1973	0.1	4	1	0	1.9	0	0	0	0	0	0	0	7	0.6	12
1974	1	0	0	0	0	0	0	0	0	1	0	0	2	0.2	12
1975	0	0	0	2	0	0	0	0	0	0	0	1	3	0.2	12
1976	0	1	0	1.5	0	0	1	0	8	0	10	0	21.5	1.8	12
1977			9.5	0	0	0	1.5	25.5	0	57	0	6	99.5	9.9	10
1978	5	15	1.5	0	0	0	0	7	1	6	20	13	68.5	5.7	12
1979	8.5	5.5	2	0	0	0	0	7	0.5	0	0	1	24.5	2	12
1980	2	6	1	0	0	0	2.5	1	0	0	18	0	30.5	2.5	12
1981	13	0	7	0	0	0	2.5	0	1	0	2	0	25.5	2.1	12
1982	0	0	0	0	2	0	0.5	0	20	0	1.5	34	58	4.8	12
1983	4.5	10	14	1.5	0	0		28	26	54	5	11	154	14	11
1984	10.5	0	0	0	0	0	15	0	16	0	18	20	79.5	6.6	12
1985	20	2.5	1	1	0	0	0	1	0	2	13	0	40.5	3.4	12
1986	1	1.5	2	0	0	0	0	0	0	0	0	4.5	9	0.8	12
1987	0			0	0	0	0	0	0	18.5	0	11	29.5	3	10
1988	11.5	1	5.5				0	31	0	13	0	8.2	70.2	7.8	9
1989	12	0	0	0	0	0	0	12	16	33	16	10	99	8.2	12
1990	5	0	0	0	0	0	1.5	1	7	0	9	7	30.5	2.5	12
1991	4.5	6	2	0	0	0	0	8	8	0	5	46	79.5	6.6	12
1992	12	10	29	0.5	0	0	1	0	0	0	0	8	60.5	5	12
1993	14	0	0	0	0	0	0	3	0	0	2	4	23	1.9	12
1994	0	5	7	0	0	0	0	0	3	0	7	32	54	4.5	12
1995	15	6	1	0	0	0	0	0	0	0	0	0	22	1.8	12
1996	0	4	0	0	0	0	0	0	0	20	0	0	24	2	12
1997	1	4	0	3	0	0	0	0	47	0	5	19	79	6.6	12
1998	0	23	2	0	0	0	16	0	0	0	0	0	41	3.4	12
1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
2000	0	0	11	0	0	0	2	1	3	6.5	3	0	26.5	2.2	12
2001	6	5	7.5	18	0	0	0	0	6	2.5	0	0	45	3.8	12
2002	2	0	0	0	0	0	0	0	1.5	0	9	4	16.5	1.4	12
2003	5	14	0	0	0	0	0.01	20	1.5	0	9	4	53.51	4.5	12
2004	6	0	0	0	0	0	0	0	14	0	37	10	67	5.6	12
2005	6	12	1	0.01	0	0	0	10	0	0.01	2	0.01	31.03	2.6	12
2006	0	0.5	2	0	0	0	10	2	25	96	0	3	138.5	11.5	12
2007	1	0	0.01	0	0	0	0.01	0.01	0	0.01	50		51.04	4.6	11
2009	8	3	0	0.01	0	0	0.01	0.01	7.6	25	3	1.5	48.13	4	12
2010	37	9	2.5	0.01	0	0	0.01	0	0.01	0.01	0	0.01	48.55	4	12
2011	0	0	0	5	0	0	0.01	0.01	0.01	0	1	7	13.03	1.1	12
2012	0	6	0.01	0.01	0	0	0	15	9.5	3	0.01		33.53	3	11
2013	4.5	1	0.01	0	0	0	3	9	0	0	15	5.5	38.01	3.2	12
2014	0.01	0	10	0	0	0	0.01	0.01	90	8.5	0	1	109.53	9.1	12
2015	2.6	0	10	0	0	38	8	1	16	5.5	2.5	0.01	83.61	7	12
2016	6	0.01	2	2	0.01	0.01	3	3	1	0.01	0.01	28	45.05	3.8	12
2017	15	13	0	0	0	0					0	11	39	4.9	8
2018	0.01	17.5	0	0	0	0	0	0.01	0	18	0	0	35.52	3	12
2020	3	0.01	18	0	0	0							21.01	3.5	6
2021										0	0.01	0	0.01	0	3
2022	0	0.01	0				1.5	8	57	0.01	0	3	69.52	7.7	9
2023	2.5	3.5	0.01	0	0	0	0.01	136	0.01	0	1	15	158.03	13.2	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MÁXIMA	37	28	29	18	4	38	50	136	124	96	50	46	199.5	16.6	12
MEDIA	4.8	4	2.6	0.6	0.1	0.6	2.1	5.8	10.2	7.1	5.1	6.9	47.7	4.1	11.4
DESV.ST	6.6	5.9	5.1	2.3	0.6	4.7	6.8	17.9	22.3	16.9	9.4	10.2	40.2	3.5	1.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1953									0	0	0	0	0	0	4
1954	1.5	0	0	0	0	0	0	0	17.5	0	0	5	24	2	12
1955	11	0	0	0	0	0	0	0	0	0	0	0	11	0.9	12
1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
1957	19	0	10	0		0	0	0	0	7.4	0	0	36.4	3.3	11
1958	0	13.5	7	0	0	0	3	0	0	33.5	3	0	60	5	12
1959	0	7.5	0	0	0	0	3	0	60	0	14	31.5	116	9.7	12
1960	19	0	0	0	0	0	3	0	2	1	2	16	43	3.6	12
1961	3	0	0	0	0	0	0	6.5	0	1	14	13	37.5	3.1	12
1962	26	11	1	0	0	0	0	0	71	0	0	24	133	11.1	12
1963	6	0	0	1	0	0	0	3	2	0	5	5	22	1.8	12
1964	1	0	0	0	0	0	51	12	0	5	3	0	72	6	12
1965	29	50	0	0	0	0	0	0	0	0	0	19.1	98.1	8.2	12
1966	22	7.5	0	0	0	0	1	5	181	16	0	38	270.5	22.5	12
1967	0	0	3	0	0	0	1	24	1	4	17	54	104	8.7	12
1968	0	0	0	0	0	0	4	1	0	0	0	2	7	0.6	12
1969	1	5	1	0	7	0	0	0	7	0	40.7	0	61.7	5.1	12
1970	0	1	3	0	0	0	0	0	34	0	0	0.3	38.3	3.2	12
1971	0	1	0	1	0	0	0.2	0	0	0.3	0.2	1	3.7	0.3	12
1972	0	0	0	0	0.1	0	0	2	0	66.5	0	0	68.6	5.7	12
1973	0.1	4	1	0	1.9	0	0	0	0	0	0	0	7	0.6	12
1974	1	0	0	0	0	0	0	0	0	1	0	0	2	0.2	12
1975	0	0	0	3	0	0	0	0	0	0	0	2	5	0.4	12
1976	0	1	0	2.5	0	0	1	0	14	0	10	0	28.5	2.4	12
1977			9.5	0	0	0	1.5	25.5	0	64.7	0	12.5	113.7	11.4	10
1978	7	22.5	1.5	0	0	0	0	7	1	10	25.5	24.5	99	8.2	12
1979	22	5.5	2	0	0	0	0	12	0.5	0	0	1	43	3.6	12
1980	3	10	1	0	0	0	2.5	1	0	0	18	0	35.5	3	12
1981	24	0	11.5	0	0	0	2.5	0	1	0	2	0	41	3.4	12
1982	0	0	0	0	2	0	0.5	0	24.5	0	2	40.7	69.7	5.8	12
1983	4.5	13.5	27.5	1.5	0	0		34.3	34.3	102	6.5	11	235.1	21.4	11
1984	13	0	0	0	0	0	17.4	0	41	0	18	47	136.4	11.4	12
1985	26.2	4.3	1	1	0	0	0	1	0	4	14.5	0	52	4.3	12
1986	1	1.5	2	0	0	0	0	0	0	0	0	4.5	9	0.8	12
1987	0			0	0	0	0	0	0	19.5	0	20.5	40	4	10
1988	11.5	1	5.5				0	31	0	13	0	8.2	70.2	7.8	9
1989	16.5	0	0	0	0	0	0	12	16	34	16	15	109.5	9.1	12
1990	6	0	0	0	0	0	1.5	2.5	7	0	9	7	33	2.8	12
1991	4.5	9	2	0	0	0	0	11	12	0	5	64	107.5	9	12
1992	24	27	50.5	0.5	0	0	1	0	0	0	0	18	121	10.1	12
1993	29	0	0	0	0	0	0	5	0	0	3	6	43	3.6	12
