COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 5021 
 NOMBRE    : NUEVA ROSITA 
 ESTADO    : COAHUILA DE ZARAGOZA 
 MUNICIPIO : SAN JUAN DE SABINAS 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 27.91666667 ° 
 LONGITUD  : -101.25 ° 
 ALTITUD   : 369 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1924											0.1	1.5	1.6	0.8	2
1925	0	0	71	48	33.3			24.5	36.5	19.5	0.01	18	250.81	25.1	10
1926					43	7	71.5	9	55	9.5	0	0	195	24.4	8
1927	3	6.5	3	3.5	26	76	15	20	4.5	72	0	20	249.5	20.8	12
1928	19	19	0.01	6.5	27	0.01	10.5	12.5	80	0.01	0.01	12	186.54	15.5	12
1929	0.01	1	16	3	50.5	24	6.5	7	20	19	0.01	12	159.02	13.3	12
1930	0	0.01	34	80	43.5	47	22.5	0.01	3.5	60.5	33.5	4.5	329.02	27.4	12
1931	33.5	5.5	40	20	67.5	35.5	30.5	22.5	0	0	0.01	19	274.01	22.8	12
1932	13.5	47	5.5	15	45	0				15.5	13.5	3.5	158.5	17.6	9
1933	3	17.5	0	8.5	9	35.5	35.5	65	60	36	0	0	270	22.5	12
1934	6	0.01	0	28.5	29.5	0	42.5	15.5	38.5	0	0	10	170.51	14.2	12
1935	16.5	12.5	3.5	3.5	27.5	67.5	35.5	10	15	6	20	30	247.5	20.6	12
1936	0	0	25	0	37.5	7	12.5	40	12	15	28	15.5	192.5	16	12
1937	0.01	0	10	0	48.5	42	21.5	20	0	5.5	16	15	178.51	14.9	12
1938	24	13.5	0.01	70	13	10.5	56	40	50	0	0	0	277.01	23.1	12
1939	15	0	0	18	30	75	0.01	17	10	32	3.5	42	242.51	20.2	12
1940	3	0.01	20	0.01	90	45.5	0	32	3	15.5	17	17	243.02	20.3	12
1941	10.5	14	0.01	15	43	58.5	22.5	0.01	50	16	4	25	258.52	21.5	12
1942	0.01	20	0.01	15	17	10	30	55	10	3.1	6	0	166.12	13.8	12
1943	6	2	2	0.01	12	12	36	0.01	34	17	6	17	144.02	12	12
1944	7	5	3	5	70	15	15	35	31	5	9	6	206	17.2	12
1945	13	23	6	35	5	4	0.01	14	51	57	0	0.01	208.02	17.3	12
1946	17	0.01	0.01	23	23	70	2	16	31	40	15	0.01	237.03	19.8	12
1947	24	0.01	8	0.01	18	76	8	32	8	20	0.01	0.01	194.04	16.2	12
1948	0.01	0.01	0.01	19	3	23	44	11	56	20	0.01	0.01	176.05	14.7	12
1949	10	40	0.01	54	83	18	40	120	5	10	0.01	30	410.02	34.2	12
1950	9	0.01	8	8	50	76	0.01	15	72	0.01	0	0	238.03	19.8	12
1951	0	0.01	0.01	4	23	9	0.01	24	21	58	0.01	0.01	139.05	11.6	12
1952	0.01	0.01	0.01	20	25	6	5	0	0.01	0	0.01	10	66.05	5.5	12
1953	0	0.01	10	0	0.01	0.01	0	44	15	12	0	10	91.03	7.6	12
1954	11	2	0	26	13	16	12	0.01	17	0.01	0	0.01	97.03	8.1	12
1955	17	15	0.01	0.01	8	20	19	37	11	28			155.02	15.5	10
1956							0	19.3	18	0.8	0.01	0.01	38.12	6.4	6
1957	0.4	29.7	2	25.5	141	6.8	0.01	13	31.3	35	10.4	6.3	301.41	25.1	12
1958	15.6	8	2	2	35.3	19.5	9.6	2.5	108.3	46.5	15.4	27	291.7	24.3	12
1959	1.5	4.6	0.01	15.5	15	15	32.4	18.1	40.5	26.3	25.1	1.5	195.51	16.3	12
1960	13	48	0.01	11.2	21	52	84.5	21	16.7	31.4	8	12.6	319.41	26.6	12
1961	10.5	4	0	41	21.5	72	20	20	44.5	20	2.5	1.8	257.8	21.5	12
1962	1.1	0	4.1	27.8	0	27.3	0	17.1	28	2.5	4	3.6	115.5	9.6	12
1963	0.3	20	0	68.5	2.6	45.5	8.5	0	16.8	85.4	2.6	12.8	263	21.9	12
1964	0	4.5	34.1	2.9	28.6	40.2	28.1	38.7	92.5	26.2	1.1	4.4	301.3	25.1	12
1965	3.2	8.1				73	4	14	92.5	2	66	29	291.8	32.4	9
1966	6.5	6	1	40	40	16	0	46.5	10.5	4	0.5	0	171	14.2	12
1967	0	0	34	20	20	2.5	36.5	32.5	44	14	5	4	212.5	17.7	12
1968	7	11	20	28	16.5	14.5	60	31	23	6	18	2	237	19.8	12
1969	6	1.5	0.01	21	24.5	11	43	16			15	15	153.01	15.3	10
1970		7	2	11	18	20	16	20	83	6	0	0	183	16.6	11
1971	0	20	0	9	15	70	9						123	17.6	7
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0.8	2
MÁXIMA	33.5	48	71	80	141	76	84.5	120	108.3	85.4	66	42	410.02	34.2	12
MEDIA	7.4	9.2	8.3	19.4	31.4	30.5	21	23.3	32.9	20	7.5	9.5	205.6	18	11.2
DESV.ST	8.2	12.4	14.7	20	26.5	26	20.7	21.2	28	20.9	12.3	10.6	78.7	6.6	1.9

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1924											0.1	2	2.1	1	2
1925	0	0	71	61.53	67.85			38.54	138.06	49.56	0.04	44.02	470.6	47.1	10
1926					43.02	13.05	129.04	9.05	73.02	23.02	0	0	290.2	36.3	8
1927	3.07	11.06	3.02	3.5	26.02	198.52	28.02	22.01	7.51	72.02	0	36.04	410.79	34.2	12
1928	28.03	24.53	0.01	12.51	31.06	0.03	12.02	40.54	134.02	0.02	0.03	20	302.8	25.2	12
1929	0.01	1.02	26.04	4.53	100.03	24.02	16.52	12.03	36.01	24.55	0.03	23.5	268.29	22.4	12
1930	0	0.01	43.04	190.56	116.52	90.52	22.5	0.01	3.5	225.5	118.02	6.51	816.69	68.1	12
1931	96.51	10.55	50.53	23.54	149.03	66.53	30.52	46.51	0	0	0.02	28.01	501.75	41.8	12
1932	13.51	54	5.51	15	50.51	0				30.52	13.52	3.52	186.09	20.7	9
1933	3.04	19.54	0	21.01	9.01	43.02	64.5	132.01	67.5	71.01	0	0	430.64	35.9	12
1934	15.02	0.01	0	80.5	45.01	0	116.03	15.5	38.51	0	0	10.01	320.59	26.7	12
1935	30.5	12.53	3.51	3.51	104.02	138.5	67.51	14.5	47.5	12.52	22.53	93.55	550.68	45.9	12
1936	0	0	25	0	128.51	7	42.51	61.5	22.51	32.52	107.5	15.51	442.56	36.9	12
1937	0.01	0	15.01	0	68.5	48.01	49.5	38	0	5.51	24	40.51	289.05	24.1	12
1938	85.51	13.52	0.01	96	20.5	10.5	122.5	40	62	0	0	0	450.54	37.5	12
1939	35.01	0	0	23.02	63.5	75.01	0.01	58.5	10	50.5	5.53	42.02	363.1	30.3	12
1940	3	0.02	20	0.01	207	99.5	0	70	3.01	20.5	22.01	17.01	462.06	38.5	12
1941	30.51	34.03	0.02	48.01	151.56	91	22.5	0.01	156	16.01	4.03	32.54	586.22	48.9	12
1942	0.02	44.03	0.02	15.02	20	17	52.01	98	25	3.1	6	0	280.2	23.4	12
1943	14.01	2.01	2	0.02	41.04	12.05	36.02	0.01	163.04	22.08	8.07	41.05	341.4	28.4	12
1944	14.01	5.03	3.04	5.02	97.06	26.03	32.02	140	92.06	11.04	9.08	12.05	446.44	37.2	12
1945	18.02	23.03	17.04	41.02	5.04	4.01	0.08	27.07	59.02	96.02	0	0.04	290.39	24.2	12
1946	21.08	0.03	0.04	43.06	57.07	151.02	2.01	21.03	43.06	78.02	15.01	0.04	431.47	36	12
1947	28.03	0.03	8.02	0.07	35.08	106.02	13.05	84.04	12.03	36.01	0.1	0.07	322.55	26.9	12
1948	0.03	0.11	0.02	19	5.03	25.02	131.03	28.05	169.08	61.01	0.02	0.03	438.43	36.5	12
1949	10.13	53.09	0.02	112.05	109.07	18.05	40.07	164.03	12.03	28.05	0.01	36.06	582.66	48.6	12
1950	9.02	0.03	8.02	15.07	124.07	92.03	0.01	15.03	189.06	0.02	0	0	452.36	37.7	12
1951	0	0.01	0.04	4.03	34.07	9.04	0.03	24.03	45	138.02	0.03	0.03	254.33	21.2	12
1952	0.02	0.05	0.07	30.03	51	6.02	9.01	0	0.01	0	0.06	10.01	106.28	8.9	12
1953	0	0.06	10.07	0	0.02	0.01	0	142	22.01	35.02	0	10.01	219.2	18.3	12
1954	17.03	2	0	70.02	25.03	16.06	12.02	0.04	17.01	0.02	0	0.01	159.24	13.3	12
1955	18.04	20.01	0.01	0.02	8.05	30.05	30.02	80.43	25.02	28.01			239.66	24	10
1956							0	29.6	38.61	0.81	0.02	0.03	69.07	11.5	6
1957	0.5	46.44	2.01	46.14	306.73	17.01	0.02	13.01	81.04	75.83	24.42	13.16	626.31	52.2	12
1958	20.8	29.64	3.91	2.03	76.54	36.44	10.22	4.51	333.62	136.22	22.03	27.23	703.19	58.6	12
1959	1.81	14.92	0.01	23.01	32.25	28.85	58.83	35.52	84.72	32.32	27.85	2.23	342.32	28.5	12
1960	17.67	59.53	0.04	12.15	28.81	99.52	152.63	27.48	36.72	136.45	25.65	20.93	617.58	51.5	12
1961	30.8	5.5	0	52.5	24	163.3	29	52.5	44.5	45	3.8	3.4	454.3	37.9	12
1962	1.4	0	6.2	31.9	0	55.3	0	24.3	55.3	7.5	13.3	5.9	201.1	16.8	12
1963	0.4	22.8	0	71.2	6.3	118.9	8.5	0	27.7	91.3	5.4	16	368.5	30.7	12
1964	0	5.1	35.6	2.9	54.2	78.8	42.7	51.8	178.5	27.4	1.1	4.4	482.5	40.2	12
1965	4.4	8.1				76.5	5.3	34.5	189.2	2.5	67	46	433.5	48.2	9
1966	15.5	14	1	70.5	99.5	46	0	104.5	38.5	10.5	0.5	0	400.5	33.4	12
1967	0	0	47.5	52.5	52.5	2.5	38.5	75.5	123.5	24.5	12	7	436	36.3	12
1968	17.5	36	38	59.5	35.5	25.5	125	80	66.5	12.5	20.5	2	518.5	43.2	12
1969	6.5	2.5	0.03	26.05	65.5	11	62.5	48.5			38	15	275.58	27.6	10
1970		22	3.5	23	34	31	27	20	161	7	0	0	328.5	29.9	11
1971	0	20.01	0	10.5	48.5	378	18						475.01	67.9	7
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	2.1	1	2
MÁXIMA	96.51	59.53	71	190.56	306.73	378	152.63	164.03	333.62	225.5	118.02	93.55	816.69	68.1	12
MEDIA	13.9	13.7	10.2	32.3	63.5	57.5	36.9	45	71.2	39.6	13.4	14.9	384.2	33.8	11.2
DESV.ST	20.2	17	17	37.7	59.2	69.5	41.8	41.7	70.8	47.3	25.2	18.9	160	14	1.9

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1924											26.7	16.9		21.8	2
1925	19.5	26.1	26.5	27.3	24			35.6	32.2	26.8	22.7	15.7		25.6	10
1926					32.2	35.2	35.1	37.5	36.7	31.5	23.5	19.2		31.4	8
1927	21.4	25.3	27.8	34.4	38.3	34.9	36	38.2	35.5	31.4	28.9	16.7		30.7	12
1928	19.4	19.4	28.9	30.3	32.4	38.5	36.7	37.5	31.8	30	19.5	17.1		28.5	12
1929	19.5	18.4	29.2	33.3	34.2	38.6	37.9	37.9	36.4	30.9	20.3	17.8		29.5	12
1930	14.8	27.1	26.7	32.1	36.1	35.6	38.8	41.7	40	27.3	22	17.2		30	12
1931	18.8	23	25.2	29.7	33.9	37.9	38.1	38.3	36.4	34	25.5	15		29.6	12
1932	17.2	24.8	25.2	35.2	37.4	40.2				25.3	19.4	16.4		26.8	9
1933	18.4	19.3	26.7	28.2	37	38.7	38.6	36.7	32.3	28	23.1	24.2		29.3	12
1934	13.1	18.9	27	33.1	34.5	37.8	38	39.1	34	28.4	24.8	17		28.8	12
1935	22.1	19.7	27.2	32.7	30.9	32.8	35.7	37	29.4	29.8	20.7	15.8		27.8	12
1936	14.8	17.1	26.4	28.4	32	37.7	37.1	36.7	31.5	24.7	20.2	14.7		26.8	12
1937	15.2	17.7	20.8	31.2	32.2	35.8	36.1	38.2	36.1	30.1	21	15.6		27.5	12
1938	14.5	21.1	27.2	33.6	36.2	38.9	37.8	37.4	31.9	28.6	23.4	19.2		29.1	12
1939	18.1	21.2	26.2	28.4	36.1	37.3	39	36.4	33.2	28.6	24.6	19.7		29.1	12
1940	13.2	15.4	25	34.4	32.8	36.9	38.8	38.5	33.2	28.5	20.6	23.6		28.4	12
