COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 5210 
 NOMBRE    : EL SAUCILLO 
 ESTADO    : COAHUILA DE ZARAGOZA 
 MUNICIPIO : CANDELA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 26.81666667 ° 
 LONGITUD  : -100.7333333 ° 
 ALTITUD   : 640 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983							4.4	1.2	5.1	0.9	0	0	11.6	1.9	6
1984						3	0	0		12	5	15	35	5.8	6
1985	20	4	7			40	2	2	40	12	4	0	131	13.1	10
1986	0	0		35	20								55	13.8	4
MÍNIMA	0	0	7	35	20	3	0	0	5.1	0.9	0	0	11.6	1.9	4
MÁXIMA	20	4	7	35	20	40	4.4	2	40	12	5	15	131	13.8	10
MEDIA	10	2	7	35	20	21.5	2.1	1.1	22.6	8.3	3	5	58.1	8.7	6.5
DESV.ST	14.1	2.8				26.2	2.2	1	24.7	6.4	2.6	8.7	51.7	5.8	2.5

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1983							4.4	1.2	5.1	1.2	0	0	11.9	2	6
1984						3	0	0		14	5	15	37	6.2	6
1985	49	5	12			80	2	2	80	13	6	0	249	24.9	10
1986	0	0		58	37.5								95.5	23.9	4
MÍNIMA	0	0	12	58	37.5	3	0	0	5.1	1.2	0	0	11.9	2	4
MÁXIMA	49	5	12	58	37.5	80	4.4	2	80	14	6	15	249	24.9	10
MEDIA	24.5	2.5	12	58	37.5	41.5	2.1	1.1	42.5	9.4	3.7	5	98.3	14.2	6.5
DESV.ST	34.6	3.5				54.4	2.2	1	53	7.1	3.2	8.7	106.4	11.9	2.5

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984										166.04	146.62	99.48	412.14	137.4	3
1985	70.11	66.5				209.41		292.3	219.59	149.58	150.45	93.2	1251.14	156.4	8
1986	85.08												85.08	85.1	1
MÍNIMA	70.11	66.5				209.41		292.3	219.59	149.58	146.62	93.2	85.08	85.1	1
MÁXIMA	85.08	66.5				209.41		292.3	219.59	166.04	150.45	99.48	1251.14	156.4	8
MEDIA	77.6	66.5				209.4		292.3	219.6	157.8	148.5	96.3	582.8	126.3	4
DESV.ST	10.6									11.6	2.7	4.4	601.5	36.9	3.6

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984										28.3	25.9	24.4		26.2	3
1985	14.3	17.8	24.5			34.2	35.6	36.7	33.7	29.8	27.6	18		27.2	10
1986	19.8	24		29.3	32.6									26.4	4
MÍNIMA	14.3	17.8	24.5	29.3	32.6	34.2	35.6	36.7	33.7	28.3	25.9	18		26.2	3
