COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15017 
 NOMBRE    : COATEPEC DE LOS OLIVOS 
 ESTADO    : MÉXICO 
 MUNICIPIO : IXTAPALUCA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.38472222 ° 
 LONGITUD  : -98.84611111 ° 
 ALTITUD   : 2405 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	4	3.6	2.5	20.3	6.2	31.2	51.5	40	7.5	23.1	3.5	3.5	196.9	16.4	12
1962	0	0	0.6	19.9	8.5	30.1	12	20.5	21.5	14	6	0.5	133.6	11.1	12
1963	0	0	19.2	6.6	32	12.5	46.8	11.8	31.3	10.8	0.01	2.3	173.31	14.4	12
1964	9.1	0	17	9.3	28.5	48.5	29.4		11.3	16.1	8.2	2.6	180	16.4	11
1965	6	29.4	0.01	7	10.4	24.9	47.8	42	22.5	11.7	6	4.6	212.31	17.7	12
1966	6.6	3.6	30.5	20	8.3	22	19.1	31.9	9.9	11.4	0	2.8	166.1	13.8	12
1967	55.5	0.6	4	10.3	9	20	17.9	31.4	24.7	41.5	6.5	1.4	222.8	18.6	12
1968	2.7	12.1	0.01	18.2	27.9	44.5	29.5	18	15.3	11.8	2.5	6.4	188.91	15.7	12
1969	5.7	2.9	12.8	4.4	11.2	12.1	38.5	30.4	27.4	13.9	1.4	0	160.7	13.4	12
1970	3.2	3.4	0	3.6	31.3	24	12.2	15.1	30.1	14	0	0	136.9	11.4	12
1971	0	0	29	4.6	5.3	20.5	24.4	14.5	19	16.8	1.3	9.6	145	12.1	12
1972	0.6	2.2	3.2	30.1	41.5	25.4	14.3	22	29.4	10.3	3.5	0	182.5	15.2	12
1973	0	5.8	7	9.5	11.3	28.5	12	23.5	14.9	8.4	18.7	0	139.6	11.6	12
1974	0	0.5	5.9	25	21.7	15	20	26.2	24.5	21	0	0	159.8	13.3	12
1975	17.2	5	0	2.5	42.2	20.2	37.9	16.5	8.7	6.3	0	0	156.5	13	12
1976	0	10	10.6	7.3	18.7	16.3	15.4	20.6	14.3	34	5.2	39.9	192.3	16	12
1977	0.5	1.1	0	3.8	28.2	26.3	20.2	9	9.2	19.5	24.3	3.5	145.6	12.1	12
1978	2.5	11.1	34.5	3.5	12.7	27.5	12.5	13	17.5	26.3	10	3	174.1	14.5	12
1979	0	16	17	5.3	25	30.5	31	25.5	53	1.4	10	14.5	229.2	19.1	12
