COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 18020 
 NOMBRE    : LA YESCA 
 ESTADO    : NAYARIT 
 MUNICIPIO : LA YESCA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 21.32444444 ° 
 LONGITUD  : -104.0125 ° 
 ALTITUD   : 1357 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	0	4.2	0	0	2.9	54.5	26.4	32.5	56.9	20	6.8	18.3	222.5	18.5	12
1970	3.8	25.1	0	0	0	32.5	32.8	29.5	41.5	3.2	20	0	188.4	15.7	12
1971	11.3	0	0	0	9.8	41.1	39.2	27.2	16.5	19.1	0	2.1	166.3	13.9	12
1972	1.5	0	0	0	11.2	50.2	60.2	71.9	35.8	17.1	29.3	0	277.2	23.1	12
1973	16.9	3.4	0	0	21	30.5	36.9	44.5	64.5	10.3	0	0	228	19	12
1974	0.5	0	0	10.2	16.4	21.6	40.3	60.8	45.6	7.4	0	15.4	218.2	18.2	12
1975	15.8	0	0	0	0	29.8			16.7	5.8	2.3	0.6	71	7.1	10
1976	0	5.1	0	1.4	0	8.2	70.5	29.2	20	10.2	33.6	6.8	185	15.4	12
1977	2.7	2	0	4.1	6.5	40.4	40	22.5	20	8.4	2.3	0	148.9	12.4	12
1978	0	12.8	0	0	8.5	51	20	24	28	20.8	0	0	165.1	13.8	12
1979	7	5	0	0	0					0		41	53	7.6	7
1980	31	38	0	0	0	47		20	24	12.5	22	12.5	207	18.8	11
1981	31	9.5	7	4.8	0			20	41	24.5	3	11	151.8	15.2	10
1982	0	0	0	0	0	34	38	32.5	44.5	18	56	37	260	21.7	12
1983	20	2.5	4	0	38.5	5.5	51.5	31.5	28.5	29	5.5	0	216.5	18	12
1995	1.7	0	0	0	0	19.1	31.5	52.5	21	1.8	1.4	3.5	132.5	11	12
1996	0	0	0	0	4.1	23.7	33.2	57.6	36	44.3	7.5	0	206.4	17.2	12
1997	20.1	10.8	9.7	13.5	12.4	38	40.1	16	42.5	18.5	19	0	240.6	20	12
1998	0	1.5	0	0	0	28.5	47	39	32.8	29.2	0.5	0	178.5	14.9	12
1999	0	0	0	0	5.1	23	25	36.5	39.5	6.5	0	0.3	135.9	11.3	12
2000	0	0	0	0	14.1	56.8	58.3	20	17.5	22.1	0	17.1	205.9	17.2	12
2001	0	0	8.8	0	16.5	32.4	26.1	33.5	69.2	14.9	0	0	201.4	16.8	12
2002	0	8.4	0	0	4.1	21	41	43.8	21	43.5	4	0	186.8	15.6	12
2003	0	0	0	0	12.5	35.5	56	25.2	31.2	13.7	0	0	174.1	14.5	12
2004	19.5	0.01	0.01	0	0.5	40	22.2	57.5	37	27.4	0.2	0.01	204.33	17	12
2005	0.01	12.8	0.01	0	0	37.4	31.6	47.5	30	32.4	3.4	1.2	196.32	16.4	12
2006	0.3	0	0	0.01	0.01	33.4	49	71	37	50.4	3.4	5.1	249.62	20.8	12
2007	13	0.8	0	0	0	17	42.3	42.6	44	1.2	10.3	0	171.2	14.3	12
2008	0	0	0	0	0.01	61.2	44.6	29	49.4	14.2	0		198.41	18	11
2009	0	0	0	0	53.4	40	70.2	26	44	11.2	0.1	4.2	249.1	20.8	12
2012	0.01	15.2	0.01	0.01	0.01								15.24	3	5
MÍNIMA	0	0	0	0	0	5.5	20	16	16.5	0	0	0	15.24	3	5
MÁXIMA	31	38	9.7	13.5	53.4	61.2	70.5	71.9	69.2	50.4	56	41	277.2	23.1	12
MEDIA	6.3	5.1	1	1.1	7.7	34	41.3	37.3	35.7	17.9	8	6.1	184	15.7	11.4
DESV.ST	9.6	8.6	2.6	3.1	12.1	13.9	13.7	15.6	13.8	12.9	13.1	10.7	58	4.4	1.6

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	0	4.2	0	0	4.5	130.1	154.2	210.2	204.7	47.5	6.8	29.7	791.9	66	12
1970	5.4	66.9	0	0	0	205.2	184	95.2	121	3.2	31.5	0	712.4	59.4	12
1971	23.7	0	0	0	15	153.7	229.7	136.9	94.7	47.7	0	2.1	703.5	58.6	12
1972	1.5	0	0	0	33.6	164.3	214.6	240.8	134	17.1	41.5	0	847.4	70.6	12
1973	30.9	7.3	0	0	42	76.8	204.6	279	143.8	27.6	0	0	812	67.7	12
1974	0.5	0	0	27.2	32.8	168.2	297	231.4	95.8	7.4	0	29.5	889.8	74.2	12
1975	26.6	0	0	0	0	148.3			85.2	6.2	2.3	0.6	269.2	26.9	10
1976	0	5.1	0	1.6	0	41.3	313.1	196.2	82.2	22.9	127.1	31	820.5	68.4	12
1977	8.4	2.4	0	4.5	7.1	145.5	227.1	118.3	82.4	22.2	2.3	0	620.2	51.7	12
1978	0	12.8	0	0	12.4	127.5	153	162.6	127	98.4	0	0	693.7	57.8	12
1979	12	6	0	0	0					0		60	78	11.1	7
1980	89	40.7	0	0	0	187.8		99.5	125	22	25	30.5	619.5	56.3	11
1981	57	13	13	4.8	0			101.5	114.1	39.5	3	12.5	358.4	35.8	10
1982	0	0	0	0	0	88	255	125	84.5	38.5	88	93	772	64.3	12
1983	77	2.5	4	0	92	17	354.7	193.6	119	95.5	12	0	967.3	80.6	12
1995	1.7	0	0	0	0	97.8	146.3	256.6	118.6	1.8	1.5	7.6	631.9	52.7	12
1996	0	0	0	0	6.4	131.3	189.5	325.9	93	113	11.6	0	870.7	72.6	12
1997	27.6	10.8	18.2	35.8	37	106.6	153.5	138.4	139.3	43.8	21.9	0	732.9	61.1	12
1998	0	1.5	0	0	0	75.1	246.5	205	129.3	56	0.5	0	713.9	59.5	12
1999	0	0	0	0	5.3	67.8	200.5	172.3	67.7	12.5	0	0.3	526.4	43.9	12
2000	0	0	0	0	30.2	178.3	181.6	104	71.3	33.2	0	22.7	621.3	51.8	12
2001	0	0	9.9	0	18.5	144.8	130.9	210.2	127.5	20.9	0	0	662.7	55.2	12
2002	0	19.2	0	0	4.1	74.8	226.7	206.5	87	73.8	5	0	697.1	58.1	12
2003	0	0	0	0	12.5	115.8	244.3	159.6	154.2	34.9	0	0	721.3	60.1	12
2004	36.73	0.02	0.08	0	0.93	211.55	81.28	159.02	162.43	42.12	0.21	0.04	694.41	57.9	12
2005	0.01	22.72	0.03	0	0	72.33	215.25	144.87	120.62	71.51	3.4	1.21	651.95	54.3	12
2006	0.32	0	0	0.01	0.03	151.63	211.42	208.95	113.64	205.41	3.61	5.13	900.15	75	12
2007	17.2	0.9	0	0	0	73.5	168.8	246.3	135.4	1.2	10.3	0	653.6	54.5	12
2008	0	0	0	0	0.01	224.36	302.82	119.36	187.6	30.44	0		864.59	78.6	11
2009	0	0	0	0	76.23	154.51	238.62	141.13	141.22	27.73	0.1	8	787.54	65.6	12
2012	0.01	24.74	0.01	0.01	0.02								24.79	5	5
MÍNIMA	0	0	0	0	0	17	81.28	95.2	67.7	0	0	0	24.79	5	5
MÁXIMA	89	66.9	18.2	35.8	92	224.36	354.7	325.9	204.7	205.41	127.1	93	967.3	80.6	12
MEDIA	13.4	7.8	1.5	2.4	13.9	126.2	212.5	178.2	119.4	42.1	13.7	11.5	668.1	56.6	11.4
DESV.ST	23.4	14.6	4.3	7.9	22.8	52.7	61.4	59.5	32.9	42.6	28.5	21.4	219.8	17.3	1.6

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					139.3								139.3	139.3	1
1995	146.68	198.16	292.76	331.86	367.55	276.47	184.4	156.88	140.53	184.02	158.79	119.47	2557.57	213.1	12
1996	155.67	199.51	278.52	315.52	327.56	261.27	179.22	182.82	149.45	122.1	128.59	120.5	2420.73	201.7	12
1997	120.53	160.27	225.85	210.48	295.19	268.91	182.94	191.55	157.92	164.46	132.37	144.82	2255.29	187.9	12
1998	156.44	184.42	271.1	318.33	339.75	276.23	191.66	182.29	153.15	148.44	150.91	140.42	2513.14	209.4	12
1999	161.37	179.25	281.05	342.95	363.68	288.61	177.65	177.72	177.67	205.36	180.64	152.94	2688.89	224.1	12
2000	175.13	216.87	283.98	335.72	349.45	207.9	181.08	201.03	174.95	168.28	162.48	131.73	2588.6	215.7	12
2001	151.24	185.33	259.35	332.54	324.19	259.15	200.26	173.36	155.77	157.57	152.57	120.13	2471.46	206	12
2002	161.05	180.58	278.71	329.64	350.29	271.67	199.42	195.32	157.34	168.94	134.08	125.71	2552.75	212.7	12
2003	149.75	185.67	279.08	315.17	358.35	276.88	195.23	164.63	140.38	130.54	157.96	136.69	2490.33	207.5	12
2004	116.08	171.78	273.8	318.5	356.23	209.57	213.23	188.66	164.72	164.74	158.92	133.06	2469.29	205.8	12
2005	143	153.43	255.62	339.88	316.68	304.9	210.7	174	0.1	159.53	152.83	125.93	2336.6	194.7	12
2006	146.35	189.75	256.6	300.19	315.42	238.87	191.06	161.19	150.4	139.56	111.74	112.49	2313.62	192.8	12
2007	103.06	149.94	250.46	280.41	318.09	259.04	184.27	172.22	143.28	180.25	144.56	126.02	2311.6	192.6	12
2008	144.58	182.22	244	290.11	298.86	241.67	238.17	197.52	144.25	144.28	128.29		2253.95	204.9	11
2009	141.91	172.48	238.29	281.72	267.93	237.32	198.01	183.5	132.35	147.39	136.26	93.88	2231.04	185.9	12
2012	130.24	128.5											258.74	129.4	2
MÍNIMA	103.06	128.5	225.85	210.48	139.3	207.9	177.65	156.88	0.1	122.1	111.74	93.88	139.3	129.4	1
MÁXIMA	175.13	216.87	292.76	342.95	367.55	304.9	238.17	201.03	177.67	205.36	180.64	152.94	2688.89	224.1	12
MEDIA	143.9	177.4	264.6	309.5	318	258.6	195.2	180.2	142.8	159	146.1	127.4	2167.8	195.5	10.7
DESV.ST	18.5	21.5	19.2	34.1	55.1	27.3	16.1	13.3	41.4	21.5	17.5	14.6	752.8	25.3	3.5

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					29.5			25.8	26.3	27.2	26.9	23.9		26.6	6
1982	24.5	27.6	29.8	32.8	32.2	33.2	30.1	31.2	27.4	27.8	25.7	21.6		28.7	12
1983	19.3	22.7	26.2	30.9	33.8	31.9	26	25.5	26.1	26.5	24.8	24.7		26.5	12
1995	33.9	37.2	39.3	40.6	42.2	40.2	36.5	35.1	35.5	38.1	36.8	33.6		37.4	12
1996	35	37.5	38	39.9	42.3	39.8	36.2	35.6	36.3	35.1	34.6	34.4		37.1	12
1997	32.4	35.5	36.7	35.8	41	40.4	37.3	37.6	36.7	36.5	35.5	34		36.6	12
1998	34.6	35	38.7	42.1	43.9	42.1	37.3	36.8	35.6	36.8	36.8	36.3		38	12
1999	35.7	38.2	39.9	42.3	43.1	41.2	35.6	37.1	37.5	38.6	36.8	34.4		38.4	12
2000	36.5	38	39.6	42.8	42.3	37.5	37.2	37.9	38.5	38	36.6	34.4		38.3	12
2001	34	37.9	37.8	42.4	42.1	40.3	37.5	37	37.3	37.3	37.1	34.5		37.9	12
2002	35.2	35.5	40.7	42.9	43.4	40.3	36.7	37.2	37.2	37.2	34.4	32.9		37.8	12
2003	34.7	36.6	39.2	42.2	44	40.3	37.1	35.9	35.8	36.1	37.2	34		37.8	12
2004	31.5	35	39.9	39.7	42.1	37.3	36.9	36.9	36	36.7	36.6	33.9		36.9	12
2005	35.1	34.4	37.9	42.3	42	43.3	38.4	36.1	37.2	37	36.6	34.7		37.9	12
2006	35.5	38.3	39.4	42.8	41.9	39.9	37	35.1	36.3	35.8	35	33.5		37.5	12
2007	33	35.6	40	40.2	42.4	40.1	36.2	35.9	35.8	37.5	37.2	35.8		37.5	12
2008	35.4	37.9	38.8	42.7	41.9	38.8	34.9	36.3	35.5	36.3	35.8			37.7	11
2009	36.1	38.6	40.1	41.9	41.1	40.4	37.3	37.7	36.7	36.1	36	32.6		37.9	12
2012	34.6	34.5												34.5	2
MÍNIMA	19.3	22.7	26.2	30.9	29.5	31.9	26	25.5	26.1	26.5	24.8	21.6		26.5	2
MÁXIMA	36.5	38.6	40.7	42.9	44	43.3	38.4	37.9	38.5	38.6	37.2	36.3		38.4	12
MEDIA	33.2	35.3	37.8	40.3	40.6	39.2	35.8	35	34.9	35.3	34.5	32.3		35.8	11.1
DESV.ST	4.4	4.1	3.9	3.6	4.2	2.9	3.1	3.7	3.9	3.8	4.1	4.4		3.9	2.6

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					34			29	29	29	29	27		29.5	6
1982	27	30	34	35	35	37	36	34	30	31	29	28		32.2	12
1983	24	25	29	36	36	36	33	27	28	29	28	27		29.8	12
1995	37	39.5	41.5	44.5	44	45	40	39	39	40	40	38		40.6	12
1996	38	42	41	42.5	45.5	43	40	41	39	38	39	37		40.5	12
1997	41.5	39	42	41	45	44	40	41	39.5	40.5	38.5	36		40.7	12
1998	36.5	41	42	45	46.5	45.5	43	39.5	38.5	39	39	38.5		41.2	12
1999	39.5	40.5	43	46	46	47.5	40	39.5	41	42.5	39	38		41.9	12
2000	39	41	44	45.5	46	43	41	41	42	41	38.5	38.5		41.7	12
2001	37	41.5	42	44.5	46	44	41	40.5	42	41	39	38		41.4	12
2002	39.5	39	45	48	46	43	41	39.5	40	40	38.5	37.5		41.4	12
2003	37.5	40	43.5	45.5	46	45.5	40	39	38.5	38.5	39.5	37		40.9	12
2004	37	38	43.5	43	44.5	45	38.5	40.5	38.5	38	38	38		40.2	12
2005	38	39	42.5	44.5	44	46	44.5	40	40	40.5	40	39		41.5	12
2006	38	42	42	44.5	44	44	41	38	39.5	38	37	36.5		40.4	12
2007	38	40	42.5	44	45	43.5	40	38	38.5	40	39.5	38.5		40.6	12
2008	39.5	42.5	42.5	44.5	45	46.5	37.5	39	38	39	37.5			41	11
2009	38.5	44.5	43	44.5	44	45.5	40	41.5	44	39	38.5	35.5		41.5	12
2012	37.5	40												38.8	2
MÍNIMA	24	25	29	35	34	36	33	27	28	29	28	27		29.5	2
MÁXIMA	41.5	44.5	45	48	46.5	47.5	44.5	41.5	44	42.5	40	39		41.9	12
MEDIA	36.8	39.1	41.4	43.4	43.5	43.8	39.8	38.2	38.1	38	37.1	35.8		39.3	11.1
DESV.ST	4.3	4.6	3.9	3.3	4	3	2.6	4.1	4.5	4	4	4.1		4	2.6

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					19			19.8	17.5	16.4	13.8	12.4		16.5	6
1982	12.1	13.7	14.9	17.9	18.4	19.1	17.1	17.7	16.8	16.2	13.6	11.4		15.7	12
1983	10	9.6	11.3	14.4	18.1	18.3	17.2	17.2	17.6	16.4	13.7	12.7		14.7	12
1995	14.2	18.1	17.3	18.8	22.8	23.6	22.2	22.5	22.3	19.2	18.1	14.1		19.4	12
1996	12.3	16.6	17	19.5	23.8	24	22.1	21.5	22.1	19.6	14.8	14		18.9	12
1997	11.5	14.3	17	18.6	21.3	24.2	22.3	21.6	22.4	19.5	16.4	13.9		18.6	12
1998	13	12.8	17	19.9	22.3	25.6	23	22	23	21.9	18.4	15.3		19.5	12
1999	12.2	15.8	16.8	19.9	21.8	24.6	22.2	22.4	22.2	20.5	15.7	12.5		18.9	12
2000	13.4	15.1	17	19.2	22.8	22.5	21.9	21.4	22.4	20.9	18.1	14.7		19.1	12
2001	15.3	16.4	15.4	19.5	23.3	22.6	21.2	21.6	22.1	18.8	15.4	14.7		18.9	12
2002	12.3	15.9	17.6	21.4	24.1	23.7	21.9	21.6	22.5	21.8	17	13.2		19.4	12
2003	15.3	17.3	16.8	21.3	23	23.8	22.6	21.9	22.3	19.8	18.3	12.3		19.6	12
2004	15.5	14.1	18.5	20.4	23.9	22.7	22.3	22.1	22.2	20.5	16.7	15.2		19.5	12
2005	15.7	18.2	16.9	21.1	21.5	24.3	23.1	22.3	22.6	22	17.1	14.1		19.9	12
2006	14	17.6	19.1	21.8	23.6	24.1	22.5	22.4	22.5	21	16.4	13.9		19.9	12
2007	15.6	15.1	18.5	20.7	22.6	24.1	22.4	22.5	21.9	20.9	17.3	15.7		19.8	12
2008	13.7	15.6	16	19.9	22.6	23.8	22	22.7	22.2	19.8	16.1			19.5	11
2009	15.9	17	19.5	20	22.9	24	22.5	22.3	22.4	22	17.4	14.9		20.1	12
2012	14.3	16.7												15.5	2
MÍNIMA	10	9.6	11.3	14.4	18.1	18.3	17.1	17.2	16.8	16.2	13.6	11.4		14.7	2
MÁXIMA	15.9	18.2	19.5	21.8	24.1	25.6	23.1	22.7	23	22	18.4	15.7		20.1	12
MEDIA	13.7	15.6	16.9	19.7	22.1	23.2	21.7	21.4	21.5	19.8	16.4	13.8		18.6	11.1
DESV.ST	1.7	2.1	1.9	1.7	1.8	1.9	1.8	1.6	2	1.9	1.6	1.2		1.7	2.6

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					11			16	15	12	11	9		12.3	6
1982	9	12	10	15	15	17	14	15	10	14	10	8		12.4	12
1983	5	8	8	6	13	16	12	12	16	14	10	8		10.7	12
1995	11	13	13.5	16	19.5	22	20	21	20	13.5	11	12.5		16.1	12
1996	10	12.5	14.5	17	21.5	20.5	20.5	19	20.5	15.5	10.5	11.5		16.1	12
1997	7	12	13	15.5	19	20.5	20	19.5	20	13	13	10.5		15.2	12
1998	10	10.5	14	18	18.5	22.5	20.5	20.5	22	18	16	13.5		17	12
1999	8	13	13	16.5	19	21	20.5	20.5	18	13	11	8		15.1	12
2000	11.5	10	14	16	20	20	20	19	18	18	14	11		16	12
2001	12.5	13.5	10.5	17	20	20	20	20	21	13	12	9		15.7	12
2002	9	12.5	14	17	20.5	20.5	20.5	19.5	17.5	19.5	11.5	10		16	12
2003	11	14.5	13	19	21	21	20.5	20	21.5	15	15	8		16.6	12
2004	10.5	11.5	14.5	17	21	20.5	20.5	20	21	18	13	10.5		16.5	12
2005	14	14.5	14	17.5	18.5	22.5	21.5	21	20.5	16	13	11		17	12
2006	10	13	17	19.5	21.5	21	20.5	21.5	20	19	10.5	8		16.8	12
2007	11	12.5	16	18.5	20.5	21.5	21	20.5	20.5	14.5	14.5	11.5		16.9	12
2008	10	14.5	13	17.5	18	20	20	21	19.5	15.5	11.5			16.4	11
2009	13	14.5	17	18	20	20	20.5	20	20.5	19	15	11.5		17.4	12
2012	12	14												13	2
MÍNIMA	5	8	8	6	11	16	12	12	10	12	10	8		10.7	2
MÁXIMA	14	14.5	17	19.5	21.5	22.5	21.5	21.5	22	19.5	16	13.5		17.4	12
MEDIA	10.2	12.6	13.5	16.5	18.8	20.4	19.6	19.2	19	15.6	12.4	10.1		15.4	11.1
DESV.ST	2.2	1.7	2.3	3	2.9	1.7	2.5	2.5	2.9	2.4	1.9	1.8		1.9	2.6

TEMPERATURA MEDIA MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1981					24.2			22.8	21.9	21.8	20.4	18.1		21.5	6
1982	18.3	20.6	22.4	25.3	25.3	26.2	23.6	24.4	22.1	22	19.6	16.5		22.2	12
1983	14.7	16.1	18.8	22.6	26	25.1	21.6	21.4	21.9	21.4	19.2	18.7		20.6	12
1995	24	27.7	28.3	29.7	32.5	31.9	29.4	28.8	28.9	28.6	27.4	23.9		28.4	12
