COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 18/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTUBRE DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 32020 
 NOMBRE    : FRESNILLO 
 ESTADO    : ZACATECAS 
 MUNICIPIO : FRESNILLO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 23.17388889 ° 
 LONGITUD  : -102.8908333 ° 
 ALTITUD   : 2201 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949									37.7	33			70.7	35.4	2
1950					4	16	12.7	43	33.8	1.1	0.01	0.01	110.62	13.8	8
1951				14.5	0	24	19.5	9.5	47	27.8	1.4	0.2	143.9	16	9
1952	0.01	0	0	2.9	0.6	23.2	12.2	32.7	21.3	2.8	13.8	0.5	110.01	9.2	12
1953	0	10.8	4.9	0.01	16.7	21.6	11.1	26.7	47.6	14.8	24.3	16.5	195.01	16.3	12
1954	0.6	0.8	0	7.5	1.5	7							17.4	2.9	6
1955		0.01	0.01						9.3	9	0	0	18.32	3.1	6
1956	0	0	0	0	28.5		13.5	6.3					48.3	6.9	7
1957									35		0		35	17.5	2
1958			28.5		12	31	16	34	33.5	53	15	15.5	238.5	26.5	9
1959	18	3.5	0	32.5	2	26	31.5	40	43	28.5	0.01	2.5	227.51	19	12
1960	0.5	0	0	7	0	2	9.5	49.5	4	14	0	10	96.5	8	12
1962	27.5	15	0	30	8.5	15.5	17	13.5	43.5	0	0	8.5	179	14.9	12
1963	0	11	0	3.5	9	14	24	17.5	11.5	15	0.01	25.5	131.01	10.9	12
1964	0	0	0	0	15.5	20.1	19	11.5		14	17	12.5	109.6	10	11
1965	5	5	0	0	0	15	16	24.2	16.1		0	0	81.3	7.4	11
1966	0	4.5	0	16	8	37.5	18	51	54.5	6.6	0		196.1	17.8	11
1967	26	7.2	20	0.01	3.4	9.5	41.5	34	25.5	20	3.5		190.61	17.3	11
1968	0.2	4.2	55	8	5	10.5	47	28	26	12.8	0		196.7	17.9	11
1969	1	3	0	0	1.2	7.5	10	1.2	13.5	3.5	53	4	97.9	8.2	12
1970	0.4	7	0	0	0	35				9.7	18.5		70.6	8.8	8
1971	0	0	0	0.5	23		0	31	46		0	0	100.5	10.1	10
1972	19.5	0	3.5	0	15		15	17	14.5	22	3	1.5	111	10.1	11
1973	24.5	2	0	0	10	40	34	38.5	37.5	9.5	0	0	196	16.3	12
1974	0	0	3.5	1	12.2	13	25	10.2	28.5	7.5	0	15	115.9	9.7	12
1975	5.7	0.5	0	0	3.7	40	46	55.5	4.2	1.5	0	6.5	163.6	13.6	12
1976	2	0	0	2.3	0	26	29.5	21	30	15	23	18.5	167.3	13.9	12
1977	5.5	0	0	2	1	50	28.2	19.7	10.8	16	0	3	136.2	11.3	12
1978	0	2	5.3	0	2.6	11	14.5	47.5	9.4	17.2	0	0.8	110.3	9.2	12
1979	0.01	3.6	0.2	0.3	1.3	7	20.8	20	7.9	0	2.7	28	91.81	7.7	12
1980			0	4.6	1.6	10.5	7.8			14.5	24.8	19.3	83.1	10.4	8
1981	30.5		0.7		4.7		32	17.5		11.5	0	12.5	109.4	13.7	8
1982		0	0	0	4.2	27.6	42	14.4	14	23.4	20		145.6	14.6	10
1983	6.5	0	2.2	0	47.3	34	28.4	28	33.6	25.5	18.6	0.2	224.3	18.7	12
1984	8.9		0	0	11.8	26.5	32	48	13.4	5	0.4	5.7	151.7	13.8	11
1985	7.2	0	0	15.5	1	26.7	29	15	11.5	20	0	24.5	150.4	12.5	12
1986	0	2	0	0	29.5	35	46	15.6	35				163.1	18.1	9
1988												3	3	3	1
1989	1	19.5	0	0.6	4.3	3.3	20	39.2	41.4	7.2	20	23.8	180.3	15	12
1990	5.6	13.9	1	10.9	6.5	10	22	29	10.5	12.5	0.2	0.01	122.11	10.2	12
1991	0.01	17.5	0	0	1	12	34.4	22.5	16.6	15.5	3	6.5	129.01	10.8	12
1992	29.8	0	0	6					2		12	1.5	51.3	7.3	7
1993	5	0	0.3	0	25.4	41	33.4	57	30.5	3	29.8	1.5	226.9	18.9	12
1994	4.4	0	0	11.5	1.5	28	28	29	26	29	8.2	4.5	170.1	14.2	12
1995	2.9	0	0	0	6	37.5	25	28.5		3	5.5	2.8	111.2	10.1	11
1996	0	13	0	7.5	5	71.5	8	20	36.2	73.5	8.9	0	243.6	20.3	12
1997	23.5	9	4	5	4.5	33	23.5	16.9	15	15.7	9.5	0.3	159.9	13.3	12
1998	0	2.2	0.01	0	0	22.7	8.8	56.7	15	10.2	12.7	0	128.31	10.7	12
1999	0	0	0	1.8	0	16.7	23.5	11.5	25.5	1	0	0	80	6.7	12
2000	0	0	0	0	11.2	84.5	41.6	17	6	14.5	0	9.5	184.3	15.4	12
2005	2	24	0	0	1.5	4	19	22	14	11.5	3	6	107	8.9	12
2006	17	0	0	0	9.2	23.5	86.2	23	20	20.3	0	25.8	225	18.8	12
2007	5	0.01	0	1.9	4	51.3	40	25.5	15	8.2	3.5	0	154.41	12.9	12
2008	0	14.5	0	9.5	6	26	13.5	41.5	68.7	21.3	0	0	201	16.8	12
2009	0	0	2.7	5.5	9	33.2	29.6	42.8	15	25.7	11.5	7.5	182.5	15.2	12
2010	3	47.7	1.6	0.4	0	5.1	80.3	21.5	28.7	0	0	0	188.3	15.7	12
2011	0	0	0	0	0.8	3.8	10.8	18	60.5	7	0	0	100.9	8.4	12
2012	9.3	15.5	10.7	0.1	2.8	10.6	6.8	10.5	10	7	0.6	3	86.9	7.2	12
2013	14.8	0	0	0	5.3	13.8	23.5	40.6	84.8	41.8	8.5	22.9	256	21.3	12
2014	7.4	0	0	0	9	50.5	28.6	47.2	25.2	18.5	10.8	5.3	202.5	16.9	12
2015	6.5	18.5	19	5.8	9.8	90	35.4	13.6	40.4	75.8	7.5	1.2	323.5	27	12
2016	0.2	5.5	22.6	0	1.7	13	39	17.5	14	11	22.4	6.9	153.8	12.8	12
2017	0	0	7.8	0	8	18.2	13.6	26.9	38	7.6	0	25	145.1	12.1	12
2018	23.5	41.3	0	3.2	31.5	76.6	15.8	14	36.6	43.5	21	5.2	312.2	26	12
2019	8.5	0	2	0	0	6.4	14	51.8	7.5	61	27.5	20.5	199.2	16.6	12
2020		7.8				38.5							46.3	23.1	2
2021	1.2			0.1	10.4	38.5	20	21.2	162.23	21.5	0	21.5	296.63	29.7	10
2022	0	0.5	0	1.8	0.2	8.6	34.5	26.3	26.5	8.3	18.1	0	124.8	10.4	12
2023	0	0	0	0	14.8	4.3	17.4			0			36.5	4.6	8
2024	0	21.5	0	0	0	27.2	24.6	0	38.9	0			112.2	11.2	10
MÍNIMA	0	0	0	0	0	2	0	0	2	0	0	0	3	2.9	1
MÁXIMA	30.5	47.7	55	32.5	47.3	90	86.2	57	162.23	75.8	53	28	323.5	35.4	12
MEDIA	6	5.9	3.1	3.5	7.4	25.7	25.3	26.9	28.8	16.9	7.8	7.6	143.3	13.8	10.5
DESV.ST	8.9	9.8	8.8	6.6	9.2	19.6	15.4	14.4	24.3	16.5	10.6	8.9	68.8	6.2	2.7

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1949									100.75	73.99			174.74	87.4	2
1950					13.93	53.6	98.31	91.83	104.11	1.1	0.01	0.02	362.91	45.4	8
1951				27.5	0	101.7	61.52	35.8	166	75.51	1.73	0.21	469.97	52.2	9
1952	0.02	0	0	9.31	1.2	97.16	32.53	48.58	86.56	4.73	13.85	0.85	294.79	24.6	12
1953	0	12.02	5.47	0.05	16.7	33.53	32.1	83.78	111.24	40.91	27.24	25.56	388.6	32.4	12
1954	0.63	1.65	0	7.51	3.37	16.08							29.24	4.9	6
1955		0.02	0.02						38.4	17.1	0	0	55.54	9.3	6
1956	0	0	0	0	30		36.7	33.2					99.9	14.3	7
1957									84.7		0		84.7	42.4	2
1958			33.5		24.02	148.04	65.22	92.52	119.01	182.04	68	37.5	769.85	85.5	9
1959	18.51	7.5	0	52.5	3.51	68.5	77.5	170.01	76.51	91	0.02	4.5	570.06	47.5	12
1960	0.51	0	0	7	0	3.52	33.51	159.03	8.53	40.01	0	21.02	273.13	22.8	12
1962	27.5	15	0	59	13	46	33.5	33.5	113	0	0	12.5	353	29.4	12
1963	0	11	0	6.5	20.5	64.5	66	51.5	46	28.5	0.03	50.5	345.03	28.8	12
1964	0	0	0	0	15.5	37.2	49.6	34		26	22	12.5	196.8	17.9	11
1965	5	5	0	0	0	15	24.6	146.8	16.1		0	0	212.5	19.3	11
1966	0	5.5	0	32.3	23.5	63.3	62.1	144.1	74.9	33.5	0		439.2	39.9	11
1967	64	7.2	28.51	0.01	8.8	33.1	80.61	174.7	76.9	56	5.1		534.93	48.6	11
1968	0.2	9.3	85.2	11.31	5.01	32.8	128.61	86.8	66.21	14.2	0		439.64	40	11
1969	1	3	0	0	1.2	13.61	19.1	1.4	59.4	5.12	53.2	6.6	163.63	13.6	12
1970	0.4	14.8	0	0	0	119.7				18.2	19.8		172.9	21.6	8
1971	0	0	0	0.5	45.8		0	158.2	159.82		0	0	364.32	36.4	10
1972	25.5	0	12.7	0	33.5		59.01	47.5	23.21	23	3.01	1.5	228.93	20.8	11
1973	44	2.01	0	0	27.8	156	101.9	151.5	123.7	29.11	0	0	636.02	53	12
1974	0	0	4.3	1.01	12.2	26.5	82.3	29.61	83.71	8.4	0	15.51	263.54	22	12
